round,val_loss,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,macro_pr_auc,worst_class_f1,worst_class_recall,precision_c0,recall_c0,f1_c0,support_c0,predicted_count_c0,precision_c1,recall_c1,f1_c1,support_c1,predicted_count_c1,precision_c2,recall_c2,f1_c2,support_c2,predicted_count_c2,precision_c3,recall_c3,f1_c3,support_c3,predicted_count_c3,precision_c4,recall_c4,f1_c4,support_c4,predicted_count_c4,precision_c5,recall_c5,f1_c5,support_c5,predicted_count_c5,precision_c6,recall_c6,f1_c6,support_c6,predicted_count_c6,precision_c7,recall_c7,f1_c7,support_c7,predicted_count_c7,precision_c8,recall_c8,f1_c8,support_c8,predicted_count_c8,precision_c9,recall_c9,f1_c9,support_c9,predicted_count_c9,train_loss_client_0,train_accuracy_client_0,train_samples_client_0,train_batches_client_0,update_l2_client_0,train_seconds_client_0,train_loss_client_1,train_accuracy_client_1,train_samples_client_1,train_batches_client_1,update_l2_client_1,train_seconds_client_1,train_loss_client_2,train_accuracy_client_2,train_samples_client_2,train_batches_client_2,update_l2_client_2,train_seconds_client_2,train_loss_client_3,train_accuracy_client_3,train_samples_client_3,train_batches_client_3,update_l2_client_3,train_seconds_client_3,train_loss_client_4,train_accuracy_client_4,train_samples_client_4,train_batches_client_4,update_l2_client_4,train_seconds_client_4,round_train_seconds,aggregation_seconds,fl_round_seconds,validation_seconds,round_total_seconds,round_orchestration_seconds
1,1.9083462239559872,0.8276603577823518,0.3568973063293588,0.2168179824172905,0.3568973063293588,0.2116475556879073,0.8846707515988745,0.2431316382491367,0.0,0.0,0.9974381046776024,0.8447502643166688,0.9147664991782848,344284,291581,0.1437403400309119,0.2695652173913043,0.1875,345,647,0.1177094379639448,0.3415384615384615,0.1750788643533123,325,943,0.0794223826714801,0.0253164556962025,0.0383944153577661,869,277,0.0626158197600702,0.542573420663427,0.112274565526287,4733,41012,0.4737417943107221,0.1293695847027188,0.2032386763670499,3347,914,0.1236960864097063,0.6731078904991948,0.2089869383163552,2484,13517,0.1098863636363636,0.504434011476265,0.1804609498926938,1917,8800,0.0599294947121034,0.2383177570093458,0.0957746478873239,214,851,0.0,0.0,0.0,24,0,2.0971529483795166,0.4633263647556305,334641,82,1.692821286296454,2.291962334071286,2.097449779510498,0.4100466072559356,334640,82,1.718985087941511,1.1707839159062132,2.10461163520813,0.4485683143138885,334638,82,1.7295131679384568,1.1979844579473138,2.101698875427246,0.3850698471069336,334638,82,1.684799288792144,1.169168916065246,2.104158878326416,0.3797701299190521,334634,82,1.7709604740373353,1.201352542033419,7.031252166023478,0.0021846250165253,7.033436791040003,1.551388500025496,8.5848252910655,0.5097065420122817
2,1.6677884807449332,0.924257130266468,0.4490804347795279,0.2470960033429622,0.4490804347795279,0.2708449329107127,0.9420486146052166,0.2606174161649434,0.0,0.0,0.9962056018668808,0.9448449535848312,0.9698457703877952,344284,326534,0.0,0.0,0.0,345,2,0.1187762447510498,0.6092307692307692,0.1987951807228915,325,1667,0.075,0.0103567318757192,0.0182002022244691,869,120,0.1236567937598865,0.478977392774139,0.1965663747507153,4733,18333,0.272608125819135,0.1242904093217807,0.1707367124974348,3347,1526,0.4646233171011171,0.6529790660225443,0.5429288702928871,2484,3491,0.3404255319148936,0.7678664580073031,0.4717192757570902,1917,4324,0.0704747774480712,0.4439252336448598,0.1216389244558258,214,1348,0.0091896407685881,0.4583333333333333,0.018018018018018,24,1197,1.8350207805633545,0.8488947749137878,334641,82,1.4829200666421147,1.1701324169989675,1.8334500789642336,0.8264045119285583,334640,82,1.6608257054666795,1.2090714590158314,1.8338065147399905,0.8420352935791016,334638,82,1.5821187148228906,1.1365992079954594,1.849792003631592,0.8244879245758057,334638,82,1.5285131058646584,1.1635410420130938,1.833714246749878,0.8404375910758972,334634,82,1.5689869571583437,1.1482742499792948,5.827618376002647,0.0012021251022815,5.8288205011049286,1.4494173750281334,7.278237876133062,0.0173416649922728
3,1.5342985932491626,0.9486475782474576,0.4653832609959757,0.292940453083944,0.4653832609959757,0.3306607498318475,0.9575164298262286,0.2944710767615787,0.0291828793774319,0.0172612197928653,0.998396393534019,0.967480336001673,0.9826952664598536,344284,333623,0.1589147286821705,0.2376811594202898,0.1904761904761904,345,516,0.115727002967359,0.48,0.1864913329348475,325,1348,0.0943396226415094,0.0172612197928653,0.0291828793774319,869,159,0.2489935235427971,0.6010986689203465,0.3521257503558389,4733,11426,0.2568002339865458,0.2623244696743352,0.2595329589122081,3347,3419,0.4675738274464389,0.6501610305958132,0.5439541933310879,2484,3454,0.3446130878327942,0.7224830464267084,0.466644204851752,1917,4019,0.2091254752851711,0.2570093457943925,0.230607966457023,214,263,0.0349206349206349,0.4583333333333333,0.0648967551622418,24,315,1.6401656866073608,0.893076479434967,334641,82,1.4231213861655372,1.158646999974735,1.6489664316177368,0.8957087993621826,334640,82,1.6530497442794163,1.160808667074889,1.6519384384155271,0.9033492803573608,334638,82,1.409061842000524,1.1547155410517007,1.674237847328186,0.9049659371376038,334638,82,1.3266445765529955,1.237299625063315,1.6609458923339844,0.8965975046157837,334634,82,1.3610288394995709,1.1433379580266774,5.854808791191317,0.0011965000303462,5.856005291221663,1.4805461250944063,7.33655141631607,0.0164295417489483
4,1.4437675975283089,0.9630085178305472,0.4886936922012392,0.2977995709700993,0.4886936922012392,0.3231986013397997,0.9679464466615498,0.3282273450027945,0.0321285140562249,0.0184119677790563,0.9998197910758178,0.983011118727562,0.9913442104338148,344284,338496,0.1450617283950617,0.6811594202898551,0.2391857506361323,345,1620,0.075,0.0646153846153846,0.0694214876033057,325,280,0.1259842519685039,0.0184119677790563,0.0321285140562249,869,127,0.4953531598513011,0.6756813860130995,0.5716328536955939,4733,6456,0.2474164133738602,0.2432028682402151,0.2452915473858671,3347,3290,0.4661870503597122,0.6521739130434783,0.5437153884880014,2484,3475,0.3304597701149425,0.4199269692227438,0.3698598667585573,1917,2436,0.0654761904761904,0.5654205607476636,0.1173617846750727,214,1848,0.0272373540856031,0.5833333333333334,0.0520446096654275,24,514,1.5200505256652832,0.9242262840270996,334641,82,1.2078101752778216,1.1730177499121055,1.5425386428833008,0.8893497586250305,334640,82,1.5027427848370376,1.1398359169252217,1.5330716371536257,0.925405979156494,334638,82,1.2490691582257964,1.1480505840154365,1.5203207731246948,0.9275366067886353,334638,82,1.1664747150276775,1.1392276249825954,1.526980996131897,0.9226916432380676,334634,82,1.1887564940675064,1.15776824997738,5.757900125812739,0.0011870419839397,5.759087167796679,1.4531622499926016,7.21224941778928,0.0172074572183191
5,1.370496190527497,0.9649050878279252,0.5157547742021851,0.3316922961071192,0.5157547742021851,0.3555244499596832,0.9694752343778292,0.344888942363296,0.0193548387096774,0.0195627157652474,0.9998936964975949,0.9835397520651556,0.991649302937167,344284,338653,0.1412037037037037,0.7072463768115942,0.2354076218041485,345,1728,0.0724907063197026,0.12,0.0903823870220162,325,538,0.2048192771084337,0.0195627157652474,0.0357142857142857,869,83,0.5161395500489078,0.6689203465032749,0.5826815128370295,4733,6134,0.2927470875610672,0.2327457424559307,0.2593209054593874,3347,2661,0.4655765920826162,0.6533816425120773,0.5437185929648242,2484,3486,0.4196620583717358,0.7125717266562337,0.5282289249806651,1917,3255,0.1945606694560669,0.4345794392523364,0.26878612716763,214,478,0.009829619921363,0.625,0.0193548387096774,24,1526,1.4346503019332886,0.9372850060462952,334641,82,1.017427256290454,1.1888775000115857,1.4404772520065308,0.9366662502288818,334640,82,1.2751224080251669,1.1395399590255693,1.433909893035889,0.9393463730812072,334638,82,1.0825556568153951,1.1874889170285314,1.4819566011428833,0.9377865195274352,334638,82,1.1356830903403363,1.2429662080248818,1.4712567329406738,0.935646116733551,334634,82,1.2406945658885111,1.1981140830321235,5.956986667122692,0.0013030830305069,5.958289750153199,1.481848124996759,7.440137875149958,0.0163418328156694
6,1.3410439950872532,0.9634073553447016,0.5067216610865342,0.3171196527041899,0.5067216610865342,0.3417294474894871,0.9695607529155648,0.3635253088531622,0.0268096514745308,0.0461538461538461,0.999905533939884,0.98382149620662,0.9917983104695256,344284,338746,0.1439220183486238,0.7275362318840579,0.2403063666826232,345,1744,0.087719298245614,0.0461538461538461,0.0604838709677419,325,171,0.0903857225100748,0.1806674338319908,0.1204911742133538,869,1737,0.6179525222551929,0.5279949292203676,0.5694428620257491,4733,4044,0.326984126984127,0.3692859276964446,0.3468500070155745,3347,3780,0.4676860934795153,0.6525764895330113,0.5448739495798319,2484,3466,0.3421841541755888,0.4167970787689097,0.3758231420507996,1917,2335,0.0807584269662921,0.5373831775700935,0.1404151404151404,214,1424,0.0136986301369863,0.625,0.0268096514745308,24,1095,1.401673436164856,0.9433273077011108,334641,82,1.0431761258657513,1.191434875014238,1.3788341283798218,0.9408618211746216,334640,82,1.041519500642054,1.1775918749626726,1.3952209949493408,0.9436376094818116,334638,82,0.9990799201313024,1.2150115419644862,1.4155471324920654,0.943574845790863,334638,82,1.2120437149270196,1.1959317920263857,1.418411135673523,0.9436249732971193,334634,82,1.2935946673199814,1.1726084590191022,5.952578542986885,0.0011987499892711,5.953777292976156,1.4745044589508325,7.428281751926988,0.0175928740063682
7,1.31310473977182,0.9664279219728792,0.5361565152181218,0.3320256239636593,0.5361565152181218,0.3746770003288777,0.9710789867334348,0.3881305518329866,0.0372670807453416,0.0598388952819332,0.99991439013302,0.983830209942954,0.9918070948567412,344284,338746,0.1485676215856096,0.6463768115942029,0.2416034669555796,345,1501,0.0946196660482374,0.1569230769230769,0.1180555555555555,325,539,0.0884353741496598,0.0598388952819332,0.0713795470144131,869,588,0.5716908389939416,0.6579336572998098,0.6117878192534381,4733,5447,0.3283783783783783,0.3630116522258739,0.3448275862068966,3347,3700,0.4675287356321839,0.6549919484702094,0.54560697518444,2484,3480,0.4554715741045021,0.7230046948356808,0.5588709677419355,1917,3043,0.1464435146443514,0.4906542056074766,0.225563909774436,214,717,0.0192061459667093,0.625,0.0372670807453416,24,781,1.350408673286438,0.9462199807167052,334641,82,0.9624958007468544,1.1425597500056028,1.3401862382888794,0.9444836378097534,334640,82,1.162192748188502,1.1667774169472978,1.3645470142364502,0.9476479291915894,334638,82,0.9517464346648872,1.1384189579403028,1.3709726333618164,0.9471668004989624,334638,82,0.9545349561419046,1.1702374999877063,1.3772958517074585,0.9471840858459472,334634,82,0.9547515412673816,1.1917947919573637,5.809788416838273,0.0012819999828934,5.811070416821167,1.5234997080406174,7.334570124861784,0.0196213742019608
8,1.2863906769561393,0.9653457614449632,0.5197209193642907,0.3343674420653402,0.5197209193642907,0.3479468226247015,0.9704125418208626,0.4041038995319068,0.0298804780876494,0.0207134637514384,0.9999143936710356,0.9838708740458458,0.9918277592658744,344284,338760,0.1484141232794733,0.7188405797101449,0.246031746031746,345,1671,0.1044776119402985,0.0861538461538461,0.0944350758853288,325,268,0.2142857142857142,0.0207134637514384,0.0377754459601259,869,84,0.5715587967183227,0.6623705894781322,0.6136230182031709,4733,5485,0.3309608540925267,0.4167911562593367,0.3689500132240148,3347,4215,0.4666283084004603,0.6529790660225443,0.5442953020134228,2484,3476,0.4138830897703549,0.4136671883150756,0.4137751108792069,1917,1916,0.0782454060462359,0.616822429906542,0.1388742766964755,214,1687,0.0153061224489795,0.625,0.0298804780876494,24,980,1.3304299116134644,0.9505260586738586,334641,82,0.9261805321181428,1.145264666993171,1.3220833539962769,0.9473822712898254,334640,82,1.3650665855443949,1.1734367499593643,1.315789818763733,0.9486579298973083,334638,82,0.9491826372380608,1.1923995829420164,1.3991388082504272,0.949700891971588,334638,82,1.2439291001705526,1.172339665936306,1.3946079015731812,0.9484780430793762,334634,82,1.0213577023750455,1.1915096249431372,5.874950290773995,0.0012357919476926,5.876186082721688,1.4642229579621926,7.34040904068388,0.0169867092045024
9,1.2567785882201028,0.9647488997104942,0.5097486448455035,0.3211106821687153,0.5097486448455035,0.3438564246400565,0.9703161035147314,0.3905242609866112,0.0318133616118769,0.0632911392405063,0.9999143888693722,0.9838156870490642,0.9917997145053256,344284,338741,0.1419753086419753,0.0666666666666666,0.0907297830374753,345,162,0.1165745856353591,0.6492307692307693,0.1976580796252927,325,1810,0.0901639344262295,0.0632911392405063,0.0743745774171737,869,610,0.6046231155778894,0.6355377139235158,0.6196950968273589,4733,4975,0.3365979381443299,0.3902001792650134,0.3614224436142244,3347,3880,0.4682379994251222,0.6557971014492754,0.5463692772094584,2484,3479,0.3612588652482269,0.4251434533124674,0.3906062784567457,1917,2256,0.075438596491228,0.602803738317757,0.1340956340956341,214,1710,0.0163220892274211,0.625,0.0318133616118769,24,919,1.3028908967971802,0.9517005085945128,334641,82,0.8145856880919616,1.1835880419239402,1.2851576805114746,0.9518288373947144,334640,82,0.8532091399025239,1.15413250005804,1.31599760055542,0.9523365497589112,334638,82,0.9854478317629388,1.1844164159847423,1.344024896621704,0.9382287859916688,334638,82,1.285023396337052,1.1588288750499487,1.3818323612213137,0.9384103417396544,334634,82,1.8889220264630568,1.1626304580131546,5.843596291029826,0.0020243750186637,5.8456206660484895,1.4898798340000212,7.335500500048511,0.0196257919305935
10,1.2439832161375648,0.9653875975478464,0.5236447699291502,0.3352915985677849,0.5236447699291502,0.3568856149453815,0.9707934975742062,0.4220872762604016,0.0276100086281276,0.0322209436133486,0.9999143931656228,0.98386506488829,0.99182480725929,344284,338758,0.1308810949529512,0.4434782608695652,0.202113606340819,345,1169,0.1183496199782844,0.3353846153846154,0.174959871589085,325,921,0.1590909090909091,0.0322209436133486,0.0535885167464114,869,176,0.5832705350414469,0.6541305725755335,0.6166716462503735,4733,5308,0.351045924501082,0.4362115327158649,0.3890221156408207,3347,4159,0.4674351585014409,0.6529790660225443,0.5448438024857238,2484,3470,0.4506880733944954,0.4100156494522691,0.4293908768096148,1917,1744,0.0781433607520564,0.6214953271028038,0.138830897703549,214,1702,0.0140969162995594,0.6666666666666666,0.0276100086281276,24,1135,1.3030695915222168,0.9524176716804504,334641,82,1.0539806402962335,1.1891185420099646,1.3128784894943235,0.9518916010856628,334640,82,1.3531939905693682,1.1636364589212462,1.2861034870147705,0.9542461037635804,334638,82,0.9187448079646114,1.1585449170088395,1.3197338581085205,0.954240083694458,334638,82,1.083444646440789,1.198505875072442,1.3457447290420532,0.9533161520957948,334634,82,1.2136444221521925,1.1687654169509187,5.878571209963411,0.0011972499778494,5.8797684599412605,1.493239542003721,7.373008001944981,0.0185343730263412
