round,val_loss,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,macro_pr_auc,worst_class_f1,worst_class_recall,precision_c0,recall_c0,f1_c0,support_c0,predicted_count_c0,precision_c1,recall_c1,f1_c1,support_c1,predicted_count_c1,precision_c2,recall_c2,f1_c2,support_c2,predicted_count_c2,precision_c3,recall_c3,f1_c3,support_c3,predicted_count_c3,precision_c4,recall_c4,f1_c4,support_c4,predicted_count_c4,precision_c5,recall_c5,f1_c5,support_c5,predicted_count_c5,precision_c6,recall_c6,f1_c6,support_c6,predicted_count_c6,precision_c7,recall_c7,f1_c7,support_c7,predicted_count_c7,precision_c8,recall_c8,f1_c8,support_c8,predicted_count_c8,precision_c9,recall_c9,f1_c9,support_c9,predicted_count_c9,train_loss_client_0,train_accuracy_client_0,train_samples_client_0,train_batches_client_0,update_l2_client_0,train_seconds_client_0,train_loss_client_1,train_accuracy_client_1,train_samples_client_1,train_batches_client_1,update_l2_client_1,train_seconds_client_1,train_loss_client_2,train_accuracy_client_2,train_samples_client_2,train_batches_client_2,update_l2_client_2,train_seconds_client_2,train_loss_client_3,train_accuracy_client_3,train_samples_client_3,train_batches_client_3,update_l2_client_3,train_seconds_client_3,train_loss_client_4,train_accuracy_client_4,train_samples_client_4,train_batches_client_4,update_l2_client_4,train_seconds_client_4,round_train_seconds,aggregation_seconds,fl_round_seconds,validation_seconds,round_total_seconds,round_orchestration_seconds
1,12.997809738919868,0.9602333896726184,0.1,0.0960233389672618,0.1,0.0979713328761315,0.940753450583922,0.1223222791597216,0.0,0.0,0.9602333896726184,1.0,0.979713328761315,344284,358542,0.0,0.0,0.0,345,0,0.0,0.0,0.0,325,0,0.0,0.0,0.0,869,0,0.0,0.0,0.0,4733,0,0.0,0.0,0.0,3347,0,0.0,0.0,0.0,2484,0,0.0,0.0,0.0,1917,0,0.0,0.0,0.0,214,0,0.0,0.0,0.0,24,0,2.130535840988159,0.1699811220169067,6889,2,0.3231514833581294,0.1173000420676544,0.0430354475975036,0.99753075838089,1603336,392,2.617766182535147,5.853886415949091,1.9747416973114016,0.5286698341369629,9435,3,0.7328965916798381,0.0713479160331189,1.8885551691055296,0.1779648214578628,26376,7,0.7661094686706282,0.0987602079985663,2.0562996864318848,0.0997606366872787,27155,7,0.6378268919240477,0.1256631660507992,6.26695774809923,0.0011581659782677,6.268115914077498,1.532392416964285,7.800508331041783,0.4214340019971132
2,13.47136520924927,0.9602333896726184,0.1,0.0960233389672618,0.1,0.0979713328761315,0.940753450583922,0.1278253658414361,0.0,0.0,0.9602333896726184,1.0,0.979713328761315,344284,358542,0.0,0.0,0.0,345,0,0.0,0.0,0.0,325,0,0.0,0.0,0.0,869,0,0.0,0.0,0.0,4733,0,0.0,0.0,0.0,3347,0,0.0,0.0,0.0,2484,0,0.0,0.0,0.0,1917,0,0.0,0.0,0.0,214,0,0.0,0.0,0.0,24,0,9.297656059265137,0.2306575626134872,6889,2,1.855124445642358,0.0235237919259816,0.0008257437148131,1.0,1603336,392,0.1939109097294749,5.857888083904982,7.437668800354004,0.0003179650229867,9435,3,2.0376379720729405,0.0383508329978212,4.164304256439209,0.0779496505856514,26376,7,2.1481040999342267,0.1045624580001458,4.134157657623291,0.0120788067579269,27155,7,1.9901817013449683,0.0884205839829519,6.112745750811882,0.0011858330108225,6.113931583822705,1.518053042003885,7.63198462582659,0.0159541652537882
3,13.325834315189754,0.9602333896726184,0.1,0.0960233389672618,0.1,0.0979713328761315,0.940753450583922,0.1305221397488492,0.0,0.0,0.9602333896726184,1.0,0.979713328761315,344284,358542,0.0,0.0,0.0,345,0,0.0,0.0,0.0,325,0,0.0,0.0,0.0,869,0,0.0,0.0,0.0,4733,0,0.0,0.0,0.0,3347,0,0.0,0.0,0.0,2484,0,0.0,0.0,0.0,1917,0,0.0,0.0,0.0,214,0,0.0,0.0,0.0,24,0,9.732796669006348,0.2306575626134872,6889,2,1.8392430730129656,0.0229540830478072,0.0004779730807058,1.0,1603336,392,0.1156168409387433,5.906353332917206,7.601003170013428,0.0,9435,3,2.0936616355838913,0.0321767919231206,4.17410945892334,0.0792007893323898,26376,7,2.1310745501245947,0.1120969590265303,4.354284286499023,0.0127784935757517,27155,7,2.0760504488815874,0.0883450000546872,6.1619261669693515,0.00105333304964,6.1629795000189915,1.5116102090105414,7.674589709029533,0.0144500830210745
4,12.998374176927882,0.9602333896726184,0.1,0.0960233389672618,0.1,0.0979713328761315,0.940753450583922,0.1330074586443248,0.0,0.0,0.9602333896726184,1.0,0.979713328761315,344284,358542,0.0,0.0,0.0,345,0,0.0,0.0,0.0,325,0,0.0,0.0,0.0,869,0,0.0,0.0,0.0,4733,0,0.0,0.0,0.0,3347,0,0.0,0.0,0.0,2484,0,0.0,0.0,0.0,1917,0,0.0,0.0,0.0,214,0,0.0,0.0,0.0,24,0,9.472037315368652,0.2306575626134872,6889,2,1.863125361713181,0.0240587079897522,0.0003659423673525,1.0,1603336,392,0.0900118129900286,5.928950750036165,7.515050411224365,0.0,9435,3,2.084394654105546,0.0341143331024795,4.017788410186768,0.081323929131031,26376,7,2.0823747805950155,0.0881224580807611,4.236449241638184,0.0129994479939341,27155,7,2.074583247858268,0.1147556249052286,6.190001874114387,0.0023049589945003,6.192306833108887,1.5337575419107452,7.726064375019632,0.0180587508948519
5,12.592027295431253,0.9602333896726184,0.1,0.0960233389672618,0.1,0.0979713328761315,0.940753450583922,0.1365277132324802,0.0,0.0,0.9602333896726184,1.0,0.979713328761315,344284,358542,0.0,0.0,0.0,345,0,0.0,0.0,0.0,325,0,0.0,0.0,0.0,869,0,0.0,0.0,0.0,4733,0,0.0,0.0,0.0,3347,0,0.0,0.0,0.0,2484,0,0.0,0.0,0.0,1917,0,0.0,0.0,0.0,214,0,0.0,0.0,0.0,24,0,9.474618911743164,0.2306575626134872,6889,2,1.7974081523489316,0.0505885829916223,0.0003114005958195,1.0,1603336,392,0.0777485854252659,5.948908874997869,7.294000148773193,0.0002119766868418,9435,3,2.064649669995805,0.0334254170302301,4.018702983856201,0.0863663926720619,26376,7,2.123034948334801,0.0864867080235853,4.240143299102783,0.0152458110824227,27155,7,2.063630224266466,0.1141849170671776,6.233594500110485,0.0013059580232948,6.2349004581337795,1.504808917059563,7.739709375193343,0.0171895418316125
6,12.1837347408426,0.9602333896726184,0.1,0.0960233389672618,0.1,0.0979713328761315,0.940753450583922,0.141156829230425,0.0,0.0,0.9602333896726184,1.0,0.979713328761315,344284,358542,0.0,0.0,0.0,345,0,0.0,0.0,0.0,325,0,0.0,0.0,0.0,869,0,0.0,0.0,0.0,4733,0,0.0,0.0,0.0,3347,0,0.0,0.0,0.0,2484,0,0.0,0.0,0.0,1917,0,0.0,0.0,0.0,214,0,0.0,0.0,0.0,24,0,9.055508613586426,0.2306575626134872,6889,2,1.7667230909055849,0.0238892500055953,0.0002825987758114,1.0,1603336,392,0.0714573751202644,5.9827811669092625,7.072025775909424,0.0001059883434209,9435,3,1.979580326310552,0.0320086249848827,4.020162582397461,0.0884137079119682,26376,7,2.1109458107858825,0.086062875110656,4.132308483123779,0.0192229785025119,27155,7,2.028942712420184,0.0880362500902265,6.212778167100623,0.0012201250065118,6.213998292107135,1.5199798750691116,7.733978167176247,0.0157956668408587
7,11.774669801043194,0.9602333896726184,0.1,0.0960233389672618,0.1,0.0979713328761315,0.940753450583922,0.1488454970775903,0.0,0.0,0.9602333896726184,1.0,0.979713328761315,344284,358542,0.0,0.0,0.0,345,0,0.0,0.0,0.0,325,0,0.0,0.0,0.0,869,0,0.0,0.0,0.0,4733,0,0.0,0.0,0.0,3347,0,0.0,0.0,0.0,2484,0,0.0,0.0,0.0,1917,0,0.0,0.0,0.0,214,0,0.0,0.0,0.0,24,0,8.551837921142578,0.2306575626134872,6889,2,1.817571186468087,0.0232812080066651,0.0002647096989676,1.0,1603336,392,0.0675970557552499,5.90258920902852,6.8950724601745605,0.0006359300459735,9435,3,1.9474003811183151,0.0328499170718714,3.8835620880126953,0.093797393143177,26376,7,2.053017006099426,0.1099864579737186,4.101711273193359,0.020843306556344,27155,7,2.0271708537853583,0.0887678329600021,6.157474625040777,0.001233666902408,6.158708291943185,1.5210814169840887,7.679789708927274,0.0184650828596204
8,11.368712602083509,0.9602333896726184,0.1,0.0960233389672618,0.1,0.0979713328761315,0.940753450583922,0.1587237514219658,0.0,0.0,0.9602333896726184,1.0,0.979713328761315,344284,358542,0.0,0.0,0.0,345,0,0.0,0.0,0.0,325,0,0.0,0.0,0.0,869,0,0.0,0.0,0.0,4733,0,0.0,0.0,0.0,3347,0,0.0,0.0,0.0,2484,0,0.0,0.0,0.0,1917,0,0.0,0.0,0.0,214,0,0.0,0.0,0.0,24,0,8.320489883422852,0.2308027297258377,6889,2,1.7702322280946865,0.0243618750246241,0.0002516566019039,1.0,1603336,392,0.0650881562004874,5.87947762501426,6.716495037078857,0.001271860091947,9435,3,1.9142764010897375,0.0320157919777557,3.841917991638184,0.0954276621341705,26376,7,2.063268765675721,0.1123511249898001,4.126953125,0.0236052293330431,27155,7,2.0200940017675255,0.0890333750285208,6.137239792034961,0.0012066670460626,6.138446459081024,1.5179436249891296,7.6563900840701535,0.0188559158705174
9,10.995028971872763,0.9602333896726184,0.1,0.0960233389672618,0.1,0.0979713328761315,0.940753450583922,0.1658557452159495,0.0,0.0,0.9602333896726184,1.0,0.979713328761315,344284,358542,0.0,0.0,0.0,345,0,0.0,0.0,0.0,325,0,0.0,0.0,0.0,869,0,0.0,0.0,0.0,4733,0,0.0,0.0,0.0,3347,0,0.0,0.0,0.0,2484,0,0.0,0.0,0.0,1917,0,0.0,0.0,0.0,214,0,0.0,0.0,0.0,24,0,8.45939826965332,0.2306575626134872,6889,2,1.6689018391169737,0.0231630000052973,0.0002428199368296,1.0,1603336,392,0.0633885564440862,5.869439375004731,6.522997856140137,0.0011658717412501,9435,3,1.895733566833667,0.0323732089018449,3.590567111968994,0.1019487380981445,26376,7,1.965200983263102,0.0859295839909464,4.048892974853516,0.026551280170679,27155,7,2.0147128074077783,0.113491499912925,6.124396667815745,0.0012123330961912,6.125609000911936,1.494988708058372,7.620597708970308,0.0171637492021545
10,10.63473291454051,0.9602333896726184,0.1,0.0960233389672618,0.1,0.0979713328761315,0.940753450583922,0.1674818933213431,0.0,0.0,0.9602333896726184,1.0,0.979713328761315,344284,358542,0.0,0.0,0.0,345,0,0.0,0.0,0.0,325,0,0.0,0.0,0.0,869,0,0.0,0.0,0.0,4733,0,0.0,0.0,0.0,3347,0,0.0,0.0,0.0,2484,0,0.0,0.0,0.0,1917,0,0.0,0.0,0.0,214,0,0.0,0.0,0.0,24,0,7.992967128753662,0.2309478819370269,6889,2,1.6381867796729046,0.0256617920240387,0.0002344677777728,1.0,1603336,392,0.0617383446703654,5.987601791974157,6.387811660766602,0.0036036036908626,9435,3,1.8424830478288852,0.0329880829667672,3.597584009170532,0.1054746732115745,26376,7,1.9573617492406077,0.0851449579931795,4.008248805999756,0.0269195362925529,27155,7,1.990177704038885,0.0876571669941768,6.219053791952319,0.0012988749658688,6.220352666918188,1.5753207079833371,7.795673374901526,0.0168157920707017
