round,val_loss,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,macro_pr_auc,worst_class_f1,worst_class_recall,precision_c0,recall_c0,f1_c0,support_c0,predicted_count_c0,precision_c1,recall_c1,f1_c1,support_c1,predicted_count_c1,precision_c2,recall_c2,f1_c2,support_c2,predicted_count_c2,precision_c3,recall_c3,f1_c3,support_c3,predicted_count_c3,precision_c4,recall_c4,f1_c4,support_c4,predicted_count_c4,precision_c5,recall_c5,f1_c5,support_c5,predicted_count_c5,precision_c6,recall_c6,f1_c6,support_c6,predicted_count_c6,train_loss_client_0,train_accuracy_client_0,train_samples_client_0,train_batches_client_0,update_l2_client_0,train_seconds_client_0,train_loss_client_1,train_accuracy_client_1,train_samples_client_1,train_batches_client_1,update_l2_client_1,train_seconds_client_1,train_loss_client_2,train_accuracy_client_2,train_samples_client_2,train_batches_client_2,update_l2_client_2,train_seconds_client_2,train_loss_client_3,train_accuracy_client_3,train_samples_client_3,train_batches_client_3,update_l2_client_3,train_seconds_client_3,train_loss_client_4,train_accuracy_client_4,train_samples_client_4,train_batches_client_4,update_l2_client_4,train_seconds_client_4,round_train_seconds,aggregation_seconds,fl_round_seconds,validation_seconds,round_total_seconds,round_orchestration_seconds
1,2.4998636635695544,0.9529294453899116,0.5299939124998921,0.5155522260517922,0.5299939124998921,0.5162618593052002,0.936610705486822,0.7091912177422574,0.0,0.0,0.9530372317407646,0.9999715469065276,0.975940431300476,2495335,2618223,1.0,0.906886517943744,0.9511698880976602,6186,5610,0.6589525416269346,0.9906268952969068,0.7914454991960883,18137,27266,0.996875808994846,0.8124724273520667,0.8952771965421765,208540,169964,0.0,0.0,0.0,72600,0,0.0,0.0,0.0,19740,0,0.0,0.0,0.0,525,0,0.5418497323989868,0.1500323265790939,1996483,488,4.7678795125012,1.36798650957644,0.0171186979860067,0.9988998770713806,3135001,766,2.462319346399639,1.5521339708939197,0.5035501718521118,0.1863792985677719,2457612,601,4.900655809983562,1.142951589077711,0.1025341525673866,0.9414439797401428,2945641,720,4.538684968792405,1.3812444182112813,0.1098610088229179,0.9416047930717468,2720274,665,4.492068015458342,1.348640470765531,6.792956958524883,0.0919786803424358,6.884935638867319,3.745119659230113,10.630055298097432,2.4953384548425674
2,2.1296406254465112,0.9556613943042036,0.5688105974484384,0.3975875632261972,0.5688105974484384,0.452808700171643,0.9424531169679116,0.7154663658623678,0.0,0.0,0.9757694164940522,0.9871400032460572,0.9814217765513328,2495335,2524413,0.5592804578904333,0.9951503394762368,0.7161053917291921,6186,11007,0.364326756941375,0.9998345922699454,0.5340519208964675,18137,49774,0.8837363112575201,0.9995492471468304,0.9380818120245088,208540,235869,0.0,0.0,0.0,72600,0,0.0,0.0,0.0,19740,0,0.0,0.0,0.0,525,0,0.4065344333648681,0.2529573142528534,1996483,488,2.836428895260071,0.9643145333975554,0.0013402607291936,0.9999907612800598,3135001,766,0.6652344453075772,1.5174213163554668,0.3859277665615082,0.2984458208084106,2457612,601,2.988405861469175,1.2191468253731728,0.0279271360486745,0.98231041431427,2945641,720,1.6811258309517594,1.4713849499821663,0.0291236825287342,0.9825028777122498,2720274,665,1.6367667931991556,1.329909248277545,6.502176873385906,0.0927140591666102,6.5948909325525165,3.6503617521375418,10.245252684690058,0.0159159814938902
3,1.9051849981067204,0.9696206713568608,0.652153469695591,0.5769917439733486,0.652153469695591,0.591270291625271,0.9657008511109624,0.7489515159001078,0.0,0.0,0.9842605024668856,0.9859065015318584,0.9850828144147874,2495335,2499508,0.5596980994816768,0.9949886841254444,0.7164057498690566,6186,10997,0.6235815968640396,0.9998897281799636,0.7681230013342086,18137,29082,0.8722258485639687,0.9995924043348998,0.9315758426213098,208540,238992,0.9991761604368704,0.5846969696969697,0.7377046331375343,72600,42484,0.0,0.0,0.0,19740,0,0.0,0.0,0.0,525,0,0.3687523603439331,0.2794804573059082,1996483,488,2.2574476108909174,0.9469589097425342,0.0011613315436989,0.9998421669006348,3135001,766,0.637024654582821,1.6142120119184256,0.3572770059108734,0.3138851821422577,2457612,601,2.151135803624705,1.160525263287127,0.0178072955459356,0.987604022026062,2945641,720,0.9734688879600428,1.5589043451473117,0.018273951485753,0.9878295063972472,2720274,665,0.9329922551013344,1.36196615640074,6.642566686496139,0.010109569877386,6.652676256373525,3.787226199172437,10.439902455545962,0.0203809486702084
4,1.629072950870298,0.976289434160102,0.671054110195111,0.5852377666474131,0.671054110195111,0.6100942803590309,0.9728974014207754,0.7841823523151439,0.0,0.0,0.9876111764943468,0.989711201101255,0.9886600736272552,2495335,2500641,0.5566003616636528,0.9951503394762368,0.7139046735474893,6186,11060,0.6448,0.9998897281799636,0.7840127966797804,18137,28125,0.9086177812841894,0.9995971995780186,0.9519386429385264,208540,229421,0.999035047089702,0.713030303030303,0.8321437757201646,72600,51816,0.0,0.0,0.0,19740,0,0.0,0.0,0.0,525,0,0.3523898422718048,0.2906095385551452,1996483,488,1.9222314162951688,0.9587114984169602,0.0010697968536987,0.9998111724853516,3135001,766,0.6024608715893093,1.570569253526628,0.341601699590683,0.3244116604328155,2457612,601,1.8903013589787363,1.2212774828076365,0.0141923204064369,0.9899080991744996,2945641,720,0.7619816260767751,1.4208156885579228,0.0141955753788352,0.9901491403579712,2720274,665,0.7284292316537726,1.277911058627069,6.449284981936216,0.0969323767349124,6.546217358671129,3.6884383959695697,10.234655754640698,0.015632314607501
5,1.5256716350923158,0.9768775103569116,0.6738752311309834,0.586038554581508,0.6738752311309834,0.612595742174226,0.973560319660273,0.7585649576643293,0.0,0.0,0.98816861602574,0.9897997663640352,0.988983518623109,2495335,2499454,0.5600545950864422,0.9949886841254444,0.7166977177456917,6186,10990,0.6457873370842533,0.9998897281799636,0.7847422055864471,18137,28082,0.9091606915441112,0.9995971995780186,0.952236515129367,208540,229284,0.9990986423300096,0.7328512396694215,0.845510238134967,72600,53253,0.0,0.0,0.0,19740,0,0.0,0.0,0.0,525,0,0.3373012840747833,0.29209765791893,1996483,488,1.5222404646390992,0.9521974744275212,0.0011479859240353,0.9997805953025818,3135001,766,0.6250808287299724,1.5604309542104602,0.333298921585083,0.3263664245605469,2457612,601,1.667423301487586,1.160732471384108,0.012032869271934,0.99143648147583,2945641,720,0.7108194662913357,1.3510771971195936,0.0122177368029952,0.991610050201416,2720274,665,0.6846869339762677,1.3546131141483784,6.3790512112900615,0.0960066067054867,6.475057817995548,3.6685612751170993,10.143619093112648,0.0163041437044739
6,1.6545821870866384,0.9776251008928196,0.6741568867940224,0.6035171869684401,0.6741568867940224,0.626033989880552,0.9741690843720128,0.7448842726879309,0.0,0.0,0.9882073425663442,0.9906040671893752,0.9894042534285478,2495335,2501387,0.6813551815766165,0.9948270287746525,0.8087790774083322,6186,9032,0.6465701654306902,0.9998897281799636,0.7853199090613836,18137,28048,0.9093312163034564,0.9996451520092068,0.9523518017688766,208540,229252,0.999156402901974,0.7341322314049586,0.8463828874967247,72600,53343,0.0,0.0,0.0,19740,0,0.0,0.0,0.0,525,1,0.3326895833015442,0.2961402535438537,1996483,488,1.421257060960468,0.9963175617158412,0.0011556872632354,0.9997837543487548,3135001,766,0.6324023809691869,1.5292994529008863,0.3266822397708893,0.330717384815216,2457612,601,1.4417841239614435,1.2691957168281078,0.0106912078335881,0.9925655722618104,2945641,720,0.6730341978340447,1.417796772904694,0.0108730234205722,0.9926908016204834,2720274,665,0.6434787085287841,1.295223510824144,6.507833015173674,0.0882426043972373,6.596075619570911,3.70745927747339,10.3035348970443,0.0137423370033502
7,1.695879079321044,0.9765598995839512,0.6749059508590568,0.6163097716138756,0.6749059508590568,0.615586699212698,0.9732546529109164,0.7459460629189648,0.0,0.0,0.9882901027948824,0.9893008353587794,0.988795210787744,2495335,2497887,0.5771358904623465,0.9948270287746525,0.730488456288207,6186,10663,0.6466393296487788,0.9998897281799636,0.7853709237365207,18137,28045,0.9029999393776684,0.9999856142706436,0.9490213389521204,208540,230938,0.9991031390134528,0.7365289256198347,0.8479543292102759,72600,53520,0.0,0.0,0.0,19740,0,0.2,0.0038095238095238,0.0074766355140186,525,10,0.325918972492218,0.3029612600803375,1996483,488,1.3400727870769022,0.9508132757619024,0.0010500322096049,0.9997777342796326,3135001,766,0.5757943031560215,1.5583750056102872,0.3213569521903991,0.3338814377784729,2457612,601,1.3683563471011138,1.1644764579832554,0.009530714713037,0.9933471083641052,2945641,720,0.5895393321025213,1.42434692569077,0.0096579529345035,0.993465006351471,2720274,665,0.5699641030281654,1.3838596642017365,6.481871329247952,0.0850691376253962,6.566940466873348,3.671115263365209,10.238055730238557,0.0132038090378046
8,1.435892698012733,0.9772851581123853,0.676326410782864,0.6193239620751588,0.676326410782864,0.6296445272198313,0.973868789080054,0.7510958014074228,0.0,0.0,0.9883281325012002,0.99001737241693,0.9891720312676742,2495335,2499600,0.6871371147833855,0.9948270287746525,0.8128384625544842,6186,8956,0.6508397932816538,0.9998897281799636,0.7884611204104258,18137,27864,0.903453743577302,0.9999856142706436,0.9492718987987128,208540,230822,0.9991259716591662,0.7400413223140496,0.8502856600250052,72600,53774,0.0,0.0,0.0,19740,0,0.1063829787234042,0.0095238095238095,0.0174825174825174,525,47,0.3255427181720733,0.3096049427986145,1996483,488,1.4438123956708704,0.9480074197053908,0.0011319710174575,0.9997403621673584,3135001,766,0.598894484069366,1.6029618317261338,0.3187448978424072,0.3382242619991302,2457612,601,1.4814653203514636,1.1487943939864635,0.0088676018640398,0.9939085841178894,2945641,720,0.5562962360760317,1.4974013846367598,0.009094038978219,0.993955373764038,2720274,665,0.5396743928412289,1.341295805759728,6.538460835814476,0.0549018755555152,6.593362711369991,3.7211152035743,10.314477914944291,0.022124158218503
9,1.4793081723447303,0.977320605743296,0.676481042539499,0.618428734933132,0.676481042539499,0.6299531038805564,0.9739037863392258,0.7439217732635139,0.0,0.0,0.9883281838654094,0.9900217806426792,0.9891742573393186,2495335,2499611,0.6870254577936579,0.9946653734238604,0.8127063796063928,6186,8956,0.6529723112375329,0.9998897281799636,0.7900239599215857,18137,27773,0.9035085438979584,0.9999856142706436,0.9493021477279968,208540,230808,0.9991274320510916,0.7412809917355372,0.8511038714574899,72600,53864,0.0,0.0,0.0,19740,0,0.0980392156862745,0.0095238095238095,0.0173611111111111,525,51,0.316451221704483,0.3126127123832702,1996483,488,1.2222140364855578,0.9716231152415276,0.0011558273108676,0.9997569918632508,3135001,766,0.6067459786253938,1.4967785654589534,0.3148069381713867,0.3391646146774292,2457612,601,1.237171379681944,1.1558636156842113,0.0085921036079525,0.9943142533302308,2945641,720,0.5954082042332992,1.5125225596129894,0.0085731912404298,0.9944700598716736,2720274,665,0.5794897645852094,1.2794009167701006,6.416188772767782,0.015312785282731,6.431501558050513,3.679127234965563,10.110628793016076,0.0131394397467374
10,1.4686069617622872,0.9772727514415666,0.6760950388800471,0.6202193016596323,0.6760950388800471,0.629393300447493,0.9738553634840168,0.745013257123352,0.0,0.0,0.9883296641838066,0.9900470277537886,0.9891876005754549,2495335,2499671,0.6884860691507217,0.9946653734238604,0.8137274350327316,6186,8937,0.6482573726541555,0.9998897281799636,0.7865631505898681,18137,27975,0.9036455737889616,0.9999856142706436,0.9493777784859542,208540,230773,0.9991800682034176,0.7385537190082645,0.8493224460055598,72600,53663,0.0,0.0,0.0,19740,0,0.1136363636363636,0.0095238095238095,0.0175746924428822,525,44,0.3150343894958496,0.3133054375648498,1996483,488,1.1953480920136337,0.9593714978545904,0.001130728283897,0.9997594952583312,3135001,766,0.5968967993298019,1.5449188388884068,0.3117133677005768,0.344429075717926,2457612,601,1.3432650460327162,1.1452914075925946,0.0080643529072403,0.9946877360343932,2945641,720,0.5703108678101999,1.4402319202199578,0.0082002328708767,0.994766354560852,2720274,665,0.5515179479837663,1.2448840597644448,6.334697724319994,0.0556838558986783,6.390381580218673,3.696001038886607,10.08638261910528,0.0120701687410473
