epoch,weighted_train_loss,weighted_val_loss,val_accuracy,val_balanced_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_worst_class_f1,val_worst_class_f1_id,val_worst_class_f1_name,val_worst_class_recall,val_worst_class_recall_id,val_worst_class_recall_name,val_precision_class0_Benign,val_recall_class0_Benign,val_f1_class0_Benign,val_support_class0_Benign,val_predicted_count_class0_Benign,val_precision_class1_Analysis,val_recall_class1_Analysis,val_f1_class1_Analysis,val_support_class1_Analysis,val_predicted_count_class1_Analysis,val_precision_class2_Backdoor,val_recall_class2_Backdoor,val_f1_class2_Backdoor,val_support_class2_Backdoor,val_predicted_count_class2_Backdoor,val_precision_class3_DoS,val_recall_class3_DoS,val_f1_class3_DoS,val_support_class3_DoS,val_predicted_count_class3_DoS,val_precision_class4_Exploits,val_recall_class4_Exploits,val_f1_class4_Exploits,val_support_class4_Exploits,val_predicted_count_class4_Exploits,val_precision_class5_Fuzzers,val_recall_class5_Fuzzers,val_f1_class5_Fuzzers,val_support_class5_Fuzzers,val_predicted_count_class5_Fuzzers,val_precision_class6_Generic,val_recall_class6_Generic,val_f1_class6_Generic,val_support_class6_Generic,val_predicted_count_class6_Generic,val_precision_class7_Reconnaissance,val_recall_class7_Reconnaissance,val_f1_class7_Reconnaissance,val_support_class7_Reconnaissance,val_predicted_count_class7_Reconnaissance,val_precision_class8_Shellcode,val_recall_class8_Shellcode,val_f1_class8_Shellcode,val_support_class8_Shellcode,val_predicted_count_class8_Shellcode,val_precision_class9_Worms,val_recall_class9_Worms,val_f1_class9_Worms,val_support_class9_Worms,val_predicted_count_class9_Worms
1,1.461858868598938,1.1552040576934814,0.9736627786981721,0.5778358675732436,0.4150152809231907,0.5778358675732436,0.4227058240280946,0.9776843217844551,0.027700831024930747,9,Worms,0.07940161104718067,3,DoS,0.9999179564114135,0.9911991263027036,0.9955394520731775,344284,341282,0.07653061224489796,0.17391304347826086,0.10628875110717449,345,784,0.12033195020746888,0.6246153846153846,0.20178926441351888,325,1687,0.11386138613861387,0.07940161104718067,0.0935593220338983,869,606,0.7414130131248254,0.5609549968307628,0.6386817416406062,4733,3581,0.4237937196834312,0.4959665371974903,0.45704845814977973,3347,3917,0.9847931873479319,0.6517713365539453,0.7843992248062015,2484,1644,0.4246617466174662,0.720396452790819,0.534339330624879,1917,3252,0.25068493150684934,0.8551401869158879,0.3877118644067797,214,730,0.014164305949008499,0.625,0.027700831024930747,24,1059
2,1.129839539527893,1.0742226839065552,0.9742652185796922,0.60051817249641,0.425949133282295,0.60051817249641,0.43008010798873064,0.9782853024225527,0.027124773960216998,9,Worms,0.0805523590333717,3,DoS,0.9999531379968837,0.9916580497496253,0.9957883192943976,344284,341428,0.12206572769953052,0.9043478260869565,0.21509824198552224,345,2556,0.09047619047619047,0.11692307692307692,0.10201342281879194,325,420,0.11965811965811966,0.0805523590333717,0.09628610729023383,869,585,0.7799097065462754,0.5839847876611028,0.6678748338770086,4733,3544,0.45070847151040094,0.44666865850014936,0.4486794717887155,3347,3317,0.9754784688995215,0.6566022544283414,0.7848893166506256,2484,1672,0.4244736039060116,0.7256129368805425,0.535618020793223,1917,3277,0.28290468986384265,0.8738317757009346,0.42742857142857144,214,661,0.013863216266173753,0.625,0.027124773960216998,24,1082
3,1.056418776512146,0.9960104823112488,0.9756709116365726,0.6156229557453736,0.4364904841035635,0.6156229557453736,0.44293052483842626,0.9793730571920327,0.0337909186906019,9,Worms,0.06461538461538462,2,Backdoor,0.999964869446079,0.9921198777753251,0.9960269265032433,344284,341583,0.1254071661237785,0.8927536231884058,0.21992145662263476,345,2456,0.07553956834532374,0.06461538461538462,0.06965174129353234,325,278,0.13360323886639677,0.11392405063291139,0.12298136645962733,869,741,0.790420819490587,0.6032114937671667,0.6842420611144397,4733,3612,0.4517269513190101,0.4962653122198984,0.4729498861047836,3347,3677,0.9824984912492456,0.6553945249597424,0.7862835063994205,2484,1657,0.49711766700576465,0.764736567553469,0.6025482942868886,1917,2949,0.2912912912912913,0.9065420560747663,0.4409090909090909,214,666,0.01733477789815818,0.6666666666666666,0.0337909186906019,24,923
4,0.9975351691246033,0.9816193580627441,0.9742903202414223,0.625543343418524,0.4454680523373473,0.625543343418524,0.45913831205555067,0.9791994781056624,0.06437768240343347,9,Worms,0.14039125431530494,3,DoS,0.9999853277343967,0.9898049284892705,0.9948690850330554,344284,340779,0.1080835603996367,0.34492753623188405,0.16459197786998617,345,1101,0.09896602658788774,0.6184615384615385,0.17062818336162988,325,2031,0.06510138740661686,0.14039125431530494,0.08895370032810791,869,1874,0.8340336134453782,0.5871540249313332,0.6891506509609423,4733,3332,0.5091707569103591,0.5888855691664177,0.5461346633416458,3347,3871,0.9672131147540983,0.6650563607085346,0.7881679389312977,2484,1708,0.5478197141810187,0.7798643714136672,0.6435643564356436,1917,2729,0.2903703703703704,0.9158878504672897,0.4409448818897638,214,675,0.033936651583710405,0.625,0.06437768240343347,24,442
5,0.9622867703437805,0.929872989654541,0.9779328502657987,0.6465092880236113,0.46135616502331916,0.6465092880236113,0.4696805758040738,0.981519958927959,0.048411497730711045,9,Worms,0.07710011507479862,3,DoS,0.999973658716477,0.9923783852865657,0.996161544595621,344284,341669,0.12694099378881987,0.9478260869565217,0.22389592605272168,345,2576,0.03798882681564246,0.10461538461538461,0.05573770491803279,325,895,0.14888888888888888,0.07710011507479862,0.10159211523881728,869,450,0.8156301596037424,0.6262412845975068,0.7084976694155611,4733,3634,0.5702371644513943,0.6537197490289812,0.60913140311804,3347,3837,0.9601386481802426,0.6690821256038647,0.7886120996441282,2484,1731,0.6075593084036992,0.7882107459572248,0.6861943687556766,1917,2487,0.3210862619808307,0.9392523364485982,0.4785714285714286,214,626,0.02511773940345369,0.6666666666666666,0.048411497730711045,24,637
6,0.9392926692962646,0.9227023720741272,0.9782173357654055,0.6576048698681594,0.47478278815167413,0.6576048698681594,0.4765371200500462,0.9823038768451151,0.03418803418803419,9,Worms,0.07364787111622555,3,DoS,0.9999707389298056,0.9926136561675826,0.9962786155225316,344284,341751,0.07019562715765247,0.17681159420289855,0.10049423393739704,345,869,0.09802371541501977,0.7630769230769231,0.17373029772329246,325,2530,0.1272365805168986,0.07364787111622555,0.09329446064139942,869,503,0.828547057150981,0.6156771603634059,0.7064242424242424,4733,3517,0.6279770052012045,0.6853899014042426,0.6554285714285715,3347,3653,0.9722877358490566,0.6638486312399355,0.7889952153110048,2484,1696,0.6924119241192412,0.7996870109546166,0.7421931735657226,1917,2214,0.3137254901960784,0.9719626168224299,0.47434435575826683,214,663,0.017452006980802792,0.8333333333333334,0.03418803418803419,24,1146
7,0.9190553426742554,0.8829270005226135,0.9788839243380134,0.6576129134782631,0.4788586725077545,0.6576129134782631,0.49039651873865414,0.9824767230644231,0.06374501992031872,9,Worms,0.09321058688147296,3,DoS,0.9999765868277493,0.9924364768621254,0.9961922644072936,344284,341688,0.09054325955734406,0.2608695652173913,0.1344286781179985,345,994,0.09761904761904762,0.7569230769230769,0.17293497363796134,325,2520,0.135,0.09321058688147296,0.1102791014295439,869,600,0.8325290945217144,0.6196915275723642,0.7105135658914729,4733,3523,0.616822429906542,0.7296086047206454,0.6684916506980564,3347,3959,0.9811875367430923,0.6719001610305958,0.797610513739546,2484,1701,0.6394287980959936,0.8408972352634324,0.7264533573681838,1917,2521,0.36200716845878134,0.9439252336448598,0.5233160621761658,214,558,0.03347280334728033,0.6666666666666666,0.06374501992031872,24,478
8,0.8980861306190491,0.8834443092346191,0.97871657992648,0.6660923521207238,0.473601648096417,0.6660923521207238,0.483462822766868,0.9823307124036719,0.054838709677419356,9,Worms,0.1001150747986191,3,DoS,0.9999795132344506,0.9924277631257915,0.9961893266158188,344284,341684,0.1264807030951471,0.9594202898550724,0.22349763673193787,345,2617,0.043689320388349516,0.11076923076923077,0.06266318537859007,325,824,0.13141993957703926,0.1001150747986191,0.11365120836054866,869,662,0.8308781869688385,0.6196915275723642,0.7099116543628222,4733,3530,0.6334050564819795,0.7036151777711384,0.6666666666666666,3347,3718,0.989247311827957,0.6666666666666666,0.7965367965367965,2484,1674,0.6129889859475883,0.8419405320813772,0.7094505494505494,1917,2633,0.3394039735099338,0.9579439252336449,0.5012224938875306,214,604,0.028523489932885907,0.7083333333333334,0.054838709677419356,24,596
9,0.8737421035766602,0.8886102437973022,0.9794779969989569,0.656402045278759,0.48115462296034445,0.656402045278759,0.4938514604762839,0.982993760236441,0.08086253369272237,9,Worms,0.13693901035673187,3,DoS,0.9999736671172516,0.9926949843733662,0.9963210322099169,344284,341778,0.09198423127463863,0.2028985507246377,0.12658227848101267,345,761,0.09820359281437126,0.7569230769230769,0.17385159010600706,325,2505,0.13615560640732266,0.13693901035673187,0.13654618473895583,869,874,0.8609232578653337,0.6186351151489542,0.7199409884435702,4733,3401,0.6225997045790251,0.7556020316701524,0.682683223107032,3347,4062,0.9803012746234068,0.6811594202898551,0.8038004750593825,2484,1726,0.6574225122349103,0.8408972352634324,0.737926298924239,1917,2452,0.32075471698113206,0.9532710280373832,0.48,214,636,0.043227665706051875,0.625,0.08086253369272237,24,347
10,0.8676517009735107,0.8463156223297119,0.9796983338074758,0.6860911376432678,0.49075875349702197,0.6860911376432678,0.5010076326637716,0.9834150315868787,0.05100671140939597,9,Worms,0.142692750287687,3,DoS,0.9999736741266392,0.9929593010421629,0.9964541436093699,344284,341869,0.12510088781275222,0.8985507246376812,0.2196245129295076,345,2478,0.06818181818181818,0.19384615384615383,0.10088070456365092,325,924,0.14993954050785974,0.142692750287687,0.14622641509433962,869,827,0.8689613526570048,0.6080709909148532,0.7154754505904288,4733,3312,0.6650666666666667,0.7451449058858679,0.7028321826123715,3347,3750,0.9497792494481236,0.6928341384863124,0.8012104283054003,2484,1812,0.7015915119363395,0.8278560250391236,0.7595118449389806,1917,2262,0.3526405451448041,0.9672897196261683,0.5168539325842697,214,587,0.026352288488210817,0.7916666666666666,0.05100671140939597,24,721
