round,val_loss,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,macro_pr_auc,worst_class_f1,worst_class_recall,precision_c0,recall_c0,f1_c0,support_c0,predicted_count_c0,precision_c1,recall_c1,f1_c1,support_c1,predicted_count_c1,precision_c2,recall_c2,f1_c2,support_c2,predicted_count_c2,precision_c3,recall_c3,f1_c3,support_c3,predicted_count_c3,precision_c4,recall_c4,f1_c4,support_c4,predicted_count_c4,precision_c5,recall_c5,f1_c5,support_c5,predicted_count_c5,precision_c6,recall_c6,f1_c6,support_c6,predicted_count_c6,precision_c7,recall_c7,f1_c7,support_c7,predicted_count_c7,precision_c8,recall_c8,f1_c8,support_c8,predicted_count_c8,precision_c9,recall_c9,f1_c9,support_c9,predicted_count_c9,train_loss_client_0,train_accuracy_client_0,train_samples_client_0,train_batches_client_0,update_l2_client_0,train_seconds_client_0,train_loss_client_1,train_accuracy_client_1,train_samples_client_1,train_batches_client_1,update_l2_client_1,train_seconds_client_1,train_loss_client_2,train_accuracy_client_2,train_samples_client_2,train_batches_client_2,update_l2_client_2,train_seconds_client_2,train_loss_client_3,train_accuracy_client_3,train_samples_client_3,train_batches_client_3,update_l2_client_3,train_seconds_client_3,train_loss_client_4,train_accuracy_client_4,train_samples_client_4,train_batches_client_4,update_l2_client_4,train_seconds_client_4,round_train_seconds,aggregation_seconds,fl_round_seconds,validation_seconds,round_total_seconds,round_orchestration_seconds
1,1.8941817890624117,0.9617534347440467,0.3605494919433572,0.2662280886414133,0.3605494919433572,0.26774328109950174,0.9629977901094927,0.26900718950363933,0.0,0.0,0.9950361580097693,0.9851546978657155,0.9900707729267648,344284,340865,0.12884503772489844,0.6434782608695652,0.21470019342359767,345,1723,0.0,0.0,0.0,325,0,0.2222222222222222,0.004602991944764097,0.009019165727170236,869,18,0.5149466192170818,0.3057257553348827,0.3836669760042423,4733,2810,0.3093026479966727,0.6665670749925307,0.4225378787878788,3347,7213,0.3059443737502272,0.677536231884058,0.4215403882279274,2484,5501,0.0,0.0,0.0,1917,39,0.18598382749326145,0.32242990654205606,0.2358974358974359,214,371,0.0,0.0,0.0,24,2,2.0604279041290283,0.02984355203807354,244810,60,1.6195030197980744,0.9742093329550698,1.9297175407409668,0.015381732024252415,213435,53,1.2200436454831969,0.7950402500573546,1.9345598220825195,0.0284494049847126,204644,50,1.4301649541239898,0.7592451670207083,1.819259524345398,0.6731467247009277,227056,56,1.8053088728544893,0.8632775829173625,1.5962493419647217,0.8439711332321167,783246,192,3.66943432877077,2.891125542111695,6.28289787506219,0.0012933750404044986,6.2841912501025945,1.517996208043769,7.8021874581463635,0.016264332924038172
2,1.6316632069953947,0.9649301894896554,0.41902279586975,0.33409317020177026,0.41902279586975,0.33714093835196224,0.968220200895955,0.3291335886660822,0.0,0.0,0.9977740416748864,0.9842833242323198,0.9909827712004304,344284,339629,0.13273871983210914,0.7333333333333333,0.22478898267436695,345,1906,0.0,0.0,0.0,325,0,0.26785714285714285,0.01726121979286536,0.032432432432432434,869,56,0.48506039415130325,0.48362560743714345,0.48434193821413457,4733,4719,0.31668625146886015,0.6441589483119211,0.42461841457410143,3347,6808,0.4640915593705293,0.6529790660225443,0.5425656464291687,2484,3495,0.41397849462365593,0.3615023474178404,0.38596491228070173,1917,1674,0.2627450980392157,0.3130841121495327,0.2857142857142857,214,255,0.0,0.0,0.0,24,0,1.7040936946868896,0.7236223816871643,244810,60,1.4310903935997517,0.8861292499350384,1.6303459405899048,0.9170520305633545,213435,53,1.0680773090713964,0.7774362920317799,1.644616961479187,0.8448231816291809,204644,50,1.5382995560061994,0.7479100419441238,1.3150382041931152,0.9713462591171265,227056,56,1.470425165361627,0.8181588749866933,1.2935264110565186,0.963038444519043,783246,192,2.8058186776259286,2.830666165915318,6.060300624812953,0.0012160420883446932,6.061516666901298,1.5163191669853404,7.577835833886638,0.017403000150807202
3,1.499762717624779,0.9657418098855922,0.4885833013103357,0.33947628074644715,0.4885833013103357,0.34653518069617734,0.9696669613842427,0.3564510511987942,0.0,0.0,0.9991330553606077,0.9841526181873105,0.9915862605830209,344284,339122,0.14197183098591548,0.7304347826086957,0.23773584905660378,345,1775,0.0,0.0,0.0,325,0,0.30434782608695654,0.01611047180667434,0.030601092896174863,869,46,0.5488767455980571,0.5729980984576378,0.5606781062642133,4733,4941,0.3031803180318032,0.603824320286824,0.40367522221112556,3347,6666,0.46475270039795336,0.6582125603864735,0.5448183938687104,2484,3518,0.4429572976418101,0.36254564423578506,0.3987378083763626,1917,1569,0.14471544715447154,0.4158878504672897,0.2147165259348613,214,615,0.04482758620689655,0.5416666666666666,0.08280254777070063,24,290,1.4883713722229004,0.8614680767059326,244810,60,1.2017672764985006,0.8817247910192236,1.4740264415740967,0.9284606575965881,213435,53,0.9272102958715421,0.7768224580213428,1.4089676141738892,0.9043021202087402,204644,50,1.3099706416227772,0.7403042080113664,1.1331775188446045,0.9727512001991272,227056,56,1.1837451494912103,0.8158054170198739,1.166399598121643,0.9705239534378052,783246,192,2.01144834201023,2.8339234580053017,6.048580332077108,0.0012857919791713357,6.04986612405628,1.516368207987398,7.566234332043678,0.015789375989697874
4,1.45236630043918,0.9664641799287113,0.5414033912492461,0.34304914630352057,0.5414033912492461,0.3679380805825979,0.9716568501490215,0.3687525202380107,0.0,0.0,0.9999084522223961,0.9834613284381499,0.9916166963194002,344284,338621,0.11481332798073063,0.8289855072463768,0.2016925246826516,345,2491,0.0,0.0,0.0,325,0,0.13333333333333333,0.02761795166858458,0.04575786463298379,869,180,0.618748598340435,0.5829283752376928,0.6003046127067014,4733,4459,0.34894746823440165,0.549746041230953,0.42691415313225056,3347,5273,0.4637393767705382,0.6590177133655395,0.5443964083804457,2484,3530,0.601145038167939,0.6572769953051644,0.6279591328183404,1917,2096,0.13630573248407643,0.5,0.21421421421421422,214,785,0.013550135501355014,0.625,0.026525198938992044,24,1107,1.3990978002548218,0.9003512859344482,244810,60,1.0853484557860558,0.8856470420723781,1.3679159879684448,0.9318621754646301,213435,53,0.8821193964515375,0.7734017500188202,1.3711309432983398,0.8200386762619019,204644,50,1.6556244314858954,0.7223860420053825,1.0358500480651855,0.9711701273918152,227056,56,1.1234838978838388,0.8254075000295416,1.0993142127990723,0.9694885015487671,783246,192,1.9500334886967292,2.8388895420357585,6.045731876161881,0.0013644170248880982,6.047096293186769,1.5246937499614432,7.571790043148212,0.016791331814602017
5,1.4116610645435947,0.9676021219271382,0.5417246957867679,0.3583222979919686,0.5417246957867679,0.3782471108369221,0.9718363072736164,0.37539239018258996,0.0,0.0,0.999908496539103,0.9839376793577396,0.9918588019658336,344284,338785,0.11929247223364871,0.8405797101449275,0.20893371757925072,345,2431,0.0,0.0,0.0,325,0,0.2962962962962963,0.018411967779056387,0.03466955579631636,869,54,0.6324195985322685,0.6190576801183182,0.6256673072816571,4733,4633,0.3242097828006357,0.5485509411413206,0.4075471698113208,3347,5663,0.4663793103448276,0.6533816425120773,0.5442655935613682,2484,3480,0.5018382352941176,0.7120500782472613,0.5887427215872332,1917,2720,0.16333333333333333,0.45794392523364486,0.24078624078624078,214,600,0.07954545454545454,0.5833333333333334,0.14,24,176,1.3597124814987183,0.9161472320556641,244810,60,1.159837089654607,0.8801267909584567,1.3299261331558228,0.9383559226989746,213435,53,0.86044907666756,0.7623907499946654,1.2739900350570679,0.9293895959854126,204644,50,1.2559780973912036,0.7533827499719337,1.0205610990524292,0.9722755551338196,227056,56,1.0164151508632815,0.8179223330225796,1.0636916160583496,0.9695842862129211,783246,192,1.6989650197066133,2.8315602919319645,6.0453829158796,0.0012827090686187148,6.0466656249482185,1.5704115419648588,7.617077166913077,0.016304584103636444
6,1.3773343329601797,0.9674291993685538,0.5158600026893889,0.36816545359722,0.5158600026893889,0.3616415611629843,0.971760025911173,0.3904578170615367,0.0,0.0,0.9999084992399534,0.9839667251455194,0.991873560744804,344284,338795,0.124273580688422,0.8057971014492754,0.21533694810224632,345,2237,0.0,0.0,0.0,325,0,0.3191489361702128,0.01726121979286536,0.03275109170305677,869,47,0.6405003234850118,0.627508979505599,0.6339381003201707,4733,4637,0.3481630309988519,0.7248282043621154,0.47038293746970433,3347,6968,0.4677695379349686,0.6602254428341385,0.5475792988313857,2484,3506,0.5720303285593934,0.3541992696922274,0.4375,1917,1187,0.19012345679012346,0.3598130841121495,0.24878836833602586,214,405,0.019736842105263157,0.625,0.03826530612244898,24,760,1.306294322013855,0.9232138991355896,244810,60,1.143913424928176,0.8874455830082297,1.295001745223999,0.9414997696876526,213435,53,0.8402669716297588,0.8237480410607532,1.2450876235961914,0.9355661273002625,204644,50,1.1090873325144286,0.7636368750827387,0.9644299745559692,0.9720245003700256,227056,56,0.9678710547601058,0.8371592079056427,1.0266281366348267,0.9705852270126343,783246,192,1.5723113281407541,2.911423458950594,6.223413166007958,0.0011599999852478504,6.224573165993206,1.5905325000640005,7.815105666057207,0.016805291990749538
7,1.3210420064098496,0.9655242621505988,0.5305239243618984,0.33524279861503936,0.5305239243618984,0.33971444629540565,0.970909789712603,0.3896844452862064,0.0,0.0,0.9999055573591477,0.9840654808239709,0.991922285299379,344284,338830,0.11991869918699187,0.855072463768116,0.2103386809269162,345,2460,0.0,0.0,0.0,325,0,0.2727272727272727,0.020713463751438434,0.038502673796791446,869,66,0.6643004350812916,0.6129304880625396,0.6375824175824176,4733,4367,0.34040274207369325,0.4747535106065133,0.39650655021834064,3347,4668,0.4683653020326367,0.6586151368760065,0.5474318219842731,2484,3493,0.3911530815109344,0.41053729786124155,0.4006108424535505,1917,2012,0.0768814293448836,0.6635514018691588,0.13779718583212033,214,1847,0.01877346683354193,0.625,0.03645200486026731,24,799,1.2806347608566284,0.9298108816146851,244810,60,1.0967880048616645,0.934550708043389,1.2577271461486816,0.9442734122276306,213435,53,0.8541594345149562,0.7973102920223027,1.2398208379745483,0.9352729320526123,204644,50,1.59869941043727,0.820570292067714,0.932489275932312,0.972804069519043,227056,56,0.9528091791232863,0.8388217920437455,1.012886643409729,0.9683509469032288,783246,192,1.5184275491119137,2.857651291997172,6.248904376174323,0.0014169999631121755,6.250321376137435,1.5282820420106873,7.778603418148123,0.01660583191551268
8,1.3514754424362339,0.9675045043537438,0.5609863183491897,0.3507539535612476,0.5609863183491897,0.37443843389587406,0.972389374014933,0.40888981369457483,0.0,0.0,0.9999085238103669,0.9842310418143161,0.9920078457777712,344284,338886,0.10966608084358524,0.9043478260869565,0.19561128526645769,345,2845,0.0,0.0,0.0,325,0,0.15384615384615385,0.02531645569620253,0.043478260869565216,869,143,0.7020137649757838,0.5818719628142827,0.6363216266173752,4733,3923,0.3284072249589491,0.537795040334628,0.4077933846850929,3347,5481,0.4688117414620378,0.6686795491143317,0.5511863281898125,2484,3543,0.5711864406779661,0.7031820552947313,0.6303483750292261,1917,2360,0.14351851851851852,0.5794392523364486,0.2300556586270872,214,864,0.030181086519114688,0.625,0.05758157389635317,24,497,1.2561477422714233,0.9354356527328491,244810,60,1.1209093953288465,0.8781487920787185,1.2306545972824097,0.9471220970153809,213435,53,0.8123828380502355,0.7898482499876991,1.17670476436615,0.9410244226455688,204644,50,1.1504588337642776,0.7533554580295458,0.9459324479103088,0.9742090106010437,227056,56,0.9575601500572187,0.8170035829534754,0.992931604385376,0.9716436266899109,783246,192,1.5694306184209843,2.831000959035009,6.069357042084448,0.0013109579449519515,6.0706680000294,1.5154703750740737,7.586138375103474,0.017357748933136463
9,1.3122526902082714,0.963995849858594,0.5102150768158531,0.30260371327061547,0.5102150768158531,0.2987159571168773,0.9695054166881977,0.4022766704197438,0.0,0.0,0.9999085818089596,0.984855526251583,0.9923249705510071,344284,339101,0.11066471877282688,0.8782608695652174,0.19656179046383393,345,2738,0.0,0.0,0.0,325,0,0.25,0.02186421173762946,0.04021164021164021,869,76,0.741001353179973,0.5784914430593704,0.6497389653535833,4733,3695,0.35276338514680483,0.488198386614879,0.40957513472866275,3347,4632,0.47018739352640543,0.6666666666666666,0.5514485514485514,2484,3522,0.03065134099616858,0.008346374543557642,0.013120131201312012,1917,522,0.055538602380225816,0.8504672897196262,0.10426811801775995,214,3277,0.015321756894790603,0.625,0.02991026919242273,24,979,1.2512387037277222,0.9360851049423218,244810,60,1.0886328107109837,0.912474250071682,1.2369533777236938,0.9478623270988464,213435,53,0.8023080565344555,0.8030287500005215,1.1705775260925293,0.9432429075241089,204644,50,1.2727344150261044,0.7557089170441031,0.8860728740692139,0.9747067093849182,227056,56,0.9397961960131489,0.8210343330865726,0.9652763605117798,0.9715734124183655,783246,192,1.49699964935097,2.8332944579888135,6.125540708191693,0.001424333080649376,6.126965041272342,1.5268474580952898,7.653812499367632,0.015506291761994362
10,1.303804973951379,0.9669132207663258,0.5455405853895713,0.3789257356200595,0.5455405853895713,0.357466895527789,0.9721403946725758,0.4196586893449436,0.0,0.0,0.9999114754388605,0.9842426601294281,0.9920151996639212,344284,338889,0.10770279481935924,0.9159420289855073,0.19274168953949375,345,2934,0.0,0.0,0.0,325,2,0.35294117647058826,0.01380897583429229,0.026578073089700997,869,34,0.6987553975107951,0.5812381153602366,0.6346020761245674,4733,3937,0.36257999326372514,0.6432626232446967,0.4637587506731287,3347,5938,0.46495392348506004,0.6702898550724637,0.5490519373454246,2484,3581,0.6885536823425022,0.4047991653625456,0.5098554533508541,1917,1127,0.07913669064748201,0.616822429906542,0.14027630180658873,214,1668,0.034722222222222224,0.625,0.06578947368421052,24,432,1.204679012298584,0.9365957379341125,244810,60,1.0193495181959347,0.8863574580755085,1.1915209293365479,0.9487993717193604,213435,53,0.8275891717964657,0.7888526249444112,1.141801118850708,0.9342712163925171,204644,50,1.4723869508805512,0.7178047089837492,0.8757373690605164,0.9746978878974915,227056,56,0.8955156079996107,0.8205127919791266,0.9648705124855042,0.9722769260406494,783246,192,1.450105280923229,2.9121736250817776,6.125701209064573,0.0012408329639583826,6.126942042028531,1.5021007501054555,7.629042792133987,0.015240998938679695
