round,val_loss,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,macro_pr_auc,worst_class_f1,worst_class_recall,precision_c0,recall_c0,f1_c0,support_c0,predicted_count_c0,precision_c1,recall_c1,f1_c1,support_c1,predicted_count_c1,precision_c2,recall_c2,f1_c2,support_c2,predicted_count_c2,precision_c3,recall_c3,f1_c3,support_c3,predicted_count_c3,precision_c4,recall_c4,f1_c4,support_c4,predicted_count_c4,precision_c5,recall_c5,f1_c5,support_c5,predicted_count_c5,precision_c6,recall_c6,f1_c6,support_c6,predicted_count_c6,precision_c7,recall_c7,f1_c7,support_c7,predicted_count_c7,precision_c8,recall_c8,f1_c8,support_c8,predicted_count_c8,precision_c9,recall_c9,f1_c9,support_c9,predicted_count_c9,train_loss_client_0,train_accuracy_client_0,train_samples_client_0,train_batches_client_0,update_l2_client_0,train_seconds_client_0,train_loss_client_1,train_accuracy_client_1,train_samples_client_1,train_batches_client_1,update_l2_client_1,train_seconds_client_1,train_loss_client_2,train_accuracy_client_2,train_samples_client_2,train_batches_client_2,update_l2_client_2,train_seconds_client_2,train_loss_client_3,train_accuracy_client_3,train_samples_client_3,train_batches_client_3,update_l2_client_3,train_seconds_client_3,train_loss_client_4,train_accuracy_client_4,train_samples_client_4,train_batches_client_4,update_l2_client_4,train_seconds_client_4,round_train_seconds,aggregation_seconds,fl_round_seconds,validation_seconds,round_total_seconds,round_orchestration_seconds
1,1.908770328123397,0.8428747538642614,0.36046870538982645,0.23601857507533866,0.36046870538982645,0.2156942699823062,0.8941011926071443,0.24312107008486866,0.0,0.0,0.9971518018972295,0.8613063633511868,0.924264218868101,344284,297381,0.1454849498327759,0.25217391304347825,0.18451749734888653,345,598,0.12092130518234165,0.38769230769230767,0.18434528163862474,325,1042,0.25,0.005753739930955121,0.01124859392575928,869,20,0.07122219417094448,0.5364462286076485,0.12574909613193996,4733,35649,0.3544093178036606,0.06363907977293098,0.10790273556231003,3347,601,0.31028699217294076,0.6702898550724637,0.42420382165605097,2484,5366,0.05843646242076668,0.5049556598852374,0.1047505681203333,1917,16565,0.05227272727272727,0.32242990654205606,0.08996088657105607,214,1320,0.0,0.0,0.0,24,0,2.1207077503204346,0.41783881187438965,334641,82,1.7377482767834864,1.340501166996546,2.1009843349456787,0.4572017788887024,334640,82,1.734165999024152,1.2897591249784455,2.1040661334991455,0.4338598847389221,334638,82,1.65031215323163,1.2746540419757366,2.1148006916046143,0.45336753129959106,334638,82,1.782220943128532,1.2423005839809775,2.087390899658203,0.3404107093811035,334634,82,1.7441983902219738,1.2568614169722423,6.404076334903948,0.001219416968524456,6.4052957518724725,1.653304542065598,8.05860029393807,0.01553995709400624
2,1.666593077290605,0.9306329523458897,0.45146104036873347,0.2731362371526206,0.45146104036873347,0.2727087674658886,0.946292654431255,0.2614145753296714,0.01520086862106406,0.00805523590333717,0.996114948948001,0.9532478999895435,0.9742100951091797,344284,329468,0.13983840894965818,0.6521739130434783,0.23029682702149437,345,1609,0.1414141414141414,0.043076923076923075,0.0660377358490566,325,99,0.1346153846153846,0.00805523590333717,0.01520086862106406,869,52,0.14514337971128094,0.46946968096344815,0.2217343578485181,4733,15309,0.25923682616596,0.12787570959067823,0.17126850740296118,3347,1651,0.4621082621082621,0.6529790660225443,0.5412078745412079,2484,3510,0.4011071967790639,0.4157537819509651,0.4082991803278688,1917,1987,0.04008169517487874,0.7336448598130841,0.07601065117404987,214,3917,0.011702127659574468,0.4583333333333333,0.022821576763485476,24,940,1.8322036266326904,0.8470062017440796,334641,82,1.549826940942807,1.3511732909828424,1.851266622543335,0.8415969610214233,334640,82,1.551020707661221,1.3491106251021847,1.82527494430542,0.8492161631584167,334638,82,1.5449091998808888,1.2114263749681413,1.8384699821472168,0.8500708341598511,334638,82,1.615684084577412,1.2175585828954354,1.8249810934066772,0.8225523829460144,334634,82,1.5624916505590516,1.2307315410580486,6.3600004150066525,0.0011255830759182572,6.361125998082571,1.5379639170132577,7.8990899150958285,0.01667371008079499
3,1.5148327135915953,0.9506780237740627,0.4583914652160074,0.26790074257468816,0.4583914652160074,0.27924562478309994,0.9592630817525578,0.2883825571157261,0.0,0.0,0.9982157963088728,0.9733969629724297,0.9856501688215433,344284,335724,0.0,0.0,0.0,345,26,0.11355735805330243,0.6030769230769231,0.19112627986348124,325,1726,0.14516129032258066,0.010356731875719217,0.01933404940923738,869,62,0.2997825036249396,0.5241918444960912,0.38142824198631714,4733,8276,0.23792756539235413,0.14132058559904392,0.177319587628866,3347,1988,0.46618705035971225,0.6521739130434783,0.5437153884880014,2484,3475,0.3615488518685277,0.4188836724047992,0.38811019816336395,1917,2221,0.05020302694721299,0.6355140186915887,0.09305508039685255,214,2709,0.006423982869379015,0.625,0.01271725307333616,24,2335,1.6387792825698853,0.9030364155769348,334641,82,1.3457242676135683,1.2063860419439152,1.6590522527694702,0.9038549065589905,334640,82,1.280900366692316,1.29851633310318,1.628097653388977,0.9002175331115723,334638,82,1.3296953212690679,1.242296333075501,1.69015371799469,0.884986162185669,334638,82,1.6532150393890852,1.2039452500175685,1.6271560192108154,0.9101704955101013,334634,82,1.293869441345171,1.2109331249957904,6.162077083135955,0.001496333978138864,6.163573417114094,1.5277304999763146,7.6913039170904085,0.016569208819419146
4,1.426641737099259,0.9636137467855928,0.5100023410248867,0.3280885071140733,0.5100023410248867,0.34204175077042664,0.9687523826586493,0.3196706533476014,0.01430615164520744,0.009205983889528193,0.9998404104407036,0.9826596646954259,0.9911755916631021,344284,338368,0.13958682300390843,0.7246376811594203,0.2340823970037453,345,1791,0.058823529411764705,0.024615384615384615,0.03470715835140998,325,136,0.24242424242424243,0.009205983889528193,0.017738359201773836,869,33,0.5108677049460894,0.6306782167758292,0.5644856278366112,4733,5843,0.2785714285714286,0.24469674335225575,0.26053761730555114,3347,2940,0.4656510491520552,0.6521739130434783,0.5433506624182458,2484,3479,0.4404494382022472,0.7157016171100679,0.5453100158982512,1917,3115,0.13743455497382198,0.49065420560747663,0.2147239263803681,214,764,0.00723589001447178,0.625,0.01430615164520744,24,2073,1.5340654850006104,0.9259325861930847,334641,82,1.1353139537394568,1.2342880829237401,1.5394209623336792,0.9255677461624146,334640,82,1.1926000277741058,1.2048207920743152,1.5048587322235107,0.9259408712387085,334638,82,1.1498743834406742,1.201463000033982,1.5503435134887695,0.9200299978256226,334638,82,1.526827393198345,1.2273324999259785,1.516221284866333,0.9222374558448792,334634,82,1.2439681636159698,1.2027544589946046,6.070658833952621,0.001194083015434444,6.071852916968055,1.585571208037436,7.657424125005491,0.0161712080007419
5,1.3733057472447197,0.9450998767229501,0.5123659142186919,0.2875292055442471,0.5123659142186919,0.3239031511067459,0.9565897939503549,0.3337133385543155,0.02533783783783784,0.03768115942028986,0.9999095614635367,0.9634110211337152,0.981321033548767,344284,331717,0.1368421052631579,0.03768115942028986,0.05909090909090909,345,95,0.11813842482100238,0.6092307692307692,0.19790104947526238,325,1676,0.07300672430355427,0.08745684695051784,0.07958115183246073,869,1041,0.2388888888888889,0.5996196915275723,0.34166014566905434,4733,11880,0.2726726726726727,0.27128772034657905,0.2719784334281863,3347,3330,0.46689694876223375,0.6529790660225443,0.5444780127559584,2484,3474,0.44125159642401024,0.7209181011997914,0.5474351356704298,1917,3132,0.11475409836065574,0.5560747663551402,0.19024780175859313,214,1037,0.01293103448275862,0.625,0.02533783783783784,24,1160,1.446374773979187,0.9371505379676819,334641,82,1.0789917626769154,1.2204276249976829,1.4791154861450195,0.9386086463928223,334640,82,1.08705000517795,1.5577135829953477,1.4396276473999023,0.9382168054580688,334638,82,1.123997912129523,1.209039874956943,1.4858137369155884,0.9097472429275513,334638,82,1.7118457170151438,1.2614595419727266,1.42234206199646,0.9362736344337463,334634,82,1.1395197154557408,1.3081533749355003,6.5567939998582006,0.0011993329972028732,6.557993332855403,1.530971167027019,8.088964499882422,0.016611834056675434
6,1.3304979710240523,0.9640516313291051,0.49939756474675656,0.3196307444001403,0.49939756474675656,0.32687426444585077,0.9691989721644174,0.35824681100969025,0.02,0.012307692307692308,0.9998671618087248,0.9838185916278421,0.9917779580172229,344284,338758,0.14156796390298929,0.7275362318840579,0.23701605288007555,345,1773,0.05333333333333334,0.012307692307692308,0.02,325,75,0.25316455696202533,0.023014959723820484,0.04219409282700422,869,79,0.5404791047385906,0.6530741601521234,0.5914657481821661,4733,5719,0.2990543735224586,0.3023603226770242,0.30069826177388204,3347,3384,0.4666283084004603,0.6529790660225443,0.5442953020134228,2484,3476,0.3534368070953437,0.4157537819509651,0.38207094918504314,1917,2255,0.07790626902008521,0.5981308411214953,0.13785675821217017,214,1643,0.010869565217391304,0.625,0.021367521367521368,24,1380,1.3889360427856445,0.9423621296882629,334641,82,0.9531328026191278,1.207926083006896,1.4149757623672485,0.9435811638832092,334640,82,0.9221160854281917,1.2111638750648126,1.3643591403961182,0.9423466324806213,334638,82,0.9289694164638301,1.2671056250110269,1.4291390180587769,0.938662052154541,334638,82,1.6328732374293178,1.207926040980965,1.3882403373718262,0.9403557181358337,334634,82,1.0082583097514017,1.2043844169238582,6.098506040987559,0.001291625085286796,6.0997976660728455,1.5493250410072505,7.649122707080096,0.01501470897346735
7,1.2991703766038498,0.9662968355171779,0.5278226893609357,0.3347586425511221,0.5278226893609357,0.360504009158572,0.9706481502575842,0.3799177745193341,0.029940119760479042,0.02761795166858458,0.9999114331009928,0.9837721183673943,0.9917761207359764,344284,338727,0.14462081128747795,0.7130434782608696,0.2404692082111437,345,1701,0.09090909090909091,0.04,0.05555555555555555,325,143,0.1889763779527559,0.02761795166858458,0.04819277108433735,869,127,0.5504761904761905,0.6716670188041411,0.6050628092881614,4733,5775,0.31917808219178084,0.34807290110546757,0.3329998570816064,3347,3650,0.4679505605058925,0.6553945249597424,0.5460338755659903,2484,3479,0.4354382657869934,0.7230046948356808,0.5435294117647059,1917,3183,0.13478818998716302,0.49065420560747663,0.21148036253776434,214,779,0.015337423312883436,0.625,0.029940119760479042,24,978,1.3607600927352905,0.9478664994239807,334641,82,0.9245193329724505,1.3472313749371096,1.373335599899292,0.9454697370529175,334640,82,1.2351583017741479,1.2865387920755893,1.345893383026123,0.9461896419525146,334638,82,0.8959510407307733,1.3049355410039425,1.3506460189819336,0.9475522637367249,334638,82,0.9452150091748901,1.3216220829635859,1.3506317138671875,0.9418319463729858,334634,82,1.0475130713773457,1.3042806669836864,6.564608457963914,0.0013916670577600598,6.566000125021674,1.6344992079539225,8.200499332975596,0.015588959096930921
8,1.2909976112387145,0.9650166507689476,0.5164161376608163,0.32807515730897696,0.5164161376608163,0.342001882376544,0.9702192193672232,0.3860150182639278,0.038974358974358976,0.02186421173762946,0.9999114417286574,0.9838679694670679,0.991824831196819,344284,338760,0.1306122448979592,0.0927536231884058,0.10847457627118644,345,245,0.11680199875078076,0.5753846153846154,0.19418483904465214,325,1601,0.1792452830188679,0.02186421173762946,0.038974358974358976,869,106,0.5630326704545454,0.669976758926685,0.6118668596237338,4733,5632,0.3502495840266223,0.377352853301464,0.36329641881202357,3347,3606,0.46865067899451024,0.6529790660225443,0.5456686291000841,2484,3461,0.3824091778202677,0.4173187271778821,0.3991020204539785,1917,2092,0.06923409779316313,0.7476635514018691,0.12673267326732673,214,2311,0.020604395604395604,0.625,0.0398936170212766,24,728,1.3463678359985352,0.9493815898895264,334641,82,1.0664245329676458,1.297546291956678,1.358273983001709,0.951225221157074,334640,82,0.9365560522953756,1.299115709029138,1.3290951251983643,0.94988614320755,334638,82,0.9915903046648711,1.288211999926716,1.3452950716018677,0.9465661644935608,334638,82,1.3480031555224894,1.2362043749308214,1.3346383571624756,0.9505400061607361,334634,82,0.9657280114120209,1.449131374945864,6.570209750789218,0.0015921660233289003,6.5718019168125466,1.6507501660380512,8.222552082850598,0.01621533220168203
9,1.266345197398451,0.9652007296216343,0.507898645067262,0.3270657049127881,0.507898645067262,0.345634206225626,0.9704082416827028,0.4143496715075664,0.029182879377431907,0.0333716915995397,0.9999143886166382,0.9838127824702861,0.9917982384220759,344284,338740,0.14935064935064934,0.06666666666666667,0.09218436873747494,345,154,0.1172950329144225,0.6030769230769231,0.1963927855711423,325,1671,0.12719298245614036,0.0333716915995397,0.0528714676390155,869,228,0.5787290213086932,0.6484259454891189,0.6115982463132722,4733,5303,0.32998401461520893,0.43172990737974304,0.37406161014755374,3347,4379,0.4680728113262063,0.6521739130434783,0.5449957947855341,2484,3461,0.40135724672806594,0.431924882629108,0.41608040201005025,1917,2063,0.08382066276803118,0.602803738317757,0.14717626925270963,214,1539,0.014940239043824702,0.625,0.029182879377431907,24,1004,1.3171515464782715,0.9514853358268738,334641,82,0.813302229499384,1.322969250031747,1.346307635307312,0.949964165687561,334640,82,0.9476426494467408,1.325808292021975,1.2823734283447266,0.9519122242927551,334638,82,0.8398686625700202,1.3928890840616077,1.2929458618164062,0.9501431584358215,334638,82,1.2656144771609426,1.2975977499736473,1.3280881643295288,0.9515351057052612,334634,82,1.1189820294158184,1.2824821670074016,6.6217465430963784,0.001153124962002039,6.6228996680583805,1.6271319579100236,8.250031625968404,0.016404123860411346
10,1.2631880140548846,0.9661071785174401,0.5370319699763437,0.34253393028165147,0.5370319699763437,0.3726014631856477,0.9715348055385536,0.40492497982473263,0.020703933747412008,0.07246376811594203,0.9999143888693722,0.9838156870490642,0.9917997145053256,344284,338741,0.12315270935960591,0.07246376811594203,0.09124087591240876,345,203,0.11017369727047147,0.683076923076923,0.18974358974358974,325,2015,0.10708661417322834,0.07825086306098965,0.09042553191489362,869,635,0.6358815731330093,0.6080709909148532,0.6216654066313857,4733,4526,0.35631273111463285,0.4030475052285629,0.37824197392401515,3347,3786,0.46903935185185186,0.6525764895330113,0.5457912457912458,2484,3456,0.46915254237288134,0.7219613980177361,0.5687281693034724,1917,2950,0.14409937888198757,0.5420560747663551,0.22767419038272815,214,805,0.010526315789473684,0.625,0.020703933747412008,24,1425,1.2901265621185303,0.9539715647697449,334641,82,0.8605566153881978,1.3010664170142263,1.3180115222930908,0.9549157023429871,334640,82,1.1244226587925081,1.280729667050764,1.2911596298217773,0.9547122716903687,334638,82,0.8815122009596899,1.3600253749173135,1.3164234161376953,0.9512936472892761,334638,82,1.5529497022419092,1.3440287499688566,1.3009604215621948,0.9520042538642883,334634,82,1.0805202218712533,1.2555933749536052,6.5414435839047655,0.0011762500507757068,6.542619833955541,1.587815499980934,8.130435333936475,0.016033208114095032
