method,representation,input_dim,mu,K,partition_seed,condition,training_seed,batch_size,lr,max_rounds,best_round,best_val_macro_f1,total_fl_seconds,total_validation_seconds,total_run_seconds
FedProx,37f,37,0.01,5,42,iid,42,4096,0.1,40,40,0.42393956164275626,248.53215909493883,60.78824000102031,309.32039909595915
FedProx,37f,37,0.01,5,42,alpha_0p1,42,4096,0.1,40,38,0.3245553869185602,253.47057309006777,61.36104828900716,314.83162137907493
FedProx,37f,37,0.01,5,42,alpha_0p5,42,4096,0.1,40,39,0.401699560293222,253.05081112599146,61.70197704594466,314.7527881719361
FedProx,37f,37,0.01,5,42,alpha_1p0,42,4096,0.1,40,40,0.41715100804069233,250.46206125598837,61.307655123004224,311.7697163789926
FedProx,37f,37,0.01,5,43,iid,42,4096,0.1,40,39,0.42007043240216746,251.88189469509234,61.977201124987914,313.85909582008026
FedProx,37f,37,0.01,5,43,alpha_0p1,42,4096,0.1,40,8,0.16819683008789119,254.4882672099775,61.396910462011874,315.88517767198937
FedProx,37f,37,0.01,5,43,alpha_0p5,42,4096,0.1,40,33,0.3844262758616249,252.58289475396305,61.681079128997226,314.2639738829603
FedProx,37f,37,0.01,5,43,alpha_1p0,42,4096,0.1,40,37,0.4438331560542431,252.42691834500874,61.845957502009696,314.27287584701844
FedProx,37f,37,0.01,5,44,iid,42,4096,0.1,40,39,0.4206588304688782,249.11306957800844,61.08417500099313,310.19724457900156
FedProx,37f,37,0.01,5,44,alpha_0p1,42,4096,0.1,40,16,0.1996378326206915,246.84504794799432,60.31491199997981,307.15995994797413
FedProx,37f,37,0.01,5,44,alpha_0p5,42,4096,0.1,40,34,0.3419718401130635,249.03814365693688,60.26422142100637,309.30236507794325
FedProx,37f,37,0.01,5,44,alpha_1p0,42,4096,0.1,40,36,0.3669804266009658,503.9644648789472,133.72875808700337,637.6932229659506
