method,representation,input_dim,mu,K,partition_seed,condition,training_seed,batch_size,lr,max_rounds,best_round,best_val_macro_f1,total_fl_seconds,total_validation_seconds,total_run_seconds
FedProx,37f,37,1e-05,5,42,iid,42,4096,0.1,40,40,0.42476413017944503,247.19409404100952,60.499225665995255,307.6933197070048
FedProx,37f,37,1e-05,5,42,alpha_0p1,42,4096,0.1,40,35,0.3241410996252746,248.87895733400183,60.236791584004095,309.1157489180059
FedProx,37f,37,1e-05,5,42,alpha_0p5,42,4096,0.1,40,38,0.40027149289598024,250.50886153599276,60.99829021199548,311.50715174798825
FedProx,37f,37,1e-05,5,42,alpha_1p0,42,4096,0.1,40,40,0.4185961652297589,249.0246179190126,60.80002954200063,309.8246474610132
FedProx,37f,37,1e-05,5,43,iid,42,4096,0.1,40,39,0.4195706949792542,249.99005092299194,61.1695436250011,311.15959454799304
FedProx,37f,37,1e-05,5,43,alpha_0p1,42,4096,0.1,40,35,0.24052566819727078,253.75804829598928,61.33962162899661,315.0976699249859
FedProx,37f,37,1e-05,5,43,alpha_0p5,42,4096,0.1,40,36,0.376144270811813,252.23130733100515,61.52250841799287,313.753815748998
FedProx,37f,37,1e-05,5,43,alpha_1p0,42,4096,0.1,40,35,0.45022449642186013,245.91861265599437,60.572259460996065,306.49087211699043
FedProx,37f,37,1e-05,5,44,iid,42,4096,0.1,40,39,0.42204360165061977,249.09142483199867,60.768279958992935,309.8597047909916
FedProx,37f,37,1e-05,5,44,alpha_0p1,42,4096,0.1,40,31,0.21341515786360127,251.62726495299648,60.97283620699818,312.60010115999467
FedProx,37f,37,1e-05,5,44,alpha_0p5,42,4096,0.1,40,34,0.3396669734561149,248.69421458100624,60.37379099799,309.06800557899624
FedProx,37f,37,1e-05,5,44,alpha_1p0,42,4096,0.1,40,36,0.36756912137406,248.4064763819897,60.47404903999086,308.88052542198056
