round,mu,round_task_loss,round_proximal_penalty,round_total_loss,round_weight_mass,val_loss,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,macro_pr_auc,worst_class_f1,worst_class_recall,precision_c0,recall_c0,f1_c0,support_c0,predicted_count_c0,precision_c1,recall_c1,f1_c1,support_c1,predicted_count_c1,precision_c2,recall_c2,f1_c2,support_c2,predicted_count_c2,precision_c3,recall_c3,f1_c3,support_c3,predicted_count_c3,precision_c4,recall_c4,f1_c4,support_c4,predicted_count_c4,precision_c5,recall_c5,f1_c5,support_c5,predicted_count_c5,precision_c6,recall_c6,f1_c6,support_c6,predicted_count_c6,precision_c7,recall_c7,f1_c7,support_c7,predicted_count_c7,precision_c8,recall_c8,f1_c8,support_c8,predicted_count_c8,precision_c9,recall_c9,f1_c9,support_c9,predicted_count_c9,train_loss_client_0,train_proximal_penalty_client_0,train_total_loss_client_0,train_weight_mass_client_0,train_accuracy_client_0,train_samples_client_0,train_batches_client_0,update_l2_client_0,train_seconds_client_0,train_loss_client_1,train_proximal_penalty_client_1,train_total_loss_client_1,train_weight_mass_client_1,train_accuracy_client_1,train_samples_client_1,train_batches_client_1,update_l2_client_1,train_seconds_client_1,train_loss_client_2,train_proximal_penalty_client_2,train_total_loss_client_2,train_weight_mass_client_2,train_accuracy_client_2,train_samples_client_2,train_batches_client_2,update_l2_client_2,train_seconds_client_2,train_loss_client_3,train_proximal_penalty_client_3,train_total_loss_client_3,train_weight_mass_client_3,train_accuracy_client_3,train_samples_client_3,train_batches_client_3,update_l2_client_3,train_seconds_client_3,train_loss_client_4,train_proximal_penalty_client_4,train_total_loss_client_4,train_weight_mass_client_4,train_accuracy_client_4,train_samples_client_4,train_batches_client_4,update_l2_client_4,train_seconds_client_4,round_train_seconds,aggregation_seconds,fl_round_seconds,validation_seconds,round_total_seconds,round_orchestration_seconds
1,0.0001,2.10561171384542,6.246836802699547e-05,2.1056739452367492,1673190.9375,1.9088843926989736,0.8428775429377869,0.358564581092207,0.23359718090278422,0.358564581092207,0.213604390143796,0.8940848490132992,0.24279643567011502,0.0,0.0,0.9971585941598181,0.8613325045601887,0.9242821877844132,344284,297388,0.13539651837524178,0.2028985507246377,0.16241299303944315,345,517,0.12067435669920142,0.41846153846153844,0.18732782369146006,325,1127,0.23809523809523808,0.005753739930955121,0.011235955056179775,869,21,0.07133836612129206,0.5370800760616945,0.12594757964623693,4733,35633,0.3524451939291737,0.06244397968329848,0.10609137055837563,3347,593,0.3102291783119061,0.6702898550724637,0.42414978983568974,2484,5367,0.05840120663650075,0.5049556598852374,0.10469392169586848,1917,16575,0.052233156699470096,0.32242990654205606,0.08990228013029317,214,1321,0.0,0.0,0.0,24,0,2.120713233947754,6.481038144556805e-05,2.1207780838012695,334762.625,0.4180539846420288,334641,82,1.7374154358999279,1.2967711669989512,2.10098934173584,6.356987432809547e-05,2.1010520458221436,334721.34375,0.457252562046051,334640,82,1.7339572717572647,1.2885069589974592,2.104046106338501,5.7462766562821344e-05,2.1041030883789062,334696.21875,0.43354013562202454,334638,82,1.6500965793206732,1.3177039170041098,2.114858388900757,6.279639637796208e-05,2.1149215698242188,334696.21875,0.45447617769241333,334638,82,1.7809273522730997,1.2929870829975698,2.087427854537964,6.370327901095152e-05,2.087491273880005,334314.53125,0.34033599495887756,334634,82,1.7436847085547564,1.2745597919929423,6.470528917991032,0.0012792499983333983,6.471808167989366,1.5615634999994654,8.033371667988831,0.01972137401025975
2,0.0001,1.8345464220761407,4.946390111392015e-05,1.8345958784741252,1673191.0,1.6660965374058407,0.9306273741988387,0.4484619157115014,0.26913189451212954,0.4484619157115014,0.2711055310978928,0.9461927276394345,0.2609207899692753,0.015151515151515152,0.00805523590333717,0.9961118665468761,0.9532333770956536,0.974201036589348,344284,329464,0.14009962640099627,0.6521739130434783,0.23065094823167606,345,1606,0.1414141414141414,0.043076923076923075,0.0660377358490566,325,99,0.12727272727272726,0.00805523590333717,0.015151515151515152,869,55,0.14524848563798606,0.4711599408409043,0.22204520561585184,4733,15353,0.2589231699939504,0.12787570959067823,0.1712,3347,1653,0.46158224245873647,0.6529790660225443,0.5408469489829943,2484,3514,0.36820276497695853,0.41679707876890976,0.39099584046978225,1917,2170,0.040214477211796246,0.7009345794392523,0.07606490872210954,214,3730,0.012249443207126948,0.4583333333333333,0.02386117136659436,24,898,1.8327265977859497,4.9518919695401564e-05,1.8327759504318237,334762.625,0.8475440740585327,334641,82,1.548091445048296,1.2570248749980237,1.8514312505722046,4.667108805733733e-05,1.8514783382415771,334721.375,0.8424097299575806,334640,82,1.5494188779166804,1.280475125000521,1.8251466751098633,4.5155764382798225e-05,1.8251914978027344,334696.3125,0.8493177890777588,334638,82,1.5447088183885003,1.2530180000030668,1.8377257585525513,5.4779156926088035e-05,1.8377801179885864,334696.1875,0.8488485813140869,334638,82,1.6199877056601628,1.2134541670020553,1.825690746307373,5.1196751883253455e-05,1.825742483139038,334314.5,0.8231530785560608,334634,82,1.5672393424187,1.2292115419986658,6.233183709002333,0.0011326250023557805,6.2343163340046885,1.5115020840021316,7.74581841800682,0.02035174899356207
3,0.0001,1.6489253169542508,3.9636676720510085e-05,1.6489647251867838,1673191.0,1.5148557822823885,0.9506417658182305,0.45953379116639625,0.26841738813030935,0.45953379116639625,0.27984668913655475,0.9592449162128432,0.2874757468444054,0.0,0.0,0.9981948221780692,0.9733098256090902,0.9855952704839077,344284,335701,0.0,0.0,0.0,345,22,0.1142527409117138,0.6092307692307692,0.1924198250728863,325,1733,0.14516129032258066,0.010356731875719217,0.01933404940923738,869,62,0.2964962802975762,0.5220790196492711,0.37820463763679496,4733,8334,0.24447717231222385,0.14878996115924709,0.1849925705794948,3347,2037,0.46618705035971225,0.6521739130434783,0.5437153884880014,2484,3475,0.36318407960199006,0.4188836724047992,0.38905038759689925,1917,2211,0.04945454545454545,0.6355140186915887,0.09176788124156546,214,2750,0.006765899864682003,0.625,0.013386880856760375,24,2217,1.6389082670211792,3.5561617551138625e-05,1.6389439105987549,334762.59375,0.9028540849685669,334641,82,1.3462183274768955,1.2312649169980432,1.658534288406372,3.7903002521488816e-05,1.6585721969604492,334721.40625,0.9036815762519836,334640,82,1.272045755756993,1.2700597500006552,1.6288124322891235,3.5314100387040526e-05,1.6288471221923828,334696.1875,0.900253415107727,334638,82,1.3324252043145377,1.20934183299687,1.6900032758712769,5.5057920690160245e-05,1.6900579929351807,334696.25,0.8851863741874695,334638,82,1.653781029038182,1.2600265419969219,1.6283460855484009,3.434164682403207e-05,1.6283801794052124,334314.5625,0.9098178744316101,334634,82,1.2942391504584008,1.2072935000032885,6.177986541995779,0.0011474170023575425,6.179133958998136,1.5324990410008468,7.711632999998983,0.021170791005715728
4,0.0001,1.529839586271091,3.8679015857909245e-05,1.5298783594887262,1673191.03125,1.4263994473613426,0.9634519805211105,0.5061879657040822,0.3234926875696538,0.5061879657040822,0.33801848980893145,0.9685779957245376,0.3197952168713813,0.009615384615384616,0.006153846153846154,0.9998404137421499,0.9826799967468718,0.9911859361701816,344284,338375,0.14188034188034188,0.7217391304347827,0.23714285714285716,345,1755,0.02197802197802198,0.006153846153846154,0.009615384615384616,325,91,0.25,0.009205983889528193,0.017758046614872364,869,32,0.5106273568735001,0.6294105218677372,0.5638307939812625,4733,5834,0.2599118942731278,0.22916044218703316,0.2435693871070181,3347,2951,0.4656510491520552,0.6521739130434783,0.5433506624182458,2484,3479,0.44115755627009645,0.7157016171100679,0.5458523970558982,1917,3110,0.13689700130378096,0.49065420560747663,0.21406727828746178,214,767,0.006983240223463687,0.625,0.013812154696132596,24,2148,1.5354547500610352,2.8025458959746175e-05,1.5354827642440796,334762.625,0.9261895418167114,334641,82,1.1387004860968943,1.219512499999837,1.5403966903686523,3.6366796848597005e-05,1.5404330492019653,334721.4375,0.9256454706192017,334640,82,1.194568040289336,1.2238496670033783,1.5047674179077148,2.6843186788028106e-05,1.5047944784164429,334696.25,0.9260066151618958,334638,82,1.1516840158498025,1.285849291998602,1.5509614944458008,6.921800377313048e-05,1.5510309934616089,334696.15625,0.9198238253593445,334638,82,1.5297463193262322,1.2331032500005676,1.517601728439331,3.293737972853705e-05,1.517634630203247,334314.5625,0.9225422143936157,334634,82,1.244074367573431,1.3646021250024205,6.326916834004805,0.0015993749984772876,6.328516209003283,1.4920286250053323,7.820544834008615,0.02339591598865809
5,0.0001,1.4553559413664596,3.037975402186262e-05,1.4553862539508382,1673191.21875,1.374443860691756,0.9451947052228191,0.5112786652677452,0.2869410531133472,0.5112786652677452,0.3222566907299393,0.9566246142011292,0.3336212303801156,0.023734177215189875,0.034782608695652174,0.9999095677337674,0.9634778264456089,0.9813556915139108,344284,331740,0.13043478260869565,0.034782608695652174,0.05491990846681922,345,92,0.11806797853309481,0.6092307692307692,0.1978021978021978,325,1677,0.0744297719087635,0.0713463751438435,0.07285546415981199,869,833,0.23994671551078178,0.6089161208535813,0.3442427138079312,4733,12011,0.27018822100789314,0.26590976994323273,0.26803192290317723,3347,3294,0.4671658986175115,0.6529790660225443,0.544660846205507,2484,3472,0.4483766233766234,0.720396452790819,0.5527316389833901,1917,3080,0.10879419764279238,0.5607476635514018,0.18223234624145787,214,1103,0.012096774193548387,0.625,0.023734177215189875,24,1240,1.446715235710144,2.4251447030110285e-05,1.4467395544052124,334762.65625,0.93696528673172,334641,82,1.0922784830673111,1.2608741669973824,1.480172038078308,3.063981785089709e-05,1.4802027940750122,334721.40625,0.9377181529998779,334640,82,1.1408044477129318,1.2253195410012268,1.4412708282470703,2.7910933567909524e-05,1.441298484802246,334696.34375,0.9381510615348816,334638,82,1.132440466463368,1.2720702090009581,1.485296607017517,3.7971763958921656e-05,1.4853343963623047,334696.34375,0.9098996520042419,334638,82,1.724441032736678,1.25036754199391,1.423288345336914,3.112685226369649e-05,1.4233192205429077,334314.46875,0.9362078905105591,334634,82,1.1460296784816175,1.2696062500035623,6.27823770899704,0.001225833999342285,6.279463542996382,1.5546882080016076,7.834151750997989,0.020239666002453305
6,0.0001,1.3977628564399658,3.584371955131341e-05,1.3977987534149752,1673191.125,1.3286483771836786,0.9640153733732729,0.4964509182255944,0.31504763603414454,0.4964509182255944,0.3253693988390845,0.9691405103529377,0.35849511200500983,0.020151133501259445,0.012307692307692308,0.9998671625929861,0.9838244007853981,0.9917809101609852,344284,338760,0.14086081609837897,0.7304347826086957,0.23617619493908154,345,1789,0.05555555555555555,0.012307692307692308,0.020151133501259445,325,72,0.21951219512195122,0.020713463751438434,0.03785488958990536,869,82,0.5419807186678353,0.6532854426368054,0.5924506610461774,4733,5705,0.29809410363311495,0.2990737974305348,0.2985831469052946,3347,3358,0.4666283084004603,0.6529790660225443,0.5442953020134228,2484,3476,0.3392781316348195,0.41679707876890976,0.374063670411985,1917,2355,0.0778061224489796,0.5700934579439252,0.13692480359147025,214,1568,0.010893246187363835,0.625,0.021413276231263382,24,1377,1.3899461030960083,2.283158573845867e-05,1.389968991279602,334762.59375,0.9424487948417664,334641,82,0.9440670021269643,1.2876355000043986,1.414639949798584,1.9509141566231847e-05,1.4146593809127808,334721.46875,0.9434646368026733,334640,82,0.9016587118139093,1.3079832500006887,1.3646517992019653,2.008051160373725e-05,1.3646721839904785,334696.25,0.9420657753944397,334638,82,0.9402044374108012,1.2677396669969312,1.4309567213058472,8.722487109480426e-05,1.4310437440872192,334696.25,0.9386650919914246,334638,82,1.646584481740379,1.2735693329959759,1.388609528541565,2.956914067908656e-05,1.3886393308639526,334314.5625,0.9402362108230591,334634,82,1.0020990761527457,1.283512541995151,6.420440291993145,0.001124333000916522,6.421564624994062,1.5760360829954152,7.997600707989477,0.024011291010538116
7,0.0001,1.3559828130055307,2.6030225158202805e-05,1.3560087925554973,1673191.03125,1.3000246967741627,0.9662577884878201,0.5283897159332923,0.33308520066230807,0.5283897159332923,0.359946876833949,0.9706354709203693,0.3792249837513222,0.029498525073746312,0.028768699654775604,0.9999114317936243,0.9837575954735044,0.991768739952504,344284,338722,0.14491916859122403,0.7275362318840579,0.2416947520462205,345,1732,0.09090909090909091,0.033846153846153845,0.04932735426008968,325,121,0.17123287671232876,0.028768699654775604,0.04926108374384237,869,146,0.5516342141863699,0.6703993238960491,0.6052455889365761,4733,5752,0.3178953137845985,0.34657902599342694,0.3316180674671241,3347,3649,0.46768170066072967,0.6553945249597424,0.545850796311819,2484,3481,0.4379746835443038,0.7219613980177361,0.5452038605475674,1917,3160,0.13358778625954199,0.49065420560747663,0.21,214,786,0.015105740181268883,0.625,0.029498525073746312,24,993,1.3620333671569824,2.247658085252624e-05,1.362055778503418,334762.59375,0.9479352235794067,334641,82,0.9238640214204419,1.3002816250009346,1.3734349012374878,3.482103784335777e-05,1.373469352722168,334721.4375,0.9452008008956909,334640,82,1.2263337500212268,1.2807057500031078,1.345555067062378,2.2921130948816426e-05,1.3455779552459717,334696.21875,0.9462493658065796,334638,82,0.9033348275642273,1.2983607499991194,1.349106788635254,1.8770515453070402e-05,1.349125862121582,334696.25,0.947573184967041,334638,82,0.9379694122961362,1.2848774579979363,1.3497743606567383,3.116776133538224e-05,1.3498053550720215,334314.53125,0.9430034160614014,334634,82,1.0359654381272942,1.270185291999951,6.434410875001049,0.0012062079986208118,6.43561708299967,1.5536670000001322,7.989284082999802,0.021066708999569528
8,0.0001,1.3450667076761296,3.4960501300306595e-05,1.3451018575770093,1673191.0625,1.2898965113997705,0.964963658371962,0.517607361904732,0.3298693823481691,0.517607361904732,0.3427027028300812,0.9701713066234537,0.37809633792154074,0.03880983182406209,0.02186421173762946,0.9999114422514922,0.9838737786246239,0.9918277831946897,344284,338762,0.14022140221402213,0.11014492753623188,0.12337662337662338,345,271,0.11645101663585952,0.5815384615384616,0.19404517453798767,325,1623,0.19791666666666666,0.02186421173762946,0.039378238341968914,869,96,0.5618878005342832,0.6665962391717727,0.6097796675686122,4733,5615,0.3522951281329203,0.3737675530325665,0.3627138300956799,3347,3551,0.46865067899451024,0.6529790660225443,0.5456686291000841,2484,3461,0.3708854891052388,0.4173187271778821,0.39273441335297005,1917,2157,0.07044749667700487,0.7429906542056075,0.12869283690813435,214,2257,0.020026702269692925,0.625,0.03880983182406209,24,749,1.3475019931793213,2.3558355678687803e-05,1.3475258350372314,334762.6875,0.9492441415786743,334641,82,1.0266778953824562,1.3549011670038453,1.3579332828521729,2.19556186493719e-05,1.3579556941986084,334721.40625,0.951455295085907,334640,82,0.919456368583125,1.2810269159963354,1.3295198678970337,3.218724668840878e-05,1.329552173614502,334696.3125,0.9497337341308594,334638,82,1.023416535785222,1.2973844160005683,1.3545138835906982,7.261235441546887e-05,1.3545867204666138,334696.21875,0.9461328387260437,334638,82,1.4291757860924694,1.3754887920003966,1.3358525037765503,2.4480221327394247e-05,1.3358768224716187,334314.4375,0.9507103562355042,334634,82,0.9675260695856768,1.2818300830040243,6.59063137400517,0.0012840000053984113,6.5919153740105685,1.553009208997537,8.144924583008105,0.022100125992437825
9,0.0001,1.3140131325789526,2.4498948179910785e-05,1.3140376366557531,1673190.96875,1.2647270745867802,0.9652453547980432,0.5092199245714081,0.3296420378833411,0.5092199245714081,0.3464692798940018,0.9704762287690628,0.4170827972893,0.028790786948176585,0.03452243958573072,0.9999084862744172,0.9838273053641761,0.9918027146644881,344284,338747,0.1513157894736842,0.06666666666666667,0.0925553319919517,345,152,0.11705288175876412,0.6061538461538462,0.19621513944223107,325,1683,0.13636363636363635,0.03452243958573072,0.05509641873278237,869,220,0.579879427279578,0.6503274878512572,0.6130863459814759,4733,5308,0.3301457194899818,0.43322378249178367,0.3747254167205065,3347,4392,0.46822645869439633,0.6525764895330113,0.5452404978136562,2484,3462,0.4164550533265617,0.42775169535732915,0.4220277920741122,1917,1969,0.08233815210559396,0.6121495327102804,0.14515235457063713,214,1591,0.014734774066797643,0.625,0.028790786948176585,24,1018,1.317545771598816,1.7044258129317313e-05,1.3175628185272217,334762.625,0.9512403011322021,334641,82,0.8186900567814152,1.2514627909986302,1.3470501899719238,2.2715430532116443e-05,1.3470728397369385,334721.4375,0.9503257274627686,334640,82,0.9148245546546824,1.2733822500013048,1.2832064628601074,1.8608372556627728e-05,1.2832249402999878,334696.25,0.951858401298523,334638,82,0.8554273046481637,1.2396108749962877,1.2938767671585083,3.6933492083335295e-05,1.2939140796661377,334696.15625,0.9506959915161133,334638,82,1.243880653467787,1.2527997090001008,1.3283995389938354,2.7197882445761934e-05,1.328426718711853,334314.5,0.9517592191696167,334634,82,1.0938350104818608,1.2555514999985462,6.27280712499487,0.0012131670009694062,6.274020291995839,1.535574292000092,7.809594583995931,0.023420208002789877
10,0.0001,1.3022136803255562,2.401127627158989e-05,1.3022377548375341,1673190.71875,1.2596017592221633,0.966227108679039,0.5423766632125367,0.344243600148664,0.5423766632125367,0.3824735010258914,0.9716521141761708,0.40452480109041844,0.02027027027027027,0.07364787111622555,0.9999114367614195,0.9838127824702861,0.9917967863548186,344284,338741,0.14106583072100312,0.391304347826087,0.2073732718894009,345,957,0.1125,0.4153846153846154,0.17704918032786884,325,1200,0.10829103214890017,0.07364787111622555,0.08767123287671233,869,591,0.6353200883002208,0.6080709909148532,0.6213969556299255,4733,4530,0.3616294349540079,0.4111144308335823,0.38478747203579416,3347,3805,0.46905725853094277,0.6529790660225443,0.5459441265567149,2484,3458,0.46202743392438944,0.720396452790819,0.5629841011006931,1917,2989,0.1423312883435583,0.5420560747663551,0.22546161321671526,214,815,0.010302197802197802,0.625,0.02027027027027027,24,1456,1.2900804281234741,1.6356005289708264e-05,1.2900967597961426,334762.6875,0.955516517162323,334641,82,0.793147424742009,1.248365958002978,1.3195083141326904,3.2186948374146596e-05,1.3195403814315796,334721.375,0.9543270468711853,334640,82,1.044428310407675,1.2875920410006074,1.2888826131820679,2.060913175228052e-05,1.288902997970581,334696.21875,0.9546046853065491,334638,82,0.8699507807062546,1.319896790999337,1.3130022287368774,2.1168038074392825e-05,1.3130236864089966,334696.125,0.9511352777481079,334638,82,1.5395888736100476,1.2470608749936218,1.2995930910110474,2.9743703635176644e-05,1.2996230125427246,334314.3125,0.9526318311691284,334634,82,1.050896260728231,1.275279124994995,6.378194789991539,0.001179582999611739,6.379374372991151,1.5161425420010346,7.895516914992186,0.02344629400613485
