round,mu,round_task_loss,round_proximal_penalty,round_total_loss,round_weight_mass,val_loss,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,macro_pr_auc,worst_class_f1,worst_class_recall,precision_c0,recall_c0,f1_c0,support_c0,predicted_count_c0,precision_c1,recall_c1,f1_c1,support_c1,predicted_count_c1,precision_c2,recall_c2,f1_c2,support_c2,predicted_count_c2,precision_c3,recall_c3,f1_c3,support_c3,predicted_count_c3,precision_c4,recall_c4,f1_c4,support_c4,predicted_count_c4,precision_c5,recall_c5,f1_c5,support_c5,predicted_count_c5,precision_c6,recall_c6,f1_c6,support_c6,predicted_count_c6,precision_c7,recall_c7,f1_c7,support_c7,predicted_count_c7,precision_c8,recall_c8,f1_c8,support_c8,predicted_count_c8,precision_c9,recall_c9,f1_c9,support_c9,predicted_count_c9,train_loss_client_0,train_proximal_penalty_client_0,train_total_loss_client_0,train_weight_mass_client_0,train_accuracy_client_0,train_samples_client_0,train_batches_client_0,update_l2_client_0,train_seconds_client_0,train_loss_client_1,train_proximal_penalty_client_1,train_total_loss_client_1,train_weight_mass_client_1,train_accuracy_client_1,train_samples_client_1,train_batches_client_1,update_l2_client_1,train_seconds_client_1,train_loss_client_2,train_proximal_penalty_client_2,train_total_loss_client_2,train_weight_mass_client_2,train_accuracy_client_2,train_samples_client_2,train_batches_client_2,update_l2_client_2,train_seconds_client_2,train_loss_client_3,train_proximal_penalty_client_3,train_total_loss_client_3,train_weight_mass_client_3,train_accuracy_client_3,train_samples_client_3,train_batches_client_3,update_l2_client_3,train_seconds_client_3,train_loss_client_4,train_proximal_penalty_client_4,train_total_loss_client_4,train_weight_mass_client_4,train_accuracy_client_4,train_samples_client_4,train_batches_client_4,update_l2_client_4,train_seconds_client_4,round_train_seconds,aggregation_seconds,fl_round_seconds,validation_seconds,round_total_seconds,round_orchestration_seconds
1,0.1,1.7444766586497065,0.10861316143357756,1.8530900381231674,1673191.078125,2.9179354128860857,0.9517797078166574,0.248453240509672,0.1193128472928183,0.248453240509672,0.13127078089298921,0.9533777267404634,0.15929410575415628,0.0,0.0,0.997064535999222,0.982627714328868,0.9897934852095502,344284,339299,0.0,0.0,0.0,345,0,0.0,0.0,0.0,325,0,0.0,0.0,0.0,869,0,0.0,0.0,0.0,4733,0,0.1922950927078556,0.8769046907678518,0.3154218162278345,3347,15263,0.0,0.0,0.0,2484,0,0.0,0.0,0.0,1917,0,0.0,0.0,0.0,214,0,0.0037688442211055275,0.625,0.007492507492507493,24,3980,2.060330629348755,0.005513780750334263,2.0658445358276367,433998.21875,0.13627339899539948,18639,5,0.6222150982109346,0.11750462499912828,2.174057722091675,0.0005699025350622833,2.1746275424957275,253868.78125,0.2696530520915985,6831,2,0.29511246518857637,0.06494858299993211,1.7470982074737549,0.036981191486120224,1.784079670906067,380715.03125,0.09521836787462234,123117,31,1.3100803613720409,0.551612124996609,0.9843479990959167,0.4174116551876068,1.401760220527649,392033.15625,0.9597344994544983,1494059,365,3.242543993734528,5.785772332994384,1.9837337732315063,0.006935980636626482,1.990669846534729,212575.890625,0.12244229763746262,30545,8,0.7130916305550867,0.1730300420022104,6.692867707992264,0.0015574169956380501,6.694425124987902,1.548905374998867,8.243330499986769,0.023627125003258698
2,0.1,1.9447126165580297,0.07100696959258393,2.01571931041115,1673190.84375,3.1944128698887844,0.9566466411187532,0.25584434297320635,0.13655546766711987,0.25584434297320635,0.14386079970497365,0.9550578343878763,0.19601723745232538,0.0,0.0,0.9950049335796707,0.9870659107016301,0.9910195225867974,344284,341537,0.0,0.0,0.0,345,0,0.0,0.0,0.0,325,0,0.15083798882681565,0.06214039125431531,0.08801955990220049,869,358,0.0,0.0,0.0,4733,0,0.21304826069022412,0.9259037944427846,0.34639244397250324,3347,14546,0.0,0.0,0.0,2484,0,0.0,0.0,0.0,1917,0,0.0,0.0,0.0,214,0,0.006663493574488339,0.5833333333333334,0.013176470588235295,24,2101,2.7443289756774902,0.017720818519592285,2.762049436569214,433998.1875,0.03492676466703415,18639,5,0.9044486895764917,0.07017074999748729,2.894001007080078,0.003179641207680106,2.8971807956695557,253868.78125,0.03850094974040985,6831,2,0.5369456845886665,0.024703957999008708,1.661768913269043,0.07155957818031311,1.7333282232284546,380714.96875,0.7685859799385071,123117,31,1.525333125658445,0.473971999999776,0.6740635633468628,0.202387273311615,0.8764500617980957,392033.0,0.9796440601348877,1494059,365,2.2447159480374435,5.610497583002143,2.0285911560058594,0.01751798577606678,2.046109199523926,212575.90625,0.8171877264976501,30545,8,0.9770716846523381,0.1299324159990647,6.30927670699748,0.0013509170021279715,6.310627623999608,1.4954992909988505,7.806126914998458,0.019824460003292188
3,0.1,2.000614703069888,0.048399634222315684,2.0490143543275683,1673190.96875,3.6653364175399026,0.9567972510891332,0.25916656170419466,0.13320038061470246,0.25916656170419466,0.1389152821994399,0.9549209366895592,0.20935163777579247,0.0,0.0,0.9948995277232042,0.9869613458656226,0.9909145389248798,344284,341537,0.0,0.0,0.0,345,0,0.0,0.0,0.0,325,0,0.11016949152542373,0.014959723820483314,0.02634245187436677,869,118,0.0,0.0,0.0,4733,0,0.22018411183088987,0.964744547355841,0.358538751943149,3347,14665,0.0,0.0,0.0,2484,0,0.0,0.0,0.0,1917,0,0.0,0.0,0.0,214,0,0.0067506750675067504,0.625,0.013357079252003561,24,2222,2.8861355781555176,0.02097163163125515,2.907107353210449,433998.21875,0.0327807292342186,18639,5,0.9780236157000103,0.08570045800297521,3.0203797817230225,0.0036191854160279036,3.023998975753784,253868.765625,0.07070706784725189,6831,2,0.5692274467096841,0.022372291998181026,1.678397536277771,0.0883728489279747,1.7667702436447144,380714.96875,0.8503780961036682,123117,31,1.6640195382084024,0.44213166699773865,0.5585629343986511,0.07961879670619965,0.6381818652153015,392033.125,0.9832958579063416,1494059,365,1.161302590209746,5.6607404589958605,2.211381673812866,0.028711196035146713,2.2400929927825928,212575.890625,0.8229169845581055,30545,8,1.1076425554508138,0.10884733300190419,6.31979220899666,0.0012545419958769344,6.3210467509925365,1.5371184999967227,7.858165250989259,0.023098625002603512
4,0.1,2.1011303692356593,0.06754518717840789,2.1686754143675686,1673190.828125,3.8464087206273634,0.9413876198604347,0.24858102409615596,0.12166545507994024,0.24858102409615596,0.13522883098610305,0.9471112779723936,0.15503063369724193,0.0,0.0,0.9956560341796816,0.9706521360272333,0.9829951082624183,344284,335638,0.0,0.0,0.0,345,0,0.0,0.0,0.0,325,0,0.0038347568415548197,0.02531645569620253,0.006660611565243718,869,5737,0.0,0.0,0.0,4733,0,0.20643030718424824,0.9898416492381237,0.34161682821200245,3347,16049,0.0,0.0,0.0,2484,0,0.0,0.0,0.0,1917,0,0.0,0.0,0.0,214,0,0.01073345259391771,0.5,0.021015761821366025,24,1118,3.115291118621826,0.028603866696357727,3.1438944339752197,433998.21875,0.029883576557040215,18639,5,1.0970839539138704,0.06700270799774444,3.2361741065979004,0.005562868434935808,3.241736888885498,253868.78125,0.06265553832054138,6831,2,0.6665488965007341,0.04817183300474426,1.666240930557251,0.09534505754709244,1.7615857124328613,380715.0,0.8590121865272522,123117,31,1.7041817397572772,0.4459669169955305,0.5984171032905579,0.14175868034362793,0.7401757836341858,392032.9375,0.9825422167778015,1494059,365,2.5863520889197575,5.693906083004549,2.225255250930786,0.03441762924194336,2.2596728801727295,212575.890625,0.8229169845581055,30545,8,1.2028658358621143,0.1022586670005694,6.357306208003138,0.001155833997472655,6.35846204200061,1.5671792499997537,7.925641292000364,0.022680709000269417
5,0.1,2.1124005113843225,0.0509110776616917,2.1633114031526413,1673191.203125,4.206521020331102,0.9571681978680322,0.2595499676984944,0.1289855970824274,0.2595499676984944,0.14253080257464104,0.9544785098554583,0.20146586722819682,0.0,0.0,0.9937132113208982,0.9870833381742979,0.9903871794087176,344284,341987,0.0,0.0,0.0,345,0,0.0,0.0,0.0,325,0,0.06227106227106227,0.039125431530494824,0.0480565371024735,869,546,0.0,0.0,0.0,4733,0,0.21994134897360704,0.985957573946818,0.35965342488147783,3347,15004,0.0,0.0,0.0,2484,0,0.0,0.0,0.0,1917,0,0.0,0.0,0.0,214,0,0.013930348258706468,0.5833333333333334,0.027210884353741496,24,1005,3.148484706878662,0.036628592759370804,3.185112953186035,433998.21875,0.045066796243190765,18639,5,1.1603031675516688,0.07081462499627378,3.423410415649414,0.00836155191063881,3.431771755218506,253868.765625,0.052554529160261154,6831,2,0.7558532038148418,0.03275191700231517,1.6609147787094116,0.0965336263179779,1.7574483156204224,380715.0,0.829861044883728,123117,31,1.6696452296473663,0.4794328330026474,0.4508533775806427,0.05543730780482292,0.5062904953956604,392033.3125,0.984566867351532,1494059,365,1.2766193330185147,5.674425708006311,2.3042662143707275,0.04082971811294556,2.3450958728790283,212575.90625,0.8110983967781067,30545,8,1.248393421087222,0.12944766599684954,6.386872749004397,0.001283416997466702,6.388156166001863,1.5355454590026056,7.923701625004469,0.021922625994193368
6,0.1,2.1943278591625224,0.05669515494527933,2.251023110556416,1673191.0,3.5644255224597265,0.9577204344260923,0.25783398632354304,0.1307661152341249,0.25783398632354304,0.14177530118646287,0.9555177697595022,0.22126705925838458,0.0,0.0,0.9946645851239863,0.9882219330552683,0.9914327925890742,344284,342054,0.0,0.0,0.0,345,0,0.0,0.0,0.0,325,0,0.0810126582278481,0.03682393555811277,0.05063291139240506,869,395,0.0,0.0,0.0,4733,0,0.225504427347946,0.9282939946220496,0.36286131386861314,3347,13778,0.0,0.0,0.0,2484,0,0.0,0.0,0.0,1917,0,0.0,0.0,0.0,214,0,0.0064794816414686825,0.625,0.012825994014536126,24,2315,3.2528958320617676,0.03908834978938103,3.2919843196868896,433998.1875,0.044315680861473083,18639,5,1.2176254935132886,0.0857549169959384,3.53828501701355,0.010058926418423653,3.548344135284424,253868.765625,0.06982871890068054,6831,2,0.8064634437952609,0.02175191700371215,1.645358920097351,0.10082072764635086,1.7461796998977661,380714.96875,0.8576151132583618,123117,31,1.717925406018069,0.4327160000029835,0.4993855357170105,0.0749383345246315,0.5743240118026733,392033.15625,0.9868398904800415,1494059,365,1.5611119232059194,5.594074833999912,2.5371181964874268,0.03566551208496094,2.5727834701538086,212575.921875,0.8226223587989807,30545,8,1.3285515310678377,0.12756304199865554,6.261860710001201,0.0011874999981955625,6.263048209999397,1.4833886670021457,7.746436877001543,0.022183540000696667
7,0.1,2.0260799751014686,0.04641709117985143,2.0724971188100643,1673191.0625,3.885363463337823,0.958325663381138,0.27303032269600624,0.1336709490120602,0.27303032269600624,0.15206838117702598,0.9554508794485351,0.21817216053627803,0.0,0.0,0.9943582428118751,0.9880273262771433,0.9911826753849202,344284,342092,0.0,0.0,0.0,345,0,0.0,0.0,0.0,325,0,0.08531898539584935,0.1277330264672037,0.10230414746543778,869,1301,0.0,0.0,0.0,4733,0,0.2257822619128775,0.9895428742157155,0.36767317939609234,3347,14669,0.0,0.0,0.0,2484,0,0.0,0.0,0.0,1917,0,0.0,0.0,0.0,214,0,0.03125,0.625,0.05952380952380952,24,480,3.1279897689819336,0.02677171118557453,3.154761552810669,433998.21875,0.058533184230327606,18639,5,1.0820532660534021,0.09058525000000373,3.106387138366699,0.004689408000558615,3.111076593399048,253868.75,0.07304933667182922,6831,2,0.6184573641549809,0.023875082995800767,1.6041247844696045,0.09827376902103424,1.7023987770080566,380715.0,0.8533833622932434,123117,31,1.6572742033827994,0.4324709159991471,0.4106099307537079,0.04899464175105095,0.4596045911312103,392033.1875,0.9878304600715637,1494059,365,0.7954755118691843,5.644967542000813,2.2212073802948,0.03873191028833389,2.259939432144165,212575.90625,0.8250449895858765,30545,8,1.2101283708049047,0.10345758299808949,6.2953563739938545,0.0011907090010936372,6.296547082994948,1.5102423329954036,7.806789415990352,0.022706751005898695
8,0.1,2.0884440313947255,0.04989935500131532,2.138343339630868,1673191.09375,3.498143894161643,0.9610645335832343,0.30775888864990647,0.1479635906178052,0.30775888864990647,0.1696195343813119,0.957059158278615,0.21979860813107566,0.0,0.0,0.9934959822988239,0.9911758896724797,0.9923345798849605,344284,343480,0.14395229982964225,0.48985507246376814,0.22251481237656354,345,1174,0.0,0.0,0.0,325,0,0.06809338521400778,0.04027617951668585,0.05061460592913955,869,514,0.0,0.0,0.0,4733,0,0.2647133757961783,0.9312817448461309,0.4122470572675572,3347,11775,0.0,0.0,0.0,2484,0,0.0,0.0,0.0,1917,0,0.0,0.0,0.0,214,0,0.009380863039399626,0.625,0.018484288354898338,24,1599,3.214200496673584,0.032766181975603104,3.2469663619995117,433998.21875,0.08793390542268753,18639,5,1.1525526827182109,0.06384620800236007,3.316612482070923,0.006911822594702244,3.323524236679077,253868.765625,0.07568438351154327,6831,2,0.7025010877372595,0.02420745800191071,1.5700570344924927,0.09820380061864853,1.6682606935501099,380715.0,0.8426618576049805,123117,31,1.6794131775783747,0.46255820900114486,0.4354925751686096,0.05652383342385292,0.4920165538787842,392033.1875,0.9875239133834839,1494059,365,1.0621173468490888,5.5649868749969755,2.3001315593719482,0.03748833015561104,2.3376200199127197,212575.921875,0.82471764087677,30545,8,1.2402720182818652,0.10350029200344579,6.219099042005837,0.0014655410050181672,6.220564583010855,1.5094343339951592,7.729998917006014,0.021343623993743677
9,0.1,1.9777229853971405,0.04202737767160248,2.019750200010773,1673191.125,3.7328088099358965,0.961814794361609,0.2728967570697055,0.1384707737030874,0.2728967570697055,0.15932869233343971,0.9561995969195655,0.23281665592131734,0.0,0.0,0.9913496718740926,0.9916260993830674,0.9914878663615349,344284,344380,0.0,0.0,0.0,345,0,0.0,0.0,0.0,325,0,0.0815831987075929,0.11622554660529344,0.09587090650213574,869,1238,0.0,0.0,0.0,4733,0,0.2644562544618069,0.9961159247086944,0.4179516108812837,3347,12607,0.0,0.0,0.0,2484,0,0.0,0.0,0.0,1917,0,0.0,0.0,0.0,214,0,0.0473186119873817,0.625,0.08797653958944282,24,317,3.0645744800567627,0.025719163939356804,3.0902938842773438,433998.21875,0.12624068558216095,18639,5,1.0835910126349673,0.06730008299928159,3.1239163875579834,0.004239315632730722,3.1281559467315674,253868.78125,0.0998389720916748,6831,2,0.6115663866990214,0.02503883300232701,1.5199863910675049,0.09332979470491409,1.6133155822753906,380714.96875,0.857826292514801,123117,31,1.6259829094336187,0.46491645900096046,0.36019524931907654,0.03632673993706703,0.39652180671691895,392033.25,0.9891610741615295,1494059,365,0.8106587545325622,5.662486790999537,2.1927871704101562,0.03908342123031616,2.231870412826538,212575.90625,0.8260271549224854,30545,8,1.270290702196438,0.12793229100498138,6.347674457007088,0.0011880410020239651,6.348862498009112,1.4810197920014616,7.829882290010573,0.019982042998890392
10,0.1,1.9854783080262735,0.046676622622539445,2.032154953630141,1673190.875,3.625412510764328,0.9616056138471922,0.2822582758498201,0.15862368114196665,0.2822582758498201,0.17007839422489654,0.9572098646401656,0.24252206428835105,0.0,0.0,0.9938497558248228,0.991300786559933,0.9925736347310178,344284,343401,0.20833333333333334,0.07246376811594203,0.10752688172043011,345,120,0.0,0.0,0.0,325,0,0.07932379713914174,0.14039125431530494,0.10137100124636476,869,1538,0.0,0.0,0.0,4733,0,0.2519130237139177,0.9934269495070213,0.40190982714855555,3347,13199,0.0,0.0,0.0,2484,0,0.0,0.0,0.0,1917,0,0.0,0.0,0.0,214,0,0.0528169014084507,0.625,0.09740259740259741,24,284,3.0423097610473633,0.0313362181186676,3.073646068572998,433998.21875,0.19072911143302917,18639,5,1.151661053979602,0.09142375000374159,3.2459285259246826,0.00558905815705657,3.2515175342559814,253868.765625,0.07890499383211136,6831,2,0.6763195907573852,0.02400183399731759,1.4938234090805054,0.09449068456888199,1.5883140563964844,380714.9375,0.8518807291984558,123117,31,1.636669489362771,0.45016525000391994,0.37267938256263733,0.045695122331380844,0.4183746576309204,392033.03125,0.989761471748352,1494059,365,0.8921848490820949,5.649302582998644,2.1774046421051025,0.043241653591394424,2.220646381378174,212575.921875,0.827467679977417,30545,8,1.276472643324317,0.10477845899731619,6.319671876000939,0.00129012500110548,6.320962001002044,1.51982812499773,7.840790125999774,0.02316553999844473
