round,mu,round_task_loss,round_proximal_penalty,round_total_loss,round_weight_mass,val_loss,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,macro_pr_auc,worst_class_f1,worst_class_recall,precision_c0,recall_c0,f1_c0,support_c0,predicted_count_c0,precision_c1,recall_c1,f1_c1,support_c1,predicted_count_c1,precision_c2,recall_c2,f1_c2,support_c2,predicted_count_c2,precision_c3,recall_c3,f1_c3,support_c3,predicted_count_c3,precision_c4,recall_c4,f1_c4,support_c4,predicted_count_c4,precision_c5,recall_c5,f1_c5,support_c5,predicted_count_c5,precision_c6,recall_c6,f1_c6,support_c6,predicted_count_c6,precision_c7,recall_c7,f1_c7,support_c7,predicted_count_c7,precision_c8,recall_c8,f1_c8,support_c8,predicted_count_c8,precision_c9,recall_c9,f1_c9,support_c9,predicted_count_c9,train_loss_client_0,train_proximal_penalty_client_0,train_total_loss_client_0,train_weight_mass_client_0,train_accuracy_client_0,train_samples_client_0,train_batches_client_0,update_l2_client_0,train_seconds_client_0,train_loss_client_1,train_proximal_penalty_client_1,train_total_loss_client_1,train_weight_mass_client_1,train_accuracy_client_1,train_samples_client_1,train_batches_client_1,update_l2_client_1,train_seconds_client_1,train_loss_client_2,train_proximal_penalty_client_2,train_total_loss_client_2,train_weight_mass_client_2,train_accuracy_client_2,train_samples_client_2,train_batches_client_2,update_l2_client_2,train_seconds_client_2,train_loss_client_3,train_proximal_penalty_client_3,train_total_loss_client_3,train_weight_mass_client_3,train_accuracy_client_3,train_samples_client_3,train_batches_client_3,update_l2_client_3,train_seconds_client_3,train_loss_client_4,train_proximal_penalty_client_4,train_total_loss_client_4,train_weight_mass_client_4,train_accuracy_client_4,train_samples_client_4,train_batches_client_4,update_l2_client_4,train_seconds_client_4,round_train_seconds,aggregation_seconds,fl_round_seconds,validation_seconds,round_total_seconds,round_orchestration_seconds
1,1e-05,2.100457411915316,5.998738331967672e-06,2.100463425873077,1673191.0,1.9090809505342774,0.8632628813360778,0.3720604312521293,0.23085834144027614,0.3720604312521293,0.20679749879699125,0.9063479135161527,0.25195681807639086,0.0,0.0,0.9974096156119086,0.8824081281732523,0.9363911526464388,344284,304588,0.0,0.0,0.0,345,80,0.11964171465131158,0.5753846153846154,0.19809322033898305,325,1563,0.22727272727272727,0.005753739930955121,0.01122334455667789,869,22,0.09160009853256854,0.5499683076272976,0.15704374057315235,4733,28417,0.3984526112185687,0.061547654616074095,0.10662525879917184,3347,517,0.37397072278133575,0.6582125603864735,0.47695449241540255,2484,4372,0.05945223780895124,0.5106937923839332,0.10650565709312446,1917,16467,0.04078368652538984,0.4766355140186916,0.07513812154696133,214,2501,0.0,0.0,0.0,24,15,2.0870158672332764,5.76549609832e-06,2.0870213508605957,334762.65625,0.43211081624031067,334641,82,1.6843714372751142,1.232132917000854,2.0944409370422363,6.433733233279781e-06,2.094447135925293,334721.40625,0.4259233772754669,334640,82,1.7755613475754732,1.230874082999435,2.1034483909606934,6.281282821873901e-06,2.103454828262329,334696.21875,0.4264010787010193,334638,82,1.690808867146665,1.2418180419990676,2.116255760192871,5.8970604186470155e-06,2.116262197494507,334696.21875,0.39826318621635437,334638,82,1.678919073031925,1.2426724169999943,2.1011297702789307,5.615695954475086e-06,2.101135492324829,334314.5,0.4942564070224762,334634,82,1.6518818669658129,1.2502397919997748,6.1977372509991255,0.0011644589994830312,6.198901709998609,1.4975812499997119,7.69648295999832,0.0204435409996222
2,1e-05,1.8357086786456491,5.372263771432845e-06,1.8357140575894375,1673190.9375,1.6701371238521627,0.94023573249438,0.4536329983808115,0.26589865507751215,0.4536329983808115,0.2980045128382457,0.9511055513478966,0.26603574504185074,0.03927729772191673,0.028768699654775604,0.9960902346160213,0.9612587282592279,0.9783645638250541,344284,332245,0.15265486725663716,0.2,0.17314930991217065,345,452,0.1183774834437086,0.44,0.18656229615133724,325,1208,0.06188118811881188,0.028768699654775604,0.03927729772191673,869,404,0.178729239676977,0.4956687090640186,0.2627246766336301,4733,13126,0.2597938144329897,0.11293695847027188,0.15743440233236153,3347,1455,0.4610574189880614,0.6529790660225443,0.5404865044985006,2484,3518,0.3268807743070832,0.775169535732916,0.45984836763113107,1917,4546,0.06967537608867776,0.411214953271028,0.11916046039268788,214,1263,0.033846153846153845,0.4583333333333333,0.06303724928366762,24,325,1.81024968624115,6.1761447796016e-06,1.8102566003799438,334762.59375,0.8266112208366394,334641,82,1.8293960673303824,1.2372775000003458,1.840721607208252,6.179994670674205e-06,1.8407269716262817,334721.3125,0.8294405937194824,334640,82,1.7062919322911694,1.2373764580006537,1.8418302536010742,5.364628577808617e-06,1.8418354988098145,334696.25,0.8410521149635315,334638,82,1.5846981164433327,1.2346710000001622,1.845694661140442,5.157415216672234e-06,1.8457002639770508,334696.3125,0.8687925338745117,334638,82,1.6451877441185068,1.2046515000001818,1.8400568962097168,3.981328973168274e-06,1.8400605916976929,334314.46875,0.8472659587860107,334634,82,1.4913514295297186,1.2105388330001006,6.124515291001444,0.0011732090006262297,6.12568850000207,1.5088269579991902,7.63451545800126,0.020348708998426446
3,1e-05,1.6535753260377672,4.654546149831333e-06,1.6535801820286873,1673190.9375,1.5159978562091376,0.9511884242292395,0.4393802222242954,0.25327409779705146,0.4393802222242954,0.27072464306304045,0.9591161733913715,0.2953866905120331,0.012950971322849213,0.010356731875719217,0.9981301020863186,0.9752210384450047,0.9865425921083174,344284,336382,0.14007308160779536,0.3333333333333333,0.19725557461406518,345,821,0.11646136618141098,0.32,0.17077175697865354,325,893,0.09278350515463918,0.010356731875719217,0.018633540372670808,869,97,0.3262012012012012,0.5508134375660257,0.40974459724950885,4733,7992,0.2190029825308905,0.15357036151777712,0.18054092026694765,3347,2347,0.46672428694900603,0.6521739130434783,0.5440806045340051,2484,3471,0.11648177496038035,0.07668231611893583,0.09248191255111671,1917,1262,0.05033450143357757,0.7383177570093458,0.09424396063226961,214,3139,0.006548175865294668,0.5833333333333334,0.012950971322849213,24,2138,1.6471195220947266,4.288590844225837e-06,1.6471244096755981,334762.625,0.8942000269889832,334641,82,1.4680895512540988,1.2161682500009192,1.6455518007278442,6.135786861705128e-06,1.6455583572387695,334721.34375,0.8845057487487793,334640,82,1.6668058413024573,1.2333964579993335,1.6460120677947998,4.453753717825748e-06,1.6460167169570923,334696.21875,0.8976326584815979,334638,82,1.4111630552014458,1.2084627080002974,1.6674424409866333,5.01574049849296e-06,1.6674473285675049,334696.25,0.8920595049858093,334638,82,1.4545642687907636,1.2367459580000286,1.661761999130249,3.377363327672356e-06,1.6617653369903564,334314.5,0.9007034301757812,334634,82,1.2842853125585385,1.2081420000013168,6.1029153740018955,0.001210374999573105,6.104125749001469,1.5115304169994488,7.615656166000917,0.020795416998225846
4,1e-05,1.5307307002045811,3.31643934023459e-06,1.530734118075177,1673190.90625,1.4284131310498016,0.9606656960690798,0.4771152889142155,0.2803009814844789,0.4771152889142155,0.2908965420543804,0.9660920155672056,0.32716784973483654,0.023305084745762712,0.012658227848101266,0.9998226683099404,0.9825870502259763,0.9911299336539546,344284,338349,0.15026246719160105,0.663768115942029,0.24505082932049224,345,1524,0.10040160642570281,0.07692307692307693,0.08710801393728224,325,249,0.14666666666666667,0.012658227848101266,0.023305084745762712,869,75,0.4846560846560847,0.6773716458905557,0.5650334860768418,4733,6615,0.2598949211908932,0.22169106662683,0.23927765237020315,3347,2855,0.46701238836070297,0.6525764895330113,0.5444164567590261,2484,3471,0.12878048780487805,0.06885758998435054,0.08973487423521415,1917,1025,0.05274656679151061,0.7897196261682243,0.09888823873610299,214,3204,0.01276595744680851,0.625,0.025020850708924104,24,1175,1.5142319202423096,3.2247055514744716e-06,1.514235496520996,334762.625,0.915880024433136,334641,82,1.5661302957254581,1.2082790410004236,1.501382827758789,3.544487981343991e-06,1.5013864040374756,334721.4375,0.9262670278549194,334640,82,1.2392954285190623,1.210956166998585,1.538564682006836,3.2390062187914737e-06,1.5385680198669434,334696.25,0.9279490113258362,334638,82,1.208743677305813,1.235727749999569,1.5529067516326904,4.019505922769895e-06,1.5529108047485352,334696.25,0.9257466197013855,334638,82,1.2689972766900732,1.202451208999264,1.54659104347229,2.5536214707244653e-06,1.546593427658081,334314.34375,0.9247655868530273,334634,82,1.098490180081596,1.233199209000304,6.090613375998146,0.0010958339989883825,6.091709209997134,1.481947542000853,7.573656751997987,0.019226333000915474
5,1e-05,1.4603399413586877,3.4957602167066997e-06,1.4603434899669732,1673191.15625,1.3717558488992336,0.9652174640627876,0.5131232305141118,0.31304730979066614,0.5131232305141118,0.3386625218206436,0.9694276793485074,0.34666694480698557,0.0,0.0,0.9998966512037182,0.9835600841166015,0.9916610903106116,344284,338659,0.0,0.0,0.0,345,16,0.11504424778761062,0.68,0.19679430097951914,325,1921,0.19540229885057472,0.019562715765247412,0.03556485355648536,869,87,0.5136888748219655,0.6858229452778365,0.5874049945711184,4733,6319,0.268324184694866,0.24828204362115328,0.2579143389199255,3347,3097,0.4663034126756524,0.6545893719806763,0.5446323898844415,2484,3487,0.43021806853582556,0.720396452790819,0.5387165984006241,1917,3210,0.12415349887133183,0.514018691588785,0.2,214,886,0.01744186046511628,0.625,0.033936651583710405,24,860,1.4301097393035889,4.297957275412045e-06,1.4301139116287231,334762.65625,0.9288849830627441,334641,82,1.2331148128800482,1.2398905000009108,1.4425840377807617,4.7608396016585175e-06,1.4425888061523438,334721.40625,0.9274713397026062,334640,82,1.5134917241226995,1.2109225830008654,1.4670661687850952,2.7324447273713304e-06,1.4670687913894653,334696.3125,0.9371170997619629,334638,82,1.108467337382623,1.2115251249997527,1.4964146614074707,3.378067276571528e-06,1.4964184761047363,334696.28125,0.9355751872062683,334638,82,1.1499990772857152,1.233940124999208,1.4655383825302124,2.3078835056367097e-06,1.4655407667160034,334314.5,0.9372478723526001,334634,82,0.9890190305990769,1.2096687499997643,6.105947083000501,0.0011121670013380935,6.107059250001839,1.5041057919988816,7.611165042000721,0.02061133299866924
6,1e-05,1.4023708589909405,2.469606870451508e-06,1.4023733243400387,1673191.03125,1.3334515797893143,0.9661043894439145,0.5244374970208157,0.3401234818817583,0.5244374970208157,0.35611739155171207,0.970394669048671,0.3614521883162817,0.026064291920069503,0.018411967779056387,0.9999143840671701,0.9837605000522824,0.9917716681844669,344284,338722,0.1480597014925373,0.7188405797101449,0.24554455445544554,345,1675,0.08620689655172414,0.046153846153846156,0.06012024048096192,325,174,0.2711864406779661,0.018411967779056387,0.034482758620689655,869,59,0.5391290111329404,0.6957532220578914,0.6075085324232082,4733,6108,0.3085626911314985,0.3014639976097998,0.30497204171074505,3347,3270,0.4670109007458405,0.6553945249597424,0.545393634840871,2484,3486,0.4430051813471503,0.7136150234741784,0.5466533466533466,1917,3088,0.12484993997599039,0.48598130841121495,0.19866284622731614,214,833,0.013309671694764862,0.625,0.026064291920069503,24,1127,1.3709161281585693,3.631285380834015e-06,1.3709195852279663,334762.625,0.9384982585906982,334641,82,1.1581932134992228,1.2599082079996151,1.3874338865280151,2.690685050765751e-06,1.387436866760254,334721.4375,0.9443820118904114,334640,82,1.0592195191667557,1.236392042001171,1.4142086505889893,2.0134787064307602e-06,1.4142111539840698,334696.21875,0.9446566104888916,334638,82,0.8773488398981342,1.2089431250005873,1.4222040176391602,2.1593834844679805e-06,1.422205924987793,334696.1875,0.9439424276351929,334638,82,0.9882929569425513,1.2167162919995462,1.4171156883239746,1.8522505342843942e-06,1.4171172380447388,334314.5625,0.9439268112182617,334634,82,0.8992010777171957,1.2225501659995643,6.144509833000484,0.0012834580011258367,6.14579329100161,1.5034834170000977,7.6492767080017074,0.01982408399817359
7,1e-05,1.364142812993356,4.016520275193542e-06,1.3641468658786151,1673190.71875,1.3013167177302367,0.9648269937692098,0.5000956420633261,0.3263238291021998,0.5000956420633261,0.3321689310142322,0.9698266273137093,0.36962179118474375,0.03592814371257485,0.020713463751438434,0.9999143833088785,0.9837517863159485,0.9917672396753747,344284,338719,0.15151515151515152,0.028985507246376812,0.04866180048661801,345,66,0.1168091168091168,0.6307692307692307,0.1971153846153846,325,1755,0.20689655172413793,0.020713463751438434,0.03765690376569038,869,87,0.5582651106079081,0.6771603634058736,0.6119915982432691,4733,5741,0.3218570683359416,0.3686883776516283,0.3436847235761036,3347,3834,0.46777905638665135,0.6545893719806763,0.5456375838926174,2484,3476,0.349628982976866,0.41784037558685444,0.38070342205323193,1917,2291,0.0720771850170261,0.5934579439252337,0.12854251012145748,214,1762,0.018495684340320593,0.625,0.03592814371257485,24,811,1.3819758892059326,9.92578497971408e-06,1.3819857835769653,334762.65625,0.9149536490440369,334641,82,1.7321636137544727,1.2205301670001063,1.337853193283081,2.942952050943859e-06,1.3378559350967407,334721.34375,0.9462317824363708,334640,82,1.2249585177568187,1.2115068750008504,1.365429401397705,2.569443040556507e-06,1.3654322624206543,334696.15625,0.9477375745773315,334638,82,0.9560302946424393,1.233510459000172,1.3708640336990356,2.6312995942134876e-06,1.370867133140564,334696.125,0.9455202221870422,334638,82,0.9155781342723046,1.2105608339988976,1.3645904064178467,2.009739318964421e-06,1.36459219455719,334314.4375,0.9474171996116638,334634,82,0.8880409621122989,1.2323179590002837,6.10842629400031,0.0011305829993943917,6.109556876999704,1.4853327079999872,7.594889584999692,0.02070699700016121
8,1e-05,1.34299135818469,3.2703166445667778e-06,1.3429949067936382,1673190.84375,1.2725347656370511,0.9644811486520408,0.5221700032159665,0.3224334954489977,0.5221700032159665,0.3351291429676406,0.969861187497517,0.38378327678488533,0.02494802494802495,0.021538461538461538,0.9999114383300811,0.9838302099429541,0.9918056427892731,344284,338747,0.1414027149321267,0.7246376811594203,0.23663038334122102,345,1768,0.08235294117647059,0.021538461538461538,0.03414634146341464,325,85,0.16312056737588654,0.026467203682393557,0.04554455445544554,869,141,0.5673797769244835,0.6556095499683077,0.6083120956675162,4733,5469,0.3228661147587782,0.3379145503435913,0.3302189781021898,3347,3503,0.4670109007458405,0.6553945249597424,0.545393634840871,2484,3486,0.39480259870064965,0.41210224308815857,0.4032669729453803,1917,2001,0.07280291211648465,0.6542056074766355,0.13102480112306972,214,1923,0.012684989429175475,0.75,0.02494802494802495,24,1419,1.3142483234405518,3.6567662391462363e-06,1.3142523765563965,334762.625,0.9505171179771423,334641,82,1.1261490170131916,1.2542367910009489,1.3261224031448364,3.2196223855862627e-06,1.3261257410049438,334721.375,0.9489690661430359,334640,82,1.0396737490259669,1.2182667079996463,1.3589707612991333,2.6072211767314e-06,1.358973741531372,334696.1875,0.9500833749771118,334638,82,0.9967813417508306,1.2119192499994824,1.3656914234161377,5.097499979456188e-06,1.365696668624878,334696.15625,0.9443099498748779,334638,82,1.3508108864349437,1.2275660409995908,1.3499388694763184,1.7686882074485766e-06,1.3499408960342407,334314.5,0.9503965377807617,334634,82,0.8668011644340217,1.2088134999994509,6.120802289999119,0.0011757920001400635,6.121978081999259,1.5000964579994616,7.622074539998721,0.021156127000722336
9,1e-05,1.3214883321366429,3.0996878102704544e-06,1.3214913017619703,1673190.875,1.2683118582273418,0.9663386716200613,0.5324645217131239,0.3385556564001196,0.5324645217131239,0.37343415853960726,0.9714749331382315,0.38704771013291306,0.02243829468960359,0.06444188722669736,0.9999143863419646,0.9837866412612842,0.9917849534783277,344284,338731,0.1238390092879257,0.11594202898550725,0.11976047904191617,345,323,0.11638679791546033,0.6184615384615385,0.195906432748538,325,1727,0.0963855421686747,0.06444188722669736,0.07724137931034483,869,581,0.5998803827751196,0.6357489964081977,0.6172940814442507,4733,5016,0.37615449202350965,0.40155363011652223,0.3884393063583815,3347,3573,0.4684971098265896,0.6525764895330113,0.5454239569313594,2484,3460,0.45114754098360654,0.7177882107459572,0.5540567747131065,1917,3050,0.14192708333333334,0.5093457943925234,0.2219959266802444,214,768,0.011424219345011425,0.625,0.02243829468960359,24,1313,1.3213828802108765,6.437773208745057e-06,1.3213889598846436,334762.625,0.9512432813644409,334641,82,1.4018632374704019,1.2125504169998749,1.266563057899475,2.112612492055632e-06,1.266564965248108,334721.40625,0.9514911770820618,334640,82,0.8517276149696313,1.2349833749995014,1.3230723142623901,2.180950332331122e-06,1.3230748176574707,334696.21875,0.9525726437568665,334638,82,0.9191041409086553,1.2197759999999107,1.3378406763076782,2.525479203541181e-06,1.3378430604934692,334696.1875,0.9533794522285461,334638,82,0.9425549997148036,1.25382824999906,1.3586292266845703,2.2400552097678883e-06,1.3586312532424927,334314.4375,0.951663613319397,334634,82,1.049371817303103,1.2282518749998417,6.149389916998189,0.0011496250008349307,6.150539541999024,1.518028458000117,7.668567999999141,0.021058416003143066
10,1e-05,1.3101045771223967,2.565349511814874e-06,1.3101073039479654,1673191.0,1.2426828405002766,0.9657250754444389,0.5521263641301598,0.34032027798850983,0.5521263641301598,0.3697471284484323,0.9712657548257524,0.40475526244010895,0.019834710743801654,0.06153846153846154,0.9999143833088785,0.9837517863159485,0.9917672396753747,344284,338719,0.14112050739957716,0.7739130434782608,0.23871256146624945,345,1892,0.1,0.06153846153846154,0.0761904761904762,325,200,0.1062618595825427,0.06444188722669736,0.08022922636103152,869,527,0.6292841648590022,0.6129304880625396,0.6209996789039923,4733,4610,0.3325905292479109,0.35673737675530326,0.34424102638027965,3347,3590,0.4683068017366136,0.6513687600644122,0.5448728742212494,2484,3455,0.49872680974899963,0.7151799687010955,0.5876553793399057,1917,2749,0.11694747274529237,0.5514018691588785,0.1929681112019624,214,1009,0.010050251256281407,0.75,0.019834710743801654,24,1791,1.2742186784744263,1.5675416307203704e-06,1.2742207050323486,334762.65625,0.9549546837806702,334641,82,1.1272138424365616,1.220751459000894,1.2844749689102173,3.774688593694009e-06,1.2844789028167725,334721.34375,0.9548230767250061,334640,82,1.1963920306150182,1.2085692920009024,1.3366326093673706,3.1523306915914873e-06,1.3366355895996094,334696.21875,0.9538516402244568,334638,82,1.0230717248782564,1.234233375000258,1.3330228328704834,2.7148137178301113e-06,1.3330256938934326,334696.25,0.9532629251480103,334638,82,0.9950104575249342,1.2110215000011522,1.32219660282135,1.6163978671102086e-06,1.322198510169983,334314.53125,0.95390784740448,334634,82,0.8246601549053523,1.2436362919997919,6.118211918002999,0.0012005419994238764,6.1194124600024224,1.4832669999996142,7.602679460002037,0.020435706996067893
