method,scaffold_stage,representation,input_dim,K,partition_seed,condition,training_seed,batch_size,lr,max_rounds,best_round,best_val_macro_f1,total_fl_seconds,total_control_state_update_seconds,total_validation_seconds,total_run_seconds
SCAFFOLD,control_variates_implemented,37f,37,5,42,iid,42,4096,0.1,40,38,0.4202988968873651,244.6583777970227,0.10115766005765181,61.28818533300364,305.94656313002633
SCAFFOLD,control_variates_implemented,37f,37,5,42,alpha_0p1,42,4096,0.1,40,40,0.32153271056412086,246.52623802999733,0.09776500095904339,61.4054409530072,307.93167898300453
SCAFFOLD,control_variates_implemented,37f,37,5,42,alpha_0p5,42,4096,0.1,40,26,0.44751045365101616,247.04393800807884,0.09985154599417001,61.02198579098331,308.06592379906215
SCAFFOLD,control_variates_implemented,37f,37,5,42,alpha_1p0,42,4096,0.1,40,33,0.41776041425522115,250.51054291996115,0.10106712004926521,62.17332687706221,312.68386979702336
SCAFFOLD,control_variates_implemented,37f,37,5,43,iid,42,4096,0.1,40,40,0.4197234353006597,245.00111983090756,0.09905009288922884,60.856179167021764,305.8572989979293
SCAFFOLD,control_variates_implemented,37f,37,5,43,alpha_0p1,42,4096,0.1,40,35,0.2783611441359828,246.15495777995966,0.09766807292180602,60.41889924799034,306.57385702795
SCAFFOLD,control_variates_implemented,37f,37,5,43,alpha_0p5,42,4096,0.1,40,40,0.4084679361721041,247.9379254230298,0.09995570803584997,61.43150312291982,309.36942854594963
SCAFFOLD,control_variates_implemented,37f,37,5,43,alpha_1p0,42,4096,0.1,40,40,0.43603004100726406,254.546613376835,0.09983050196024124,62.83457741707389,317.3811907939089
SCAFFOLD,control_variates_implemented,37f,37,5,44,iid,42,4096,0.1,40,39,0.421534502890205,243.55753902807191,0.09820211594342254,60.50542103909538,304.0629600671673
SCAFFOLD,control_variates_implemented,37f,37,5,44,alpha_0p1,42,4096,0.1,40,33,0.25159926290878715,253.20523042188142,0.0969314199173823,62.461589747996186,315.6668201698776
SCAFFOLD,control_variates_implemented,37f,37,5,44,alpha_0p5,42,4096,0.1,40,38,0.39081530367996253,248.56130800592655,0.10095479285519104,61.316861460974906,309.87816946690145
SCAFFOLD,control_variates_implemented,37f,37,5,44,alpha_1p0,42,4096,0.1,40,39,0.4242416266236851,248.91787972129532,0.10243587521836162,61.786696330993436,310.70457605228876
