round,server_control_norm_before,server_control_norm_after,server_control_delta_norm,control_invariant_max_abs_error,round_local_steps,val_loss,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,macro_pr_auc,worst_class_f1,worst_class_recall,precision_c0,recall_c0,f1_c0,support_c0,predicted_count_c0,precision_c1,recall_c1,f1_c1,support_c1,predicted_count_c1,precision_c2,recall_c2,f1_c2,support_c2,predicted_count_c2,precision_c3,recall_c3,f1_c3,support_c3,predicted_count_c3,precision_c4,recall_c4,f1_c4,support_c4,predicted_count_c4,precision_c5,recall_c5,f1_c5,support_c5,predicted_count_c5,precision_c6,recall_c6,f1_c6,support_c6,predicted_count_c6,precision_c7,recall_c7,f1_c7,support_c7,predicted_count_c7,precision_c8,recall_c8,f1_c8,support_c8,predicted_count_c8,precision_c9,recall_c9,f1_c9,support_c9,predicted_count_c9,train_loss_client_0,train_accuracy_client_0,train_samples_client_0,train_batches_client_0,update_l2_client_0,local_steps_client_0,control_norm_before_client_0,control_norm_after_client_0,control_delta_norm_client_0,correction_norm_client_0,train_seconds_client_0,control_update_seconds_client_0,train_loss_client_1,train_accuracy_client_1,train_samples_client_1,train_batches_client_1,update_l2_client_1,local_steps_client_1,control_norm_before_client_1,control_norm_after_client_1,control_delta_norm_client_1,correction_norm_client_1,train_seconds_client_1,control_update_seconds_client_1,train_loss_client_2,train_accuracy_client_2,train_samples_client_2,train_batches_client_2,update_l2_client_2,local_steps_client_2,control_norm_before_client_2,control_norm_after_client_2,control_delta_norm_client_2,correction_norm_client_2,train_seconds_client_2,control_update_seconds_client_2,train_loss_client_3,train_accuracy_client_3,train_samples_client_3,train_batches_client_3,update_l2_client_3,local_steps_client_3,control_norm_before_client_3,control_norm_after_client_3,control_delta_norm_client_3,correction_norm_client_3,train_seconds_client_3,control_update_seconds_client_3,train_loss_client_4,train_accuracy_client_4,train_samples_client_4,train_batches_client_4,update_l2_client_4,local_steps_client_4,control_norm_before_client_4,control_norm_after_client_4,control_delta_norm_client_4,correction_norm_client_4,train_seconds_client_4,control_update_seconds_client_4,round_train_seconds,round_client_control_seconds,server_control_update_seconds,round_control_state_update_seconds,aggregation_seconds,fl_round_seconds,validation_seconds,round_total_seconds,round_orchestration_seconds
1,0.0,0.1667916079042442,0.1667916079042442,0.0,410,1.8652151446662775,0.9622219990963402,0.42251892450291323,0.2429566486259494,0.42251892450291323,0.28732740304166465,0.963771643726823,0.2908247241041281,0.0,0.0,0.9973282138844408,0.9823082106632897,0.9897612319885043,344284,339099,0.0,0.0,0.0,345,0,0.09257781324820431,0.7138461538461538,0.16389968209113387,325,2506,0.0,0.0,0.0,869,0,0.39061623077786506,0.7352630466934291,0.5101891218296437,4733,8909,0.0,0.0,0.0,3347,0,0.4727007299270073,0.6517713365539453,0.5479776611947876,2484,3425,0.3632781717888101,0.7214397496087637,0.4832285115303983,1917,3807,0.11306532663316583,0.4205607476635514,0.1782178217821782,214,796,0.0,0.0,0.0,24,0,1.215327501296997,0.9307985305786133,445395,109,3.1888049857626255,109,0.0,0.2925509242979036,0.2925509242979036,0.0,1.7857717080041766,0.000375165996956639,1.9574801921844482,0.2011573761701584,54261,14,0.9011887211458994,14,0.0,0.6437062383882195,0.6437062383882195,0.0,0.264894459003699,0.0003415000101085752,1.6685070991516113,0.011901896446943283,186945,46,1.3163722045186124,46,0.0,0.2861678773100311,0.2861678773100311,0.0,0.7873400000098627,0.00036454199289437383,2.259106397628784,0.04237072169780731,11777,3,0.3697679969667871,3,0.0,1.232559931272554,1.232559931272554,0.0,0.09045808399969246,0.0005427500000223517,1.5368489027023315,0.7598216533660889,974813,238,4.154410512685463,238,0.0,0.17455507133139103,0.17455507133139103,0.0,3.8824731670028996,0.000380749988835305,6.81093741802033,0.0020047079888172448,0.0005424580012913793,0.002547165990108624,0.0013119999930495396,6.8147965840034885,1.652093541008071,8.46689012501156,0.05565895698964596
2,0.1667916079042442,0.12172912415271253,0.13306655174273244,1.862645149230957e-09,410,1.6420233303439329,0.9638982322851996,0.45027218850378253,0.28389750169947026,0.45027218850378253,0.2919677638954725,0.966389504262591,0.33480067400444163,0.0,0.0,0.9998611644462825,0.9831505385089054,0.9914354421555505,344284,338530,0.0,0.0,0.0,345,8,0.09066253390158853,0.72,0.1610461114934618,325,2581,0.3870967741935484,0.01380897583429229,0.02666666666666667,869,31,0.47619047619047616,0.7669554193957321,0.5875687924894788,4733,7623,0.0,0.0,0.0,3347,0,0.4677047289504037,0.6529790660225443,0.5450268817204301,2484,3468,0.3453879606317235,0.7871674491392802,0.4801145402481705,1917,4369,0.06587942821628341,0.4953271028037383,0.11629182665935271,214,1609,0.006191950464396285,0.08333333333333333,0.011527377521613832,24,323,0.8425815105438232,0.9676556587219238,445395,109,2.0313590854917245,109,0.2925509242979036,0.23815217880368952,0.19604243642720787,0.19112807924946332,1.7277392919932026,0.0003482910105958581,1.965975046157837,0.8268738389015198,54261,14,1.0885241947604705,14,0.6437062383882195,1.0826514279440795,0.7802781166370826,0.6404320895972172,0.21705999999539927,0.00035849999403581023,1.450663447380066,0.9253149032592773,186945,46,1.5969670022628668,46,0.2861678773100311,0.3762202821403688,0.32594998574826967,0.2740742931906022,0.7052057919936487,0.0003705420094775036,1.826306700706482,0.568565845489502,11777,3,0.3179326191995597,3,1.232559931272554,1.1861604025282881,1.0641537735355449,1.202985152312079,0.04092474999197293,0.00034233399492222816,1.2376164197921753,0.9550939798355103,974813,238,2.9619503025311844,238,0.17455507133139103,0.13252383046504676,0.14540424167169386,0.08681610922694218,3.831966916011879,0.0003614169982029125,6.522896749986103,0.0017810840072343126,0.0005959170084679499,0.0023770010157022625,0.001417374995071441,6.5266911259968765,1.6371554999932414,8.163846625990118,0.05820404100813903
3,0.12172912415271253,0.08493927161775437,0.09964321468300591,1.6298145055770874e-09,410,1.557897980592122,0.9651365809305464,0.43191027790153164,0.26736977731982664,0.43191027790153164,0.30941171281326063,0.9669014958449277,0.3541895506541822,0.0,0.0,0.9999085119318148,0.9841032403480847,0.9919429212180476,344284,338842,0.022222222222222223,0.005797101449275362,0.009195402298850575,345,90,0.11427038626609443,0.6553846153846153,0.1946094106898127,325,1864,0.09421487603305785,0.06559263521288838,0.0773405698778833,869,605,0.485771012574454,0.7754067187830129,0.5973307291666666,4733,7555,0.0,0.0,0.0,3347,0,0.46588302752293576,0.6541867954911433,0.544206296048225,2484,3488,0.28322171307719424,0.8382889932185706,0.42339612699249113,1917,5674,0.13924050632911392,0.2570093457943925,0.180623973727422,214,395,0.06896551724137931,0.08333333333333333,0.07547169811320754,24,29,0.763800859451294,0.9735223650932312,445395,109,1.4539236718240371,109,0.23815217880368952,0.23012884885094959,0.1453039732993899,0.2033387288198206,1.7551106669998262,0.0003548749955371022,1.791635274887085,0.8215292692184448,54261,14,1.0227440443923008,14,1.0826514279440795,1.3467204175603067,0.727959380249204,1.0439715395524272,0.20872716700250749,0.0003897499991580844,1.3276017904281616,0.9570087194442749,186945,46,1.2710610910562261,46,0.3762202821403688,0.4383889869644961,0.27101631250219355,0.33159211971417224,0.7414777499943739,0.0003520419995766133,1.6173007488250732,0.618663489818573,11777,3,0.18512502197700798,3,1.1861604025282881,1.2216820568180664,0.6115438660292235,1.1610561498739218,0.04110966699954588,0.00033799999800976366,1.1549067497253418,0.9643316268920898,974813,238,2.3318791012356,238,0.13252383046504676,0.1230529767559561,0.11656904835296682,0.10246769565884366,3.739155999996001,0.00037629199505317956,6.485581250992254,0.0018109589873347431,0.0005866249994141981,0.0023975839867489412,0.0010750420042313635,6.489053876983235,1.5389254999900004,8.027979376973235,0.06105949802440591
4,0.08493927161775437,0.07565750236650715,0.0869271925286734,1.6880221664905548e-09,410,1.511332898898462,0.9656441923121978,0.5014375031560794,0.2756080725141654,0.5014375031560794,0.3153680647448712,0.9679499311443284,0.35594901646969934,0.0,0.0,0.9998937833770986,0.9843443203866575,0.9920581252726086,344284,338930,0.028037383177570093,0.008695652173913044,0.01327433628318584,345,107,0.09120389136603162,0.6923076923076923,0.16117478510028654,325,2467,0.07871198568872988,0.05063291139240506,0.06162464985994398,869,559,0.4733501018085998,0.8349883794633425,0.6041889619324262,4733,8349,0.0,0.0,0.0,3347,0,0.46632124352331605,0.6521739130434783,0.5438066465256798,2484,3474,0.5172283226050738,0.7125717266562337,0.5993856954804739,1917,2641,0.08191653786707882,0.4953271028037383,0.14058355437665782,214,1294,0.019417475728155338,0.5833333333333334,0.03758389261744966,24,721,0.7216823697090149,0.9759741425514221,445395,109,1.3619876776439053,109,0.23012884885094959,0.244092416175893,0.12554136680161132,0.21954688633458797,1.6304761669889558,0.0003421669971430674,1.6863324642181396,0.8195204734802246,54261,14,1.0746654370457596,14,1.3467204175603067,1.5292959292422277,0.7751545400651468,1.3193879890197815,0.20231504100956954,0.00033454100775998086,1.3029463291168213,0.9619727730751038,186945,46,1.1826450482826552,46,0.4383889869644961,0.512775105670329,0.257739476706047,0.40861310858299144,0.673333291997551,0.0003720840031746775,1.5780290365219116,0.6156066656112671,11777,3,0.17254171434289534,3,1.2216820568180664,1.3867993922358748,0.5760835789049226,1.2094296034602994,0.061469708001823165,0.0003347089950693771,1.137162446975708,0.966815173625946,974813,238,2.1638489563620955,238,0.1230529767559561,0.13737138605812116,0.1030530403521582,0.11910270909963909,3.5368272909981897,0.00032787500822450966,6.104421498996089,0.0017113760113716125,0.0006158329924801365,0.002327209003851749,0.0012580840120790526,6.10800679201202,1.5300922909955261,7.638099083007546,0.05759141700400505
5,0.07565750236650715,0.07482352600206328,0.09181259840099133,1.7462298274040222e-09,410,1.4609603587425926,0.9654796369741899,0.5093547961654927,0.27791096281447547,0.5093547961654927,0.30564300135059763,0.9677013504933294,0.36818733670886805,0.004080443019527835,0.002091425156856887,0.9999085818089596,0.984855526251583,0.9923249705510071,344284,339101,0.02830188679245283,0.008695652173913044,0.013303769401330377,345,106,0.1009657594381036,0.7076923076923077,0.17671917018824435,325,2278,0.12345679012345678,0.023014959723820484,0.038797284190106696,869,162,0.4984411007184492,0.7768856961757871,0.6072667217175888,4733,7377,0.08333333333333333,0.002091425156856887,0.004080443019527835,3347,84,0.4592298980747452,0.6529790660225443,0.5392287234042553,2484,3532,0.3864894795127353,0.7282211789254043,0.5049737746427926,1917,3612,0.07275902211874273,0.5841121495327103,0.12939958592132506,214,1718,0.026223776223776224,0.625,0.050335570469798654,24,572,0.7106778025627136,0.9769462943077087,445395,109,1.3429246912645012,109,0.244092416175893,0.2576222483139304,0.11883398952356648,0.23952583656644968,1.628263833001256,0.0003629580023698509,1.6046749353408813,0.817032516002655,54261,14,1.2674752197407497,14,1.5292959292422277,1.5316730822232765,0.9206895272719982,1.5096661977858112,0.20521183300297707,0.000357083001290448,1.2711607217788696,0.9624007344245911,186945,46,1.266238953325913,46,0.512775105670329,0.5697930927323419,0.2849959788720028,0.4872384819512396,0.6663318750070175,0.0008275410073110834,1.503804326057434,0.6239280104637146,11777,3,0.16811285670068776,3,1.3867993922358748,1.3492911456332506,0.5674097083302418,1.3699652029451133,0.038550707991817035,0.0007674160005990416,1.105742335319519,0.9680400490760803,974813,238,2.29377346950115,238,0.13737138605812116,0.15449140105954587,0.10922394310031973,0.13723557572391662,3.5488670420018025,0.0003522500046528876,6.08722529100487,0.0026672480162233114,0.000560125001356937,0.0032273730175802484,0.0011667910002870485,6.091619455022737,1.52869512498728,7.620314580010017,0.05621671097469516
6,0.07482352600206328,0.07143708146320905,0.09191885191799007,1.6298145055770874e-09,410,1.4984840859713524,0.9657529661796944,0.5137103619621074,0.29015520216592844,0.5137103619621074,0.3167603556170866,0.9677203709883238,0.37517476021420854,0.0,0.0,0.9999056434087498,0.9849629956663685,0.9923780733162332,344284,339139,0.036585365853658534,0.008695652173913044,0.01405152224824356,345,82,0.09623938536190861,0.7323076923076923,0.1701215153681201,325,2473,0.25675675675675674,0.02186421173762946,0.04029692470837752,869,74,0.4927421483240961,0.7889287978026621,0.6066119730322476,4733,7578,0.0,0.0,0.0,3347,0,0.4678951914771091,0.6541867954911433,0.5455766325331542,2484,3473,0.3800054481067829,0.7276995305164319,0.4992841803865426,1917,3671,0.06652697747511786,0.5934579439252337,0.11964201601507302,214,1909,0.1048951048951049,0.625,0.17964071856287425,24,143,0.7039406895637512,0.9788098335266113,445395,109,1.4165972784407015,109,0.2576222483139304,0.27609008591069234,0.12635235554298924,0.2567855503149555,1.6215126249880996,0.0003812500071944669,1.510145902633667,0.8455981016159058,54261,14,1.2816483892980526,14,1.5316730822232765,1.60250538308821,0.9355468568324046,1.5152757177050318,0.17522141699737404,0.0003366250020917505,1.2457971572875977,0.9624595642089844,186945,46,1.3778236396170895,46,0.5697930927323419,0.5943203225311248,0.31426880929648676,0.5529720764964191,0.6971442079957342,0.0003684169932967052,1.5009067058563232,0.6150972247123718,11777,3,0.18779725290353405,3,1.3492911456332506,1.6069627119942385,0.6334923994383832,1.3433131094073343,0.038949209003476426,0.0003343330026837066,1.10275137424469,0.9694792628288269,974813,238,2.086908806351079,238,0.15449140105954587,0.14983169754033276,0.09967791157293444,0.1450935205727279,3.5461942910042126,0.00033679199987091124,6.079021749988897,0.0017574170051375404,0.0005606250051641837,0.002318042010301724,0.001175083001726307,6.082514875000925,1.5153249580034753,7.5978398330044,0.05421220800781157
7,0.07143708146320905,0.07113233903657142,0.08921745673327734,1.862645149230957e-09,410,1.4286067595396048,0.9657473880326433,0.5112094085525855,0.26876199385665167,0.5112094085525855,0.3116532091431624,0.9677402133563493,0.39385576970096403,0.0,0.0,0.9999115459120943,0.9850268963994842,0.9924134126766972,344284,339159,0.02654867256637168,0.008695652173913044,0.013100436681222707,345,113,0.10860561435803037,0.7261538461538461,0.188951160928743,325,2173,0.09090909090909091,0.0333716915995397,0.04882154882154882,869,319,0.4926069002264553,0.7813226283541095,0.6042483660130719,4733,7507,0.0,0.0,0.0,3347,0,0.4695174804969662,0.6541867954911433,0.5466778805719091,2484,3461,0.37367021276595747,0.7329160146061554,0.494979742821913,1917,3760,0.06748466257668712,0.5654205607476636,0.12057797708021924,214,1793,0.058365758754863814,0.625,0.10676156583629894,24,257,0.7027003169059753,0.9790096282958984,445395,109,1.4650829733378448,109,0.27609008591069234,0.27708875502530916,0.13526369267736799,0.26714455205089677,1.6020207090041367,0.0003859999997075647,1.511752724647522,0.8462247252464294,54261,14,1.3283186355900511,14,1.60250538308821,1.6174477354004644,0.9695680352212457,1.5888033128969263,0.20497224999417085,0.0003335000074002892,1.1903083324432373,0.964347779750824,186945,46,1.4569496610216919,46,0.5943203225311248,0.6248677512411333,0.34137529440167963,0.5717827257543201,0.6913777090085205,0.0003819169942289591,1.4991801977157593,0.6114460229873657,11777,3,0.22779447979870204,3,1.6069627119942385,1.6202332867210791,0.7678064422007961,1.5937727045330612,0.039408666008966975,0.00034825000329874456,1.0907772779464722,0.9700465798377991,974813,238,2.244803236207259,238,0.14983169754033276,0.1543828937227132,0.09101417649088166,0.15457892743845833,3.5614721669990104,0.00036624999484047294,6.099251501014805,0.0018159169994760305,0.0008408339926972985,0.002656750992173329,0.001163499997346662,6.103071752004325,1.4979099169868277,7.600981668991153,0.05886962298245635
8,0.07113233903657142,0.0736999661470777,0.09077058833886617,1.862645149230957e-09,410,1.4036369710508168,0.9637810911971262,0.51189850419521,0.2992129899895685,0.51189850419521,0.30411916504888376,0.9661470474221872,0.38041467866802753,0.0,0.0,0.9999142645971915,0.9823895388690732,0.9910744373174084,344284,338250,0.02631578947368421,0.008695652173913044,0.013071895424836602,345,114,0.09940273037542662,0.7169230769230769,0.17459722742600225,325,2344,0.4444444444444444,0.009205983889528193,0.018038331454340473,869,18,0.44452198185624564,0.8075216564546799,0.5734003450603856,4733,8598,0.0,0.0,0.0,3347,0,0.46905725853094277,0.6529790660225443,0.5459441265567149,2484,3458,0.3957302785732882,0.792905581637976,0.5279610976033345,1917,3841,0.09090909090909091,0.5233644859813084,0.15491009681881052,214,1232,0.021834061135371178,0.625,0.04219409282700422,24,687,0.6876065731048584,0.9792162179946899,445395,109,1.511164060128813,109,0.27708875502530916,0.2890924202852332,0.13943239518018608,0.2760282798862518,1.625296874990454,0.0003859999997075647,1.3964059352874756,0.8542599678039551,54261,14,1.2789344442555088,14,1.6174477354004644,1.6063805454033537,0.9319606797056581,1.5963150681338012,0.20591666699328925,0.0003422919980948791,1.1482681035995483,0.9631602764129639,186945,46,1.4684751720068059,46,0.6248677512411333,0.6460770583648953,0.33609391323899457,0.6006684339666527,0.667874083010247,0.0003386659955140203,1.4667118787765503,0.6078797578811646,11777,3,0.20556526154739677,3,1.6202332867210791,1.7014050843939605,0.6951585404397471,1.606933241374401,0.03907495799649041,0.00036691600689664483,1.0856736898422241,0.9689345359802246,974813,238,2.2908953700574464,238,0.1543828937227132,0.16391049761215692,0.09901987513185001,0.15938548622669055,3.560570874993573,0.00037450001400429755,6.0987334579840535,0.0018083740142174065,0.0006057499995222315,0.002414124013739638,0.0011494999926071614,6.1022970819904,1.5278499580017524,7.630147039992153,0.058141043002251536
9,0.0736999661470777,0.0725540965432171,0.09739901717153436,2.7939677238464355e-09,410,1.4429529884345904,0.9666873058107558,0.5093458113497924,0.2980128584337614,0.5093458113497924,0.3208305191320805,0.9679293286829672,0.39974340505110795,0.0,0.0,0.9999144916083834,0.9849978506117043,0.9924001217385197,344284,339148,0.02830188679245283,0.008695652173913044,0.013303769401330377,345,106,0.10213675213675213,0.7353846153846154,0.17936210131332084,325,2340,0.3333333333333333,0.01611047180667434,0.030735455543358946,869,42,0.4922864668255362,0.829283752376928,0.6178183535337636,4733,7973,0.0,0.0,0.0,3347,0,0.46595083356880473,0.6638486312399355,0.5475676573136311,2484,3539,0.36720609233698237,0.8049034950443401,0.5043307730021245,1917,4202,0.0868320610687023,0.4252336448598131,0.14421553090332806,214,1048,0.10416666666666667,0.625,0.17857142857142858,24,144,0.6814801692962646,0.9778421521186829,445395,109,1.4724665560402006,109,0.2890924202852332,0.3043190022247607,0.12863808243752414,0.2845007002587554,1.6220186659920728,0.0003437080013100058,1.3818360567092896,0.8525460362434387,54261,14,1.2035912348254412,14,1.6063805454033537,1.5996731185322517,0.8790346151231694,1.5914993517098273,0.2025543329946231,0.00035870898864232004,1.114647626876831,0.9615983366966248,186945,46,1.5687656680949917,46,0.6460770583648953,0.6227006222895948,0.3620968859992662,0.6228239213980179,0.6713255420036148,0.000374249997548759,1.4153530597686768,0.606266438961029,11777,3,0.18476842351296438,3,1.7014050843939605,1.685676878007766,0.630258675552512,1.6868758062662499,0.03763766700285487,0.0003403330047149211,1.0824004411697388,0.9697213768959045,974813,238,2.1900756070791,238,0.16391049761215692,0.1775354763231156,0.10754459482187918,0.16628025593158716,3.5492059160023928,0.0003330839972477406,6.082742123995558,0.0017500839894637465,0.0006068749935366213,0.002356958983000368,0.0012297919893171638,6.086328874967876,1.5214173330023186,7.6077462079701945,0.06054508402303327
10,0.0725540965432171,0.07387726761737559,0.09491681521409155,1.949956640601158e-09,410,1.3928632184201692,0.9667877124576758,0.5105551989441108,0.3734839720645581,0.5105551989441108,0.3225418459876537,0.9682022493551329,0.4213779396412618,0.0005973715651135006,0.00029877502240812666,0.9999174426078701,0.9850298009782621,0.9924177911219972,344284,339158,0.025210084033613446,0.008695652173913044,0.01293103448275862,345,119,0.09620758483033932,0.7415384615384616,0.17031802120141343,325,2505,0.050761421319796954,0.011507479861910242,0.01876172607879925,869,197,0.497538811056418,0.8328755546165223,0.6229456384323641,4733,7923,1.0,0.00029877502240812666,0.0005973715651135006,3347,1,0.47247045257999426,0.6598228663446055,0.550646732739795,2484,3469,0.4070656472449249,0.8054251434533125,0.5408056042031524,1917,3793,0.0893719806763285,0.5186915887850467,0.15247252747252749,214,1242,0.0962962962962963,0.5416666666666666,0.16352201257861634,24,135,0.6797381043434143,0.979240894317627,445395,109,1.4913217247964452,109,0.3043190022247607,0.3070186091340304,0.13586483481958125,0.2970303516030082,1.6222882919973927,0.00035083299735561013,1.3869705200195312,0.8542046546936035,54261,14,1.1273368228171552,14,1.5996731185322517,1.6366544348978882,0.8216488471266566,1.5906708203931426,0.1761863340070704,0.00033908399927895516,1.1141105890274048,0.963796854019165,186945,46,1.583353689920597,46,0.6227006222895948,0.6288951604765793,0.363841343578335,0.6142780567086941,0.6864705419866368,0.00033208300010301173,1.4221101999282837,0.6162010431289673,11777,3,0.20016109492867232,3,1.685676878007766,1.6871660264102948,0.6796905024060715,1.6774608568959415,0.039016708004055545,0.0003862919984385371,1.0523513555526733,0.9707512855529785,974813,238,2.159737832942228,238,0.1775354763231156,0.16591235114691869,0.10046908498419335,0.16857210639580508,3.5442047500109766,0.0003716249921126291,6.068166626006132,0.0017799169872887433,0.0005588749918388203,0.0023387919791275635,0.0012825000012526289,6.071787917986512,1.4994742500130087,7.571262167999521,0.05767774900596123
11,0.07387726761737559,0.07316084643966421,0.09357037914130345,1.862645149230957e-09,410,1.3320444324182417,0.9661880616496812,0.5083684478987412,0.27013537513755725,0.5083684478987412,0.3145204805383725,0.9679600477559791,0.41384796293670334,0.0,0.0,0.999911552170952,0.9850966062901558,0.9924487941627028,344284,339183,0.04700854700854701,0.03188405797101449,0.037996545768566495,345,234,0.10880590133702167,0.7261538461538461,0.1892542101042502,325,2169,0.08488063660477453,0.03682393555811277,0.051364365971107544,869,377,0.5021160409556314,0.777096978660469,0.6100514181456295,4733,7325,0.0,0.0,0.0,3347,0,0.47498545666084935,0.6574074074074074,0.5515028706518068,2484,3438,0.3610855565777369,0.8189880020865936,0.5011971268954509,1917,4348,0.08783783783783784,0.4252336448598131,0.1456,214,1036,0.034722222222222224,0.625,0.06578947368421052,24,432,0.6634564995765686,0.9796068668365479,445395,109,1.606648625462435,109,0.3070186091340304,0.30707883995329394,0.15116503430786807,0.3004952226450104,1.6164517500001239,0.00035687499621417373,1.3680663108825684,0.8582038879394531,54261,14,1.2559607848484018,14,1.6366544348978882,1.694711095078364,0.9157925763900913,1.6218461140686127,0.20300812499772292,0.0003869170031975955,1.0651512145996094,0.9650378227233887,186945,46,1.4698241077889658,46,0.6288951604765793,0.6052732415412839,0.344535767048755,0.6072277482574262,0.6643761660088785,0.0003503330081002787,1.4198894500732422,0.6163709163665771,11777,3,0.22692646365251468,3,1.6871660264102948,1.654344157204165,0.7697265135481148,1.6798413428004675,0.061485584010370076,0.00033549999352544546,1.0555264949798584,0.9707687497138977,974813,238,2.4554438470341675,238,0.16591235114691869,0.1611449751815232,0.10322839984710949,0.1676005745721921,3.537896042005741,0.00033970799995586276,6.083217667022836,0.0017693330009933561,0.0005825420084875077,0.002351875009480864,0.0010099579958477989,6.086579500028165,1.5425782079983037,7.629157708026469,0.056797999975970015
