round,server_control_norm_before,server_control_norm_after,server_control_delta_norm,control_invariant_max_abs_error,round_local_steps,val_loss,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,macro_pr_auc,worst_class_f1,worst_class_recall,precision_c0,recall_c0,f1_c0,support_c0,predicted_count_c0,precision_c1,recall_c1,f1_c1,support_c1,predicted_count_c1,precision_c2,recall_c2,f1_c2,support_c2,predicted_count_c2,precision_c3,recall_c3,f1_c3,support_c3,predicted_count_c3,precision_c4,recall_c4,f1_c4,support_c4,predicted_count_c4,precision_c5,recall_c5,f1_c5,support_c5,predicted_count_c5,precision_c6,recall_c6,f1_c6,support_c6,predicted_count_c6,precision_c7,recall_c7,f1_c7,support_c7,predicted_count_c7,precision_c8,recall_c8,f1_c8,support_c8,predicted_count_c8,precision_c9,recall_c9,f1_c9,support_c9,predicted_count_c9,train_loss_client_0,train_accuracy_client_0,train_samples_client_0,train_batches_client_0,update_l2_client_0,local_steps_client_0,control_norm_before_client_0,control_norm_after_client_0,control_delta_norm_client_0,correction_norm_client_0,train_seconds_client_0,control_update_seconds_client_0,train_loss_client_1,train_accuracy_client_1,train_samples_client_1,train_batches_client_1,update_l2_client_1,local_steps_client_1,control_norm_before_client_1,control_norm_after_client_1,control_delta_norm_client_1,correction_norm_client_1,train_seconds_client_1,control_update_seconds_client_1,train_loss_client_2,train_accuracy_client_2,train_samples_client_2,train_batches_client_2,update_l2_client_2,local_steps_client_2,control_norm_before_client_2,control_norm_after_client_2,control_delta_norm_client_2,correction_norm_client_2,train_seconds_client_2,control_update_seconds_client_2,train_loss_client_3,train_accuracy_client_3,train_samples_client_3,train_batches_client_3,update_l2_client_3,local_steps_client_3,control_norm_before_client_3,control_norm_after_client_3,control_delta_norm_client_3,correction_norm_client_3,train_seconds_client_3,control_update_seconds_client_3,train_loss_client_4,train_accuracy_client_4,train_samples_client_4,train_batches_client_4,update_l2_client_4,local_steps_client_4,control_norm_before_client_4,control_norm_after_client_4,control_delta_norm_client_4,correction_norm_client_4,train_seconds_client_4,control_update_seconds_client_4,round_train_seconds,round_client_control_seconds,server_control_update_seconds,round_control_state_update_seconds,aggregation_seconds,fl_round_seconds,validation_seconds,round_total_seconds,round_orchestration_seconds
1,0.0,0.19101920197044603,0.19101920197044603,0.0,410,1.908770328123397,0.8428747538642614,0.36046870538982645,0.23601857507533866,0.36046870538982645,0.2156942699823062,0.8941011926071443,0.24312107008486866,0.0,0.0,0.9971518018972295,0.8613063633511868,0.924264218868101,344284,297381,0.1454849498327759,0.25217391304347825,0.18451749734888653,345,598,0.12092130518234165,0.38769230769230767,0.18434528163862474,325,1042,0.25,0.005753739930955121,0.01124859392575928,869,20,0.07122219417094448,0.5364462286076485,0.12574909613193996,4733,35649,0.3544093178036606,0.06363907977293098,0.10790273556231003,3347,601,0.31028699217294076,0.6702898550724637,0.42420382165605097,2484,5366,0.05843646242076668,0.5049556598852374,0.1047505681203333,1917,16565,0.05227272727272727,0.32242990654205606,0.08996088657105607,214,1320,0.0,0.0,0.0,24,0,2.1207077503204346,0.41783881187438965,334641,82,1.7377482767834864,82,0.0,0.21192052840661135,0.21192052840661135,0.0,1.3069228749955073,0.0002852080069715157,2.1009843349456787,0.4572017788887024,334640,82,1.734165999024152,82,0.0,0.2114836593835415,0.2114836593835415,0.0,1.3023735000024317,0.0003446670016273856,2.1040661334991455,0.4338598847389221,334638,82,1.65031215323163,82,0.0,0.20125758435180516,0.20125758435180516,0.0,1.3191591670038179,0.0003676670021377504,2.1148006916046143,0.45336753129959106,334638,82,1.782220943128532,82,0.0,0.21734402119046622,0.21734402119046622,0.0,1.3645875419897493,0.0003920419985661283,2.087390899658203,0.3404107093811035,334634,82,1.7441983902219738,82,0.0,0.21270712646519208,0.21270712646519208,0.0,1.5560992500104476,0.000351999988197349,6.849142334001954,0.001741583997500129,0.0005631249950965866,0.0023047089925967157,0.0012032910017296672,6.85265033399628,1.6329274169984274,8.485577750994707,0.061953999000252225
2,0.19101920197044603,0.17013345246731756,0.14190481230751642,1.862645149230957e-09,410,1.6678299189504422,0.930473975154933,0.4490887368756245,0.2702104327608147,0.4490887368756245,0.26939825372496634,0.9462135025966357,0.26071314926265327,0.017075773745997867,0.009205983889528193,0.9961362891379039,0.9532914686712133,0.9742430539064355,344284,329476,0.13942011104256632,0.6550724637681159,0.2299084435401831,345,1621,0.13432835820895522,0.027692307692307693,0.04591836734693878,325,67,0.11764705882352941,0.009205983889528193,0.017075773745997867,869,68,0.14453280318091452,0.4608070990914853,0.22004741966402663,4733,15090,0.2554557124518614,0.11891245891843442,0.16228338430173292,3347,1558,0.4631639063392347,0.6529790660225443,0.5419311727363849,2484,3502,0.4026236125126135,0.4162754303599374,0.40933572710951527,1917,1982,0.03926441351888668,0.7383177570093458,0.07456347333647947,214,4024,0.009532062391681109,0.4583333333333333,0.01867572156196944,24,1154,1.8433752059936523,0.8584991097450256,334641,82,1.6267720135405448,82,0.21192052840661135,0.19359635196122396,0.17424130249351888,0.08696801013469839,1.30320029098948,0.0003626249963417649,1.85236656665802,0.8387909531593323,334640,82,1.6938333365043183,82,0.2114836593835415,0.19273873160356153,0.18731321178643176,0.08685482385230682,1.345510875005857,0.0003550830006133765,1.829276442527771,0.8454748392105103,334638,82,1.6134986500047297,82,0.20125758435180516,0.19120281067538536,0.16622160578318967,0.07292643112686673,1.2571354160027113,0.00037708300806116313,1.8485902547836304,0.8518996834754944,334638,82,1.7499140618289208,82,0.21734402119046622,0.1996069408994324,0.1944814275478638,0.10449851551472396,1.2235319590108702,0.00034216701169498265,1.8294847011566162,0.8376823663711548,334634,82,1.6670094166799996,82,0.21270712646519208,0.19367440781994316,0.18075639622159068,0.09399969646518967,1.2417231670115143,0.00036099999852012843,6.371101708020433,0.0017979580152314156,0.0005939580005360767,0.0023919160157674924,0.0012908749922644347,6.374784499028465,1.5545917910058051,7.92937629003427,0.0681813759583747
3,0.17013345246731756,0.13893835022497492,0.10498992716519254,1.862645149230957e-09,410,1.5136586544722854,0.9522399049483743,0.46622258761319835,0.26490531505544074,0.46622258761319835,0.27649654343688085,0.9600805093299386,0.286571689742252,0.0,0.0,0.9982313459011812,0.9754127406443518,0.9866901327754746,344284,336414,0.0,0.0,0.0,345,30,0.1142527409117138,0.6092307692307692,0.1924198250728863,325,1733,0.140625,0.010356731875719217,0.01929260450160772,869,64,0.32810853530031614,0.5263046693429114,0.4042190669371197,4733,7592,0.19494584837545126,0.09680310726023304,0.12936713914953085,3347,1662,0.46632124352331605,0.6521739130434783,0.5438066465256798,2484,3474,0.3486159169550173,0.4204486176317162,0.38117758335303853,1917,2312,0.051193225558121634,0.6214953271028038,0.0945945945945946,214,2598,0.006759294029290274,0.75,0.01339784145887607,24,2663,1.6499789953231812,0.9103755950927734,334641,82,1.4533132641363384,82,0.19359635196122396,0.1715274675047211,0.15322356029100048,0.09064393088819002,1.2331459999986691,0.0003530000103637576,1.661647915840149,0.9028359055519104,334640,82,1.4333449356972336,82,0.19273873160356153,0.15702517881595868,0.1506908901379373,0.09251331377312137,1.206316333002178,0.0003845000028377399,1.6347204446792603,0.9025364518165588,334638,82,1.4040467745197267,82,0.19120281067538536,0.16613089411252083,0.13934101280665032,0.08112349633952311,1.2330911659955746,0.00035270799708086997,1.7054967880249023,0.8974174857139587,334638,82,1.8067657324285595,82,0.1996069408994324,0.22842499427634813,0.20794494192546717,0.10488608879759412,1.206972208005027,0.0003460000007180497,1.6369245052337646,0.908180296421051,334634,82,1.427403017892654,82,0.19367440781994316,0.16461655823331556,0.14102161387240966,0.09723631306734327,1.205415999997058,0.0004571250028675422,6.084941706998507,0.0018933330138679594,0.0006007079937262461,0.0024940410075942054,0.001112625002861023,6.088548373008962,1.5482592920016032,7.636807665010565,0.05932637699879706
4,0.13893835022497492,0.12031936542705343,0.097529615964903,1.862645149230957e-09,410,1.4347492725804858,0.9635607543886072,0.5077793119438724,0.3280155278452236,0.5077793119438724,0.3391183537843747,0.9685923014659492,0.3202733608101308,0.0,0.0,0.9998374353805638,0.9825376723867505,0.9911120682204067,344284,338327,0.13628988642509465,0.7304347826086957,0.22971741112123975,345,1849,0.0,0.0,0.0,325,0,0.30434782608695654,0.00805523590333717,0.01569506726457399,869,23,0.5039370078740157,0.6355377139235158,0.5621379181461409,4733,5969,0.2764254751583861,0.247684493576337,0.2612669398046013,3347,2999,0.4656707842573973,0.6525764895330113,0.5435037720033529,2484,3481,0.4290635765737551,0.7146583202921231,0.5362035225048923,1917,3193,0.15725190839694655,0.48130841121495327,0.23705408515535098,214,655,0.007331378299120235,0.625,0.014492753623188406,24,2046,1.5424728393554688,0.9240559339523315,334641,82,1.3309523729602069,82,0.1715274675047211,0.15150065606356805,0.1435671377419156,0.10057053706954679,1.2072126249986468,0.0003458340070210397,1.5406566858291626,0.9274145364761353,334640,82,1.3170879456772346,82,0.15702517881595868,0.14918305517057678,0.1381155786687081,0.09273371500946734,1.2302017089969013,0.0003601669886847958,1.518599271774292,0.9257316589355469,334638,82,1.2855489270064355,82,0.16613089411252083,0.15079458045085506,0.13310704736506407,0.09836739209292984,1.2042804999946384,0.0003404170129215345,1.6038472652435303,0.8879923820495605,334638,82,2.0624753673303506,82,0.22842499427634813,0.23529394557958627,0.2534896543063022,0.16033158347681437,1.2205828750011278,0.0003787500027101487,1.52730393409729,0.9243292808532715,334634,82,1.3065620314620738,82,0.16461655823331556,0.1597987798514184,0.13743270039310748,0.10168085620626849,1.204186542003299,0.0003354170039528981,6.066464250994613,0.0017605850152904168,0.0005999169952701777,0.0023605020105605945,0.0011670840031001717,6.069991837008274,1.5223341250093654,7.5923259620176395,0.05672270598006435
5,0.12031936542705343,0.10185158904235588,0.09011645983883719,1.3387762010097504e-09,410,1.383698184861481,0.9630196741246493,0.5163974073287407,0.3149536159349848,0.5163974073287407,0.34417262290895223,0.9688628839271708,0.33531507556864504,0.024529844644317254,0.017391304347826087,0.9999142747346951,0.9825057220201926,0.9911335620753208,344284,338290,0.0967741935483871,0.017391304347826087,0.029484029484029485,345,62,0.11668611435239207,0.6153846153846154,0.196174595389897,325,1714,0.07956989247311828,0.1277330264672037,0.0980565371024735,869,1395,0.5435226808336738,0.5620114092541728,0.5526124441674457,4733,4894,0.2802469135802469,0.27128772034657905,0.27569454987095793,3347,3240,0.46703138496976676,0.6529790660225443,0.5445694141346316,2484,3473,0.44883949002942136,0.7162232655190401,0.5518488745980707,1917,3059,0.10444078947368421,0.5934579439252337,0.17762237762237762,214,1216,0.012510425354462052,0.625,0.024529844644317254,24,1199,1.449793815612793,0.9369354248046875,334641,82,1.2402101690828768,82,0.15150065606356805,0.14919959642722586,0.13713721806730897,0.10606194443726412,1.2087940420024097,0.00033508399792481214,1.4908583164215088,0.9377509951591492,334640,82,1.3398096426759816,82,0.14918305517057678,0.1577290129298714,0.15208170463577375,0.10000704752724165,1.2307769580074819,0.0003350409970153123,1.4510523080825806,0.9397767186164856,334638,82,1.2200530145415807,82,0.15079458045085506,0.14039113670544037,0.13926725906332413,0.1020718838536747,1.2251279170013731,0.0004275840037735179,1.5449459552764893,0.9096366763114929,334638,82,1.89813885846659,82,0.23529394557958627,0.23627279987200447,0.23594116472093565,0.1801425734355756,1.2060504999972181,0.0003598750045057386,1.432012677192688,0.9348810911178589,334634,82,1.288490251658084,82,0.1597987798514184,0.15188399981699424,0.1473785460073025,0.11109271612865486,1.2313608749973355,0.0003488340007606894,6.102110292005818,0.0018064180039800704,0.0005595830007223412,0.0023660010047024116,0.0012414170050760731,6.105717710015597,1.509073791996343,7.61479150201194,0.0574264569877414
6,0.10185158904235588,0.09272752177730331,0.08958990293526815,1.3969838619232178e-09,410,1.3338785278324163,0.963624903079695,0.4962411581935928,0.31116105438364966,0.4962411581935928,0.3284611131231858,0.9690166473011961,0.3569194568005,0.018633540372670808,0.028768699654775604,0.9999084846534668,0.9838098778915082,0.9917938582043117,344284,338741,0.1424517593643587,0.7275362318840579,0.23825344091124823,345,1762,0.07655502392344497,0.04923076923076923,0.0599250936329588,325,209,0.16233766233766234,0.028768699654775604,0.04887585532746823,869,154,0.5452738116754021,0.6374392562856539,0.5877654393142412,4733,5533,0.2908578584846587,0.2775619958171497,0.28405442592875707,3347,3194,0.46601382488479265,0.6513687600644122,0.5433176628609805,2484,3472,0.3405889884763124,0.4162754303599374,0.37464788732394366,1917,2343,0.07816537467700259,0.5654205607476636,0.1373439273552781,214,1548,0.009457755359394703,0.625,0.018633540372670808,24,1586,1.40253484249115,0.942693829536438,334641,82,1.1064707375607643,82,0.14919959642722586,0.13542853456629098,0.12969296291993251,0.11952272399030905,1.249152292002691,0.0003335000074002892,1.423438549041748,0.944133996963501,334640,82,1.234822394002216,82,0.1577290129298714,0.12760759278378067,0.15076527944705712,0.12268543005814343,1.208715625005425,0.00034995799069292843,1.3833667039871216,0.942762017250061,334638,82,1.1297391931672498,82,0.14039113670544037,0.13871343845924708,0.12833939234672684,0.11465480607116112,1.2339793339924654,0.0003817079996224493,1.472197413444519,0.925911009311676,334638,82,1.916739190595839,82,0.23627279987200447,0.2575628544458707,0.2372557947581098,0.19370079137251733,1.2097902079985943,0.0003468329960014671,1.4080390930175781,0.9353891015052795,334634,82,1.2499344336368292,82,0.15188399981699424,0.1464135449996599,0.1502247807929668,0.11777249748071214,1.2104056660027709,0.00034749999758787453,6.1120431250019465,0.0017594989913050085,0.0005581250006798655,0.002317623991984874,0.0013103340024827048,6.115671082996414,1.5575424580019899,7.673213540998404,0.05720858401036821
7,0.09272752177730331,0.0785580219570367,0.08531681124461436,1.3969838619232178e-09,410,1.3054046627193525,0.9661043894439145,0.5333147470007765,0.33186704829941804,0.5333147470007765,0.3631340595484777,0.9705857706931157,0.37555572149326183,0.027985074626865673,0.020713463751438434,0.9999114344083228,0.9837866412612842,0.9917835014113872,344284,338732,0.1452643811737362,0.7246376811594203,0.2420135527589545,345,1721,0.07592190889370933,0.1076923076923077,0.089058524173028,325,461,0.1565217391304348,0.020713463751438434,0.036585365853658534,869,115,0.5488080737776231,0.6663849566870906,0.6019083969465648,4733,5747,0.3297232250300842,0.3274574245593068,0.32858641882776196,3347,3324,0.4672601952900632,0.6549919484702094,0.5454240697284612,2484,3482,0.43732238711714555,0.7224830464267084,0.544846577498033,1917,3167,0.1436241610738255,0.5,0.22314911366006257,214,745,0.01431297709923664,0.625,0.027985074626865673,24,1048,1.3755813837051392,0.9468564987182617,334641,82,1.0859049048287441,82,0.13542853456629098,0.14182212747748604,0.1267517269464187,0.11251761562602543,1.2753026249993127,0.0003437500126892701,1.3770049810409546,0.9448332786560059,334640,82,1.246824245851014,82,0.12760759278378067,0.14872826005276588,0.1469622107588837,0.11307654519373236,1.2901100000017323,0.00037391699152067304,1.3577386140823364,0.9466109871864319,334638,82,1.0652474289885656,82,0.13871343845924708,0.1431018068766254,0.12476888930802624,0.11261956830835476,1.2611946249962784,0.0003835420066025108,1.4104053974151611,0.9495694041252136,334638,82,1.6935510966830747,82,0.2575628544458707,0.16966131215760594,0.23111093092706922,0.2124314723923648,1.290514708001865,0.0003970409889006987,1.37807035446167,0.9401495456695557,334634,82,1.2788413322346606,82,0.1464135449996599,0.16585972229032458,0.15298600605701823,0.12406751337482344,1.3040737909905147,0.0003600000054575503,6.421195748989703,0.001858250005170703,0.0006302919937297702,0.002488541998900473,0.0012376669910736382,6.424921957979677,1.5924341250065481,8.017356082986225,0.06073562600067817
8,0.0785580219570367,0.07356209933782237,0.07425714770612496,1.3969838619232178e-09,410,1.2951281987870822,0.9649999163277942,0.5187791741133717,0.3304696780178443,0.5187791741133717,0.33998245152290524,0.970181653354453,0.3841458880841736,0.03694581280788178,0.020713463751438434,0.9999114432971432,0.9838853969397358,0.9918336871385697,344284,338766,0.1291866028708134,0.0782608695652174,0.09747292418772563,345,209,0.11478072550081213,0.6523076923076923,0.19521178637200737,325,1847,0.21686746987951808,0.020713463751438434,0.037815126050420166,869,83,0.5619115295789661,0.6682864990492288,0.6104999034935341,4733,5629,0.37113711371137115,0.3695847027188527,0.37035928143712576,3347,3333,0.46889400921658986,0.6553945249597424,0.5466756212222968,2484,3472,0.3509384548232213,0.4194053208137715,0.3821292775665399,1917,2291,0.07203389830508475,0.7149532710280374,0.13088109495295125,214,2124,0.01903553299492386,0.625,0.03694581280788178,24,788,1.3628290891647339,0.9498656988143921,334641,82,1.082633691165906,82,0.14182212747748604,0.14919678302484474,0.12999051812501755,0.12319708653667684,1.2739638750063023,0.0003712499892571941,1.3673280477523804,0.9502420425415039,334640,82,1.147333795727235,82,0.14872826005276588,0.12217122594675883,0.14373626267778764,0.1245589344847384,1.277852792001795,0.0003920839953934774,1.3382598161697388,0.949784517288208,334638,82,1.0604506895977428,82,0.1431018068766254,0.1407544863720599,0.12523413210563134,0.11920666449136098,1.3254977079923265,0.00038258299173321575,1.3567801713943481,0.9514042139053345,334638,82,1.294867740624403,82,0.16966131215760594,0.16279982438945415,0.15701266938418934,0.15353310148239677,1.2674598329904256,0.0004493750020628795,1.3695647716522217,0.9465386271476746,334634,82,1.3464735395824443,82,0.16585972229032458,0.17252125182369724,0.16808204578847458,0.14026478252126043,1.3022242919978453,0.0003803750005317852,6.446998499988695,0.001975666978978552,0.0005792080046376213,0.0025548749836161733,0.0011973329965258017,6.450750707968837,1.5921598330023699,8.042910540971207,0.057338458034791984
9,0.07356209933782237,0.07479262826808293,0.07723614777047182,1.5133991837501526e-09,410,1.2629049901304834,0.965013861695422,0.5083229624842591,0.3279258039955205,0.5083229624842591,0.34047988823692005,0.9702561721822363,0.40882858474882716,0.027906976744186046,0.028768699654775604,0.9999173336561257,0.9837314542645026,0.9917583584067233,344284,338711,0.14864864864864866,0.03188405797101449,0.05250596658711217,345,74,0.116551357104843,0.6738461538461539,0.1987295825771325,325,1879,0.13736263736263737,0.028768699654775604,0.047573739295908656,869,182,0.5742873324523315,0.6427213184027044,0.606580259222333,4733,5297,0.3317219152854512,0.43053480729011057,0.374723703029515,3347,4344,0.467378752886836,0.6517713365539453,0.5443846671149967,2484,3464,0.4068725099601594,0.42618675013041213,0.41630573248407643,1917,2008,0.08224543080939947,0.5887850467289719,0.14432989690721648,214,1532,0.014272121788772598,0.625,0.027906976744186046,24,1051,1.3319717645645142,0.9518110156059265,334641,82,0.9611136836590427,82,0.14919678302484474,0.1296838104800373,0.11776009962876334,0.1315396601561129,1.3194339170004241,0.00036912500218022615,1.3565521240234375,0.9500716924667358,334640,82,1.351401315596319,82,0.12217122594675883,0.17117708786069893,0.16434284968402604,0.10541305755550295,1.3043171249883017,0.0003761670086532831,1.2990424633026123,0.9518285393714905,334638,82,1.0081852091579708,82,0.1407544863720599,0.13238205834148786,0.11891722531887733,0.12110529929121747,1.3026670839899452,0.00040412499220110476,1.3331339359283447,0.9529610872268677,334638,82,1.2624990541871672,82,0.16279982438945415,0.179774174233908,0.15655235649683288,0.1430555802230685,1.2628184589993907,0.00044816698937211186,1.3388973474502563,0.9506774544715881,334634,82,1.4750564682143357,82,0.17252125182369724,0.1814880389535409,0.18549929011797614,0.15053818331279148,1.215559292002581,0.00034899999445769936,6.404795876980643,0.0019465839868644252,0.0005817500059492886,0.002528333992813714,0.0012459159916033968,6.40857012696506,1.5233260420063743,7.931896168971434,0.06154928902105894
10,0.07479262826808293,0.07776061708833225,0.08071211357280463,1.3969838619232178e-09,410,1.2604001852525197,0.9662884682966012,0.541626190526581,0.3432316103038889,0.541626190526581,0.3816240479022325,0.9716951646425346,0.4148487890623375,0.020435967302452316,0.08400460299194476,0.9999114422514922,0.9838737786246239,0.9918277831946897,344284,338762,0.13561964146531566,0.5043478260869565,0.21375921375921375,345,1283,0.1109865470852018,0.3046153846153846,0.16269515201314708,325,892,0.10610465116279069,0.08400460299194476,0.09377007064868337,869,688,0.6332029552368535,0.6156771603634059,0.6243170862346009,4733,4602,0.3774703557312253,0.3994622049596654,0.38815502975758454,3347,3542,0.46844238563983787,0.6513687600644122,0.5449646345570899,2484,3454,0.44805194805194803,0.7198748043818466,0.5523313988393036,1917,3080,0.1421383647798742,0.5280373831775701,0.22398414271555997,214,795,0.01038781163434903,0.625,0.020435967302452316,24,1444,1.3068770170211792,0.955459713935852,334641,82,0.9632983344394981,82,0.1296838104800373,0.14195078507166967,0.10591020063275527,0.12377658711179271,1.2713145830057329,0.00034058399614878,1.3254549503326416,0.9542672634124756,334640,82,1.314653224570454,82,0.17117708786069893,0.14016533522164842,0.17039501786046263,0.1454077001115875,1.232244750004611,0.00043391699728090316,1.3104195594787598,0.9536185264587402,334638,82,1.0806053402829414,82,0.13238205834148786,0.14125036685894182,0.12644664896474628,0.12545802518680016,1.2091826660034712,0.0003492499963613227,1.328208088874817,0.9534900188446045,334638,82,1.7354889153811623,82,0.179774174233908,0.26618076869143753,0.21050038543386346,0.15637879474439645,1.234675708998111,0.000450999999884516,1.3360729217529297,0.9525123238563538,334634,82,1.3946467534250793,82,0.1814880389535409,0.1644726265719663,0.1799414307501162,0.15579899806855207,1.1996877499914262,0.0003839999990304932,6.147105458003352,0.001958750988706015,0.0005995410028845072,0.0025582919915905222,0.001221041995449923,6.150884791990393,1.5257098330039298,7.676594624994323,0.05622620701615233
