round,val_loss,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,macro_pr_auc,worst_class_f1,worst_class_recall,precision_c0,recall_c0,f1_c0,support_c0,predicted_count_c0,precision_c1,recall_c1,f1_c1,support_c1,predicted_count_c1,precision_c2,recall_c2,f1_c2,support_c2,predicted_count_c2,precision_c3,recall_c3,f1_c3,support_c3,predicted_count_c3,precision_c4,recall_c4,f1_c4,support_c4,predicted_count_c4,precision_c5,recall_c5,f1_c5,support_c5,predicted_count_c5,precision_c6,recall_c6,f1_c6,support_c6,predicted_count_c6,train_loss_client_0,train_accuracy_client_0,train_samples_client_0,train_batches_client_0,update_l2_client_0,train_seconds_client_0,train_loss_client_1,train_accuracy_client_1,train_samples_client_1,train_batches_client_1,update_l2_client_1,train_seconds_client_1,train_loss_client_2,train_accuracy_client_2,train_samples_client_2,train_batches_client_2,update_l2_client_2,train_seconds_client_2,train_loss_client_3,train_accuracy_client_3,train_samples_client_3,train_batches_client_3,update_l2_client_3,train_seconds_client_3,train_loss_client_4,train_accuracy_client_4,train_samples_client_4,train_batches_client_4,update_l2_client_4,train_seconds_client_4,round_train_seconds,aggregation_seconds,fl_round_seconds,validation_seconds,round_total_seconds,round_orchestration_seconds
1,0.6191045418017611,0.8104179169341486,0.6541155508794867,0.5062876052963512,0.6541155508794867,0.5187820020123429,0.8763129240480223,0.7072287699726137,0.0,0.0,0.9857766299285898,0.8012126628288386,0.8839635713774098,2495335,2028141,0.12527695904055292,0.9962819269317814,0.22256730647695058,6186,49195,0.6267496111975117,0.9998897281799636,0.7705217539089055,18137,28935,0.8350199227118915,0.999889709408267,0.9100478990954818,208540,249715,0.9705840149232314,0.7453443526170799,0.8431812515582149,72600,55752,0.0,0.0,0.0,19740,377977,0.0006060992726808728,0.03619047619047619,0.0011922316694380824,525,31348,0.5732110142707825,0.3975169360637665,2651004,648,5.402306975145047,2.023195648973342,0.5723044276237488,0.39596015214920044,2651004,648,5.411499249233566,2.0086331120110117,0.5704459547996521,0.3961034417152405,2651002,648,5.324319511070248,2.0142033800366335,0.5765554904937744,0.40086063742637634,2651001,648,5.319084756830517,2.0087317670113407,0.5722452402114868,0.40645793080329895,2651000,648,5.315497799348829,2.004660105041694,10.059424013074022,0.0013605970307253301,10.060784610104747,4.0954449330456555,14.156229543150403,0.01454801089130342
2,0.6223117629169794,0.6667500867580767,0.631284637908591,0.4409603380939314,0.631284637908591,0.45170471225234854,0.7483646989134641,0.7070532577271901,0.0,0.0,0.98229835981112,0.6387499073270723,0.7741200543085363,2495335,1622618,0.15516980751788773,0.995635305528613,0.26849470334365055,6186,39692,0.6374340949033392,0.9998897281799636,0.7785433704681564,18137,28450,0.3236357710454433,0.9999280713532176,0.4890017118870624,208540,644320,0.9874676673102846,0.746694214876033,0.8503662802553765,72600,54898,0.0,0.0,0.0,19740,403178,0.0007166660694449421,0.0380952380952381,0.0014068655036578502,525,27907,0.4071250855922699,0.44165870547294617,2651004,648,1.7200210780502432,2.0353443099884316,0.4082503020763397,0.4444350004196167,2651004,648,1.7872599553940698,2.022800786944572,0.4061037003993988,0.4452682435512543,2651002,648,1.7439022950630092,2.0173284630291164,0.4090074896812439,0.4431484639644623,2651001,648,1.8178796988280248,2.1878241800004616,0.4048937261104584,0.4419090747833252,2651000,648,1.7432029642310953,2.024796027049888,10.28809376701247,0.001835128990933299,10.289928896003403,4.375815723033156,14.665744619036559,0.014385201968252659
3,0.6256559977782268,0.694010378357378,0.6515885241474256,0.44635016385579357,0.6515885241474256,0.46803651817931174,0.7704311482568347,0.6236955731355176,0.0,0.0,0.9875843491656091,0.6664499956919612,0.7958427070068419,2495335,1683923,0.15616438356164383,0.9951503394762367,0.26996447835811077,6186,39420,0.6493948291914345,0.9998897281799636,0.7873998654017325,18137,27926,0.3358795349181854,0.9998657331926729,0.5028420395160454,208540,620794,0.9948655413644824,0.8540495867768595,0.9190951943316237,72600,62324,0.0,0.0,0.0,19740,344010,0.0005625087891998312,0.045714285714285714,0.0011113426408279504,525,42666,0.3868277966976166,0.43905213475227356,2651004,648,1.3489993366976,2.023270398960449,0.38116711378097534,0.437185674905777,2651004,648,1.2513036812040372,2.010949535993859,0.38595521450042725,0.4436488449573517,2651002,648,1.4676656594620023,2.002969258988742,0.3866858184337616,0.43861809372901917,2651001,648,1.3607291107102406,2.0121392509900033,0.3821975290775299,0.4408317506313324,2651000,648,1.2660848466877779,2.0083646079874597,10.057693052920513,0.0015118320006877184,10.0592048849212,4.1873685309547,14.2465734158759,0.012161824095528573
4,0.619985389224812,0.6809819560924375,0.6495084149255812,0.44702131767507736,0.6495084149255812,0.46706043868288216,0.7610215217624509,0.621925369886542,0.0,0.0,0.9873113242484843,0.6517112932732478,0.7851532164482424,2495335,1647138,0.15649786455155582,0.9951503394762367,0.2704626334519573,6186,39336,0.651822298900151,0.9998897281799636,0.7891816619160557,18137,27822,0.3360178797883946,0.9999472523256929,0.5030073727972366,208540,620589,0.9966249337040549,0.8541460055096419,0.9199012023349478,72600,62221,0.0,0.0,0.0,19740,396526,0.0008749225329007327,0.045714285714285714,0.0017169838317355845,525,27431,0.37359923124313354,0.4416009783744812,2651004,648,0.9746999012925465,2.0117406619829126,0.3725665807723999,0.4396866261959076,2651004,648,1.0514083262173748,2.00538162200246,0.3687121272087097,0.4443274736404419,2651002,648,0.9987093190659642,2.0012423830339685,0.37524211406707764,0.4415203928947449,2651001,648,1.1290625753535983,2.0100431610480882,0.3701843023300171,0.4443228840827942,2651000,648,1.1153564041887518,1.995485994964838,10.023893823032267,0.0012499589938670397,10.025143782026134,4.20304784696782,14.228191628993955,0.014616289001423866
5,0.6205219426475479,0.5794712844059137,0.6631777363797532,0.468321263448142,0.6631777363797532,0.4706873636541836,0.7022417891946365,0.6214842316165357,0.0,0.0,0.9863656154104632,0.6046506781654567,0.7497178258766404,2495335,1529662,0.5513658755038066,0.9951503394762367,0.7095844619906634,6186,11165,0.654574986464537,0.9998897281799636,0.7911958466035514,18137,27705,0.08656514923417842,0.18694734823055528,0.11833554406850143,208540,450366,0.996790602885248,0.8556060606060606,0.920817984390403,72600,62317,0.0,0.0,0.0,19740,536880,0.00258661463876079,1.0,0.005159882649526028,525,202968,0.3640502989292145,0.4405466616153717,2651004,648,0.9063804900937473,2.0089353999937885,0.36955443024635315,0.4399823546409607,2651004,648,1.031922145731992,1.9880040140124038,0.3636501431465149,0.44201624393463135,2651002,648,0.92136477867289,1.9995587089797482,0.3682388365268707,0.4360443353652954,2651001,648,1.096187030808992,1.9976952060242184,0.3619643449783325,0.4447457492351532,2651000,648,1.0055640229134584,2.1690744240186177,10.163267753028776,0.0014067429583519697,10.164674495987128,4.227959902957082,14.39263439894421,0.011583829938899726
6,0.653080321533988,0.6900363444559728,0.6510000014849059,0.5037093146700508,0.6510000014849059,0.5310362817724205,0.768619775065176,0.6203877152543992,0.0,0.0,0.9875132200479598,0.6619403807504805,0.7925956529583607,2495335,1672649,0.5514646600376243,0.9951503394762367,0.709666263185198,6186,11163,0.6531369300583447,0.9998897281799636,0.7901444350042481,18137,27766,0.3365253806492218,0.9999664332981683,0.5035782203681456,208540,619665,0.9967057689217419,0.8543388429752066,0.9200474671808945,72600,62230,0.0,0.0,0.0,19740,388833,0.0006192429754624971,0.045714285714285714,0.0012219337100962272,525,38757,0.35780876874923706,0.44036710262298584,2651004,648,0.7753311610061424,2.014590907958336,0.3595118522644043,0.4439763128757477,2651004,648,0.8126246165917164,1.9965150990174152,0.35964950919151306,0.4443199038505554,2651002,648,0.9348441154374701,1.994535789010115,0.3605116009712219,0.43803641200065613,2651001,648,0.9445865086878623,2.009093417029362,0.356911838054657,0.44491663575172424,2651000,648,1.0423096038819784,1.992444219009485,10.007179432024714,0.013228359981440008,10.020407792006154,4.263233110948931,14.283640902955085,0.01097246096469462
7,0.6497166619881677,0.7100376701973689,0.6535905792111467,0.5038413342197006,0.6535905792111467,0.5333929468903665,0.782457393809843,0.6190386969417473,0.0,0.0,0.9879200872650212,0.6845173092991522,0.8086980132428383,2495335,1728986,0.5536469106934077,0.9951503394762367,0.7114706732158336,6186,11119,0.6554266507643933,0.9998897281799636,0.7918176658079727,18137,27669,0.3311960992964122,0.9999568428119305,0.4975864084851522,208540,629630,0.9969986357435198,0.8556198347107438,0.9209147177643527,72600,62305,0.0,0.0,0.0,19740,349008,0.001700955775149846,0.04,0.003263149716416751,525,12346,0.35861411690711975,0.4386866092681885,2651004,648,0.998945358074093,1.9988147100084461,0.35757797956466675,0.4403531551361084,2651004,648,0.834832510775472,1.947491210012231,0.35493072867393494,0.4403180181980133,2651002,648,0.8088839601591499,1.794444305007346,0.35779526829719543,0.4390352964401245,2651001,648,0.9492434074835395,1.7833639020100236,0.35379552841186523,0.4359830319881439,2651000,648,0.8669915701519564,1.7842897819937207,9.308403909031767,0.0012456009862944484,9.309649510018062,4.164698588021565,13.474348098039627,0.01173027401091531
8,0.6181359705924571,0.6403766948841625,0.6431349873683138,0.5046786302055952,0.6431349873683138,0.5263338997148764,0.7318341697371668,0.6145602266368033,0.0,0.0,0.9869873183650603,0.6057611503064719,0.7507507746146421,2495335,1531506,0.5722387504648568,0.9949886841254445,0.7265966237752332,6186,10756,0.6354684981428271,0.9998897281799636,0.7770755222281736,18137,28538,0.339495902293218,0.9999712285412871,0.506897297717754,208540,614246,0.9976231008897312,0.8556198347107438,0.9211810241276527,72600,62266,0.0,0.0,0.0,19740,548133,0.0009368412834725584,0.045714285714285714,0.0018360555406801056,525,25618,0.3522493839263916,0.4376640021800995,2651004,648,0.6723850207945473,1.7864838450332172,0.3564726412296295,0.43266475200653076,2651004,648,1.005752031144629,1.8059271840029396,0.35115110874176025,0.44184499979019165,2651002,648,0.9042682864611534,1.9694288670434617,0.3537827134132385,0.4371914565563202,2651001,648,0.7946506908754961,1.9707872199942358,0.35121721029281616,0.43915578722953796,2651000,648,0.8443832262003423,1.973996190004982,9.506623306078836,0.001305954996496439,9.507929261075333,4.217498293030076,13.725427554105408,0.010665582900401205
9,0.6326248554028604,0.5949636714954611,0.6656637302531578,0.4691050342360604,0.6656637302531578,0.4733371213727125,0.7143180361434319,0.6142537965894708,0.0,0.0,0.9873260020147135,0.6221621545804471,0.7633195313300885,2495335,1572432,0.5724516369047619,0.9949886841254445,0.7267682134844727,6186,10752,0.6356244085380813,0.9998897281799636,0.7771920802262793,18137,28531,0.08779584999459634,0.1869857101755059,0.11948814433937403,208540,444144,0.9978795180722891,0.8556198347107438,0.9212903225806451,72600,62250,0.0,0.0,0.0,19740,505424,0.0026578241279805598,1.0,0.005301557648128045,525,197530,0.348813533782959,0.43327847123146057,2651004,648,0.6730191113172102,2.1405606089974754,0.3555375039577484,0.4322505593299866,2651004,648,0.8672246168571268,1.9542978719691746,0.3477952778339386,0.4400502145290375,2651002,648,0.890592912516295,1.9641395069775172,0.35243648290634155,0.43568184971809387,2651001,648,0.7662599148534728,1.9558911159983836,0.34703508019447327,0.44275668263435364,2651000,648,0.8047783397295154,1.9972768709994853,10.012165974942036,0.0011866000131703913,10.013352574955206,4.372095452039503,14.385448026994709,0.009842766099609435
10,0.625648348950523,0.6546663438569078,0.645398647283683,0.504903232663833,0.645398647283683,0.5281931945538668,0.7427934811683835,0.6158551143811488,0.0,0.0,0.9873210430985286,0.6219156946862846,0.7631325310684233,2495335,1571817,0.5731184798807749,0.9946653734238603,0.727219004845763,6186,10736,0.6356466876971609,0.9998897281799636,0.7772087342233269,18137,28530,0.3395146046781207,0.9999856142706435,0.5069199925616309,208540,614221,0.9979276109692033,0.8556198347107438,0.9213108189281185,72600,62247,0.0,0.0,0.0,19740,503293,0.0007942023230417948,0.045714285714285714,0.00156128024980484,525,30219,0.34982627630233765,0.4320600628852844,2651004,648,0.7277726443285211,1.9753579089883715,0.3474234342575073,0.4353048801422119,2651004,648,0.6368394126496306,1.9529820890165865,0.34534701704978943,0.43496155738830566,2651002,648,0.9824129581994743,1.9539169760537334,0.348996639251709,0.43645626306533813,2651001,648,0.739581304708853,1.9431842360063456,0.34406378865242004,0.43718332052230835,2651000,648,0.6761176732394464,1.9449665049905889,9.770407715055626,0.0012126690126024187,9.771620384068228,4.225655312999152,13.99727569706738,0.011452513979747891
