round,val_loss,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,macro_pr_auc,worst_class_f1,worst_class_recall,precision_c0,recall_c0,f1_c0,support_c0,predicted_count_c0,precision_c1,recall_c1,f1_c1,support_c1,predicted_count_c1,precision_c2,recall_c2,f1_c2,support_c2,predicted_count_c2,precision_c3,recall_c3,f1_c3,support_c3,predicted_count_c3,precision_c4,recall_c4,f1_c4,support_c4,predicted_count_c4,precision_c5,recall_c5,f1_c5,support_c5,predicted_count_c5,precision_c6,recall_c6,f1_c6,support_c6,predicted_count_c6,train_loss_client_0,train_accuracy_client_0,train_samples_client_0,train_batches_client_0,update_l2_client_0,train_seconds_client_0,train_loss_client_1,train_accuracy_client_1,train_samples_client_1,train_batches_client_1,update_l2_client_1,train_seconds_client_1,train_loss_client_2,train_accuracy_client_2,train_samples_client_2,train_batches_client_2,update_l2_client_2,train_seconds_client_2,train_loss_client_3,train_accuracy_client_3,train_samples_client_3,train_batches_client_3,update_l2_client_3,train_seconds_client_3,train_loss_client_4,train_accuracy_client_4,train_samples_client_4,train_batches_client_4,update_l2_client_4,train_seconds_client_4,round_train_seconds,aggregation_seconds,fl_round_seconds,validation_seconds,round_total_seconds,round_orchestration_seconds
1,0.6816904800643607,0.9569718932189746,0.6772322287022325,0.5120841807658121,0.6772322287022325,0.5357741426557463,0.9601514888112597,0.7084957844557694,0.0,0.0,0.988161687907308,0.9672028004255941,0.9775699185701,2495335,2442409,0.12475988272166616,0.9974135143873262,0.2217789040455779,6186,49455,0.6308264922777237,0.9998897281799636,0.7735949664071665,18137,28748,0.86013259183496,0.9960487196700872,0.9231145271568973,208540,241493,0.9754972614586336,0.7457851239669422,0.845313183038781,72600,55504,0.0,0.0,0.0,19740,0,0.0052113491603937466,0.03428571428571429,0.009047499371701432,525,3454,0.7125304937362671,0.2271161824464798,1710957,418,4.544725162198175,1.2526307560037822,0.23255348205566406,0.9730591773986816,6736876,1645,6.65820419924731,5.533074208011385,0.4340656101703644,0.26334255933761597,1714983,419,4.606051627329847,1.25995169399539,0.7815879583358765,0.34906384348869324,2125124,519,5.017527286365538,1.5977179200272076,0.6323716044425964,0.32013264298439026,967071,237,3.85613116146148,0.6969947540201247,10.34036933205789,0.001484679989516735,10.341854012047406,3.9993182699545287,14.341172282001935,0.014561953954398632
2,0.7096571161559249,0.9628055098379582,0.6918495999925417,0.528176217222119,0.6918495999925417,0.5572414267029413,0.9669593220556636,0.7128466658319594,0.0,0.0,0.9910885226931901,0.9706704710990709,0.9807732410226467,2495335,2443927,0.1548615825601569,0.995635305528613,0.2680331614335139,6186,39771,0.6475166922555076,0.9998897281799636,0.7860176837725381,18137,28007,0.9064929305577294,0.9997938045458905,0.9508601189390347,208540,230004,0.9962707834611689,0.84267217630854,0.913056780615938,72600,61407,0.0,0.0,0.0,19740,1,0.0010030090270812437,0.03428571428571429,0.0019490011369173298,525,17946,0.4901374578475952,0.3512648344039917,1710957,418,1.5609554596174189,1.296488159976434,0.1556219607591629,0.9862102270126343,6736876,1645,3.3106803608317033,5.688873985956889,0.23819638788700104,0.40007567405700684,1714983,419,1.1678001412080181,1.2853097839979455,0.5800928473472595,0.4186023771762848,2125124,519,2.0368802027659294,1.6349641809938475,0.32187750935554504,0.44147223234176636,967071,237,0.9421168139695691,0.6947841299697757,10.600420240894891,0.0043761240085586905,10.60479636490345,3.978805494029075,14.583601858932525,0.014285655110143125
3,0.7096237608978512,0.975169289023322,0.6959042733361376,0.5930192629155595,0.6959042733361376,0.6263257709698616,0.9766970319118808,0.7079069278329361,0.0,0.0,0.9915378331428276,0.9844970715354853,0.9880049089564727,2495335,2477616,0.5465921192758253,0.995635305528613,0.7057408044001375,6186,11268,0.6510734544410138,0.9998897281799636,0.788632558544063,18137,27854,0.9637358972933919,0.997822959624053,0.9804832538590572,208540,215916,0.9973923541247485,0.8534848484848485,0.919844126925218,72600,62125,0.0,0.0,0.0,19740,138,0.0008031821311099213,0.04,0.0015747441040830864,525,26146,0.46624666452407837,0.3809260129928589,1710957,418,1.2947427102821414,1.2702942389878444,0.13823938369750977,0.9903811812400818,6736876,1645,1.72023507895954,5.582231481035706,0.2249516248703003,0.4056827425956726,1714983,419,1.1181696264886478,1.2770138750202022,0.5557156801223755,0.42333105206489563,2125124,519,1.665403813321847,1.6068136930116452,0.2961677014827728,0.47434160113334656,967071,237,0.7092510561225481,0.7152300600428134,10.451583348098211,0.001286596991121769,10.452869945089333,3.976009248988703,14.428879194078036,0.01303437288152054
4,0.7404075193642996,0.8326247942708122,0.6732212434506283,0.504127943362185,0.6732212434506283,0.5462813902854033,0.8626283321804499,0.7019944064224353,0.0,0.0,0.9899002555658956,0.8231544061218233,0.8988595591835877,2495335,2075003,0.550952849601861,0.9954736501778209,0.7093244255025053,6186,11177,0.6533487048312138,0.9998897281799636,0.7902993855405935,18137,27757,0.33667126291281446,0.9998849141651481,0.5037311900430735,208540,619346,0.9972018975637211,0.8541460055096419,0.9201469006195051,72600,62185,0.0,0.0,0.0,19740,5,0.0008206330597889801,0.04,0.0016082711085582998,525,25590,0.45031023025512695,0.394036203622818,1710957,418,1.0776287239739168,1.2799452939652838,0.13404317200183868,0.9917305707931519,6736876,1645,1.55625295867361,5.593840465997346,0.21418818831443787,0.41126471757888794,1714983,419,0.8908719924960562,1.2378817819990218,0.5386607050895691,0.41890496015548706,2125124,519,1.4793911222680116,1.5826963520376012,0.2855813503265381,0.4817608892917633,967071,237,0.6512825232062367,0.6956763960188255,10.390040290018078,0.001195887045469135,10.391236177063547,4.087006198009476,14.478242375073023,0.011164840019773692
5,0.7762034620134887,0.8347002530606371,0.6738671665801322,0.5070520422967931,0.6738671665801322,0.5490121567309003,0.8641757443771236,0.707885987298584,0.0,0.0,0.989936120968393,0.8254871590387663,0.9002633877481538,2495335,2080808,0.5674530040545521,0.9954736501778209,0.7228547951637516,6186,10852,0.6536784053635151,0.9998897281799636,0.7905405405405406,18137,27743,0.3399059180972375,0.9999760237844059,0.5073548016660827,208540,613508,0.9975393225899836,0.8543388429752066,0.9204024395672884,72600,62178,0.0,0.0,0.0,19740,138,0.0008515250038705681,0.0419047619047619,0.0016691324304844277,525,25836,0.44016075134277344,0.399228036403656,1710957,418,0.9629878141129145,1.24577599496115,0.12971089780330658,0.9925705790519714,6736876,1645,1.4142852230415959,5.334676822996698,0.2095150351524353,0.4148769974708557,1714983,419,0.9190665143845278,1.1974308490171097,0.530181884765625,0.42530930042266846,2125124,519,1.1840956346969211,1.56171679898398,0.27883660793304443,0.4910590648651123,967071,237,0.6279513639354285,0.6883054060162976,10.027905871975236,0.013308047025930136,10.041213919001166,4.018729335977696,14.059943254978862,0.014019334048498422
6,0.6904072236327169,0.8344219891579876,0.6735015900996133,0.5035873466327715,0.6735015900996133,0.5461022811725242,0.8633831892826177,0.6196381621324782,0.0,0.0,0.9903499165285095,0.8251753772539558,0.9002489458929611,2495335,2079153,0.5694200351493849,0.9951503394762367,0.7243631229040419,6186,10811,0.6335371179039301,0.9998897281799636,0.7756297848680552,18137,28625,0.33151042950051907,0.9999568428119305,0.49794107498689666,208540,629033,0.998293927347057,0.8543388429752066,0.9207235157461906,72600,62131,0.0,0.0,0.0,19740,810,0.002,0.04,0.0038095238095238095,525,10500,0.4333341419696808,0.41240838170051575,1710957,418,0.9071640762022852,1.0871676090173423,0.12781202793121338,0.9934846758842468,6736876,1645,1.6048276231948233,5.38757511600852,0.20687580108642578,0.4167534112930298,1714983,419,0.9602054483920736,1.2197822600137442,0.5177428722381592,0.42089730501174927,2125124,519,1.2044960378978407,1.3946896829875186,0.27348196506500244,0.49945661425590515,967071,237,0.5843272707550995,0.6380165460286662,9.727231214055791,0.0009516989812254906,9.728182913037017,4.096003114013001,13.824186027050018,0.011660232965368778
7,0.7235457265473538,0.916509840439579,0.7167968933760028,0.5856778714490563,0.7167968933760028,0.534937928180944,0.927651771665786,0.62030877751093,0.0,0.0,0.9915575413102783,0.9856852887488052,0.9886126949700677,2495335,2480557,0.5748972730668659,0.9951503394762367,0.7287794483248491,6186,10708,0.655877034358047,0.9998897281799636,0.7921462423832092,18137,27650,0.8762671102020634,0.18694734823055528,0.30815196556943614,208540,44491,0.9984729879607156,0.8556198347107438,0.9215431746196583,72600,62213,0.0,0.0,0.0,19740,169,0.0026731532454231212,0.9942857142857143,0.00533197139938713,525,195275,0.43144991993904114,0.41489413380622864,1710957,418,0.8871615030241077,1.1231954210088588,0.12356191128492355,0.9944315552711487,6736876,1645,1.0748829054268365,4.845396320975851,0.20571894943714142,0.4169948101043701,1714983,419,0.9945301049908372,1.093111528956797,0.5117413997650146,0.42884132266044617,2125124,519,0.963985310025082,1.359345798031427,0.27140483260154724,0.4984949231147766,967071,237,0.5847284849428206,0.6668798240134493,9.087928892986383,0.0009943079785443842,9.088923200964928,4.001846019993536,13.090769220958464,0.012665560003370047
8,0.7215131628742265,0.8345247872876288,0.673915812541949,0.5087372882943239,0.673915812541949,0.5503571272068897,0.8640993877314226,0.618322036067461,0.0,0.0,0.9899337069637251,0.8252871858888686,0.9001434552163586,2495335,2080309,0.5762965736753417,0.9951503394762367,0.7299027744842305,6186,10682,0.6559244791666666,0.9998897281799636,0.7921808452549962,18137,27648,0.33964065690017287,0.999558837633068,0.507005597911151,208540,613731,0.9984890374847296,0.8556198347107438,0.9215500103848322,72600,62212,0.0,0.0,0.0,19740,1383,0.0008765638696310463,0.0419047619047619,0.0017172071966592515,525,25098,0.4289018511772156,0.4173266887664795,1710957,418,0.9644802635665205,1.0727625809959136,0.12301521748304367,0.9936845898628235,6736876,1645,1.20059478356854,4.983100184996147,0.20248514413833618,0.42080941796302795,1714983,419,0.8949853355453625,1.2291296649491414,0.5077246427536011,0.425749272108078,2125124,519,1.0364777806888075,1.5223246170207858,0.26864156126976013,0.5019931197166443,967071,237,0.589701646461775,0.6943110110005364,9.501628058962524,0.002209482016041875,9.503837540978566,4.032501505978871,13.536339046957437,0.011034935072530061
9,0.7348909276208635,0.8344507017390254,0.6746394945874397,0.5078121119085099,0.6746394945874397,0.5495341565787649,0.863367842871741,0.6894722544843026,0.0,0.0,0.9899676180905972,0.8251393099523712,0.9000695051582445,2495335,2079865,0.5766204571000375,0.9951503394762367,0.7301624955521291,6186,10676,0.6559719308399045,0.9998897281799636,0.7922154511499901,18137,27646,0.3313692774626178,0.9999712285412871,0.4977836128185236,208540,629310,0.9984426926967104,0.8566115702479339,0.9221051695122584,72600,62287,0.0,0.0,0.0,19740,902,0.0023128071697022263,0.045714285714285714,0.004402861860209136,525,10377,0.425103098154068,0.4219515919685364,1710957,418,0.8351160528589773,1.2238304269849323,0.12137451022863388,0.9942795634269714,6736876,1645,1.260329744169941,5.448713202029467,0.20116767287254333,0.42097675800323486,1714983,419,0.8688174441166603,1.2143561340053566,0.5064301490783691,0.4239856004714966,2125124,519,1.0785308491666148,1.5378606609883718,0.2665930986404419,0.5109955668449402,967071,237,0.6193713961847306,0.6892211870290339,10.113981611037161,0.005220188992097974,10.11920180002926,4.013555373996496,14.132757174025755,0.010705584951210767
10,0.7420909332815975,0.8349852520131595,0.6747220604022256,0.5090127824040447,0.6747220604022256,0.5507204897425815,0.8643837362924062,0.6188832846368827,0.0,0.0,0.9899744400349768,0.8257460421145858,0.9004331709534021,2495335,2081380,0.5779196395043185,0.9951503394762367,0.7312032307875045,6186,10652,0.6560431212241797,0.9998897281799636,0.7922673656618611,18137,27643,0.3397178683896277,0.9999424570825741,0.5071409723396002,208540,613827,0.9984747531508389,0.8566115702479339,0.9221188419764985,72600,62285,0.0,0.0,0.0,19740,267,0.0009596545243712263,0.045714285714285714,0.0018798464792041984,525,25009,0.4212643802165985,0.42876121401786804,1710957,418,0.8163932341240776,1.2163026310154237,0.12005052715539932,0.9949513673782349,6736876,1645,1.0270000801256154,5.486242002982181,0.19947361946105957,0.42360302805900574,1714983,419,0.8635812883671141,1.2186381900100969,0.49732881784439087,0.4282432198524475,2125124,519,0.852724395458525,1.401145505020395,0.2640537619590759,0.5105054378509521,967071,237,0.5856714701726311,0.6883404109976254,10.010668740025721,0.0011639469885267317,10.011832687014248,4.289819550001994,14.301652237016242,0.011185338953509927
