method,dataset,input_dim,mu,K,partition_seed,condition,training_seed,batch_size,lr,max_rounds,best_round,best_val_macro_f1,total_fl_seconds,total_validation_seconds,total_run_seconds
FedProx,nf_cse_cic_ids2018_v2,36,1e-05,5,42,iid,42,4096,0.1,40,38,0.6409252234394145,541.7367361013312,166.55210475384956,708.2888408551808
FedProx,nf_cse_cic_ids2018_v2,36,1e-05,5,42,alpha_0p1,42,4096,0.1,40,37,0.5757408859442316,591.2191659893142,162.77272349211853,753.9918894814327
FedProx,nf_cse_cic_ids2018_v2,36,1e-05,5,42,alpha_0p5,42,4096,0.1,40,40,0.7695068812197828,577.9836707170471,163.82748585694935,741.8111565739964
FedProx,nf_cse_cic_ids2018_v2,36,1e-05,5,42,alpha_1p0,42,4096,0.1,40,28,0.6413648807174755,569.2678338265396,165.6763526389841,734.9441864655237
FedProx,nf_cse_cic_ids2018_v2,36,1e-05,5,43,iid,42,4096,0.1,40,38,0.6416470304047996,565.6991938784486,166.82516066497192,732.5243545434205
FedProx,nf_cse_cic_ids2018_v2,36,1e-05,5,43,alpha_0p1,42,4096,0.1,40,38,0.4643340986027611,606.4302127393894,162.56804594915593,768.9982586885453
FedProx,nf_cse_cic_ids2018_v2,36,1e-05,5,43,alpha_0p5,42,4096,0.1,40,38,0.673037302981845,581.1683245576569,158.61738805909408,739.785712616751
FedProx,nf_cse_cic_ids2018_v2,36,1e-05,5,43,alpha_1p0,42,4096,0.1,40,3,0.6061615811290403,567.3622022877098,162.9630588411237,730.3252611288335
FedProx,nf_cse_cic_ids2018_v2,36,1e-05,5,44,iid,42,4096,0.1,40,38,0.6418847189562269,569.3333495343686,164.36258075584192,733.6959302902105
FedProx,nf_cse_cic_ids2018_v2,36,1e-05,5,44,alpha_0p1,42,4096,0.1,40,34,0.6646968741583607,587.1562255127938,158.8885071077966,746.0447326205904
FedProx,nf_cse_cic_ids2018_v2,36,1e-05,5,44,alpha_0p5,42,4096,0.1,40,29,0.681487431652035,597.9883710503927,158.82481744914548,756.8131884995382
FedProx,nf_cse_cic_ids2018_v2,36,1e-05,5,44,alpha_1p0,42,4096,0.1,40,37,0.6473214734388234,582.8909388963366,161.208821134991,744.0997600313276
