round,mu,round_task_loss,round_proximal_penalty,round_total_loss,round_weight_mass,val_loss,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,macro_pr_auc,worst_class_f1,worst_class_recall,precision_c0,recall_c0,f1_c0,support_c0,predicted_count_c0,precision_c1,recall_c1,f1_c1,support_c1,predicted_count_c1,precision_c2,recall_c2,f1_c2,support_c2,predicted_count_c2,precision_c3,recall_c3,f1_c3,support_c3,predicted_count_c3,precision_c4,recall_c4,f1_c4,support_c4,predicted_count_c4,precision_c5,recall_c5,f1_c5,support_c5,predicted_count_c5,precision_c6,recall_c6,f1_c6,support_c6,predicted_count_c6,train_loss_client_0,train_proximal_penalty_client_0,train_total_loss_client_0,train_weight_mass_client_0,train_accuracy_client_0,train_samples_client_0,train_batches_client_0,update_l2_client_0,train_seconds_client_0,train_loss_client_1,train_proximal_penalty_client_1,train_total_loss_client_1,train_weight_mass_client_1,train_accuracy_client_1,train_samples_client_1,train_batches_client_1,update_l2_client_1,train_seconds_client_1,train_loss_client_2,train_proximal_penalty_client_2,train_total_loss_client_2,train_weight_mass_client_2,train_accuracy_client_2,train_samples_client_2,train_batches_client_2,update_l2_client_2,train_seconds_client_2,train_loss_client_3,train_proximal_penalty_client_3,train_total_loss_client_3,train_weight_mass_client_3,train_accuracy_client_3,train_samples_client_3,train_batches_client_3,update_l2_client_3,train_seconds_client_3,train_loss_client_4,train_proximal_penalty_client_4,train_total_loss_client_4,train_weight_mass_client_4,train_accuracy_client_4,train_samples_client_4,train_batches_client_4,update_l2_client_4,train_seconds_client_4,round_train_seconds,aggregation_seconds,fl_round_seconds,validation_seconds,round_total_seconds,round_orchestration_seconds
1,1e-05,0.5142313332139916,8.182807517617932e-05,0.5143131749351584,13255005.9375,0.5808374994637783,0.7751620577066163,0.6793339313198992,0.5128477595554107,0.6793339313198992,0.44316206775763406,0.8466756471598753,0.7123941371519571,0.0,0.0,0.9862127971934641,0.8291612148268669,0.9008935851061166,2495335,2097960,0.15423855963990998,0.997090203685742,0.26715176715176714,6186,39990,0.642879931936616,0.9998897281799636,0.7825918094333923,18137,28209,0.8366322772405178,0.18626642370768198,0.3046958649875083,208540,46429,0.9673870263694586,0.7448347107438017,0.841647340814643,72600,55898,0.0,0.0,0.0,19740,349769,0.0025837245079089583,0.9980952380952381,0.005154106810011164,525,202808,0.5672504901885986,7.622979319421574e-05,0.567326545715332,3221475.5,0.42325839400291443,2309783,564,4.965233040951179,2.483561661967542,0.4792170524597168,6.613652658415958e-05,0.4792833626270294,2927115.25,0.2341212034225464,1701311,416,4.5811712379892935,1.8112776880152524,0.46543005108833313,6.368984759319574e-05,0.46549370884895325,1986434.875,0.41011562943458557,1771654,433,4.506254186310854,1.8705527859856375,0.7325350046157837,7.315479888347909e-05,0.7326081395149231,1006613.8125,0.8849883675575256,1703271,416,5.051415588715766,1.7916998519795015,0.46776917576789856,0.000108260617707856,0.46787750720977783,4113366.5,0.41801774501800537,5768992,1409,5.685281194981165,6.542331681004725,14.499423668952659,0.0012902439921163023,14.500713912944775,4.027146299020387,18.527860211965162,0.012357389030512422
2,1e-05,0.35865345637925505,1.005814140698557e-05,0.35866337951351135,13255010.625,0.5941349480863997,0.7712808965981972,0.6796643536685761,0.5227316903400518,0.6796643536685761,0.44663045303232307,0.8449933155695708,0.7129443122029367,0.0,0.0,0.9865736535526872,0.8244015332610651,0.8982263684073906,2495335,2085154,0.15588294856217091,0.9954736501778209,0.269555701466404,6186,39504,0.6490694345025053,0.9998897281799636,0.7871606224363565,18137,27940,0.8720823336846117,0.18650618586362328,0.30729362129106935,208540,44599,0.9929904431557458,0.7570936639118457,0.8591435917876095,72600,55353,0.0,0.0,0.0,19740,361618,0.0025230189226419196,0.9942857142857143,0.005033265837431299,525,206895,0.39568546414375305,8.127271030389238e-06,0.39569342136383057,3221475.5,0.5095106363296509,2309783,564,1.9061918733481844,2.473714229010511,0.2786879241466522,3.663406232590205e-06,0.27869126200675964,2927116.5,0.3752288520336151,1701311,416,1.2647357387676992,1.8061824750038795,0.2741551101207733,6.644891072937753e-06,0.2741618752479553,1986434.5,0.4859018623828888,1771654,433,1.6303585179961526,1.859610085026361,0.49809831380844116,7.471125172742177e-06,0.4981057941913605,1006613.625,0.9446271657943726,1703271,416,1.7856398742256219,1.7868914169957861,0.39323678612709045,1.8402322893962264e-05,0.3932550549507141,4113370.5,0.4201839864253998,5768992,1409,2.771853939146262,6.523881644010544,14.450279850047082,0.001485391054302454,14.451765241101384,4.023068396025337,18.47483363712672,0.012353419966530055
3,1e-05,0.3350855104511946,5.177567105914405e-06,0.33509069952692133,13255009.875,0.5913483476866634,0.8391663000790837,0.6750273965620001,0.5774132378833148,0.6750273965620001,0.6061615811290403,0.8973077990462603,0.7137749197936696,0.0,0.0,0.98998695466711,0.8305526111724478,0.9032885257247858,2495335,2093469,0.5513658755038066,0.9951503394762367,0.7095844619906634,6186,11165,0.6509098740174437,0.9998897281799636,0.7885125440236532,18137,27861,0.8521803097797213,0.9999040951376235,0.9201509167530835,208540,244690,0.9965121512151215,0.8539807162534435,0.9197572988369334,72600,62216,0.0,0.0,0.0,19740,356062,0.0009375,0.045714285714285714,0.0018373205741626793,525,25600,0.3737203776836395,4.873362740909215e-06,0.3737250864505768,3221474.5,0.5170624256134033,2309783,564,1.3853307944020683,2.4544117889599875,0.2547576129436493,2.0226475498930085e-06,0.25475960969924927,2927114.5,0.3796854019165039,1701311,416,0.9065893935067273,1.7860636520199478,0.24847662448883057,3.1668346309743356e-06,0.24848005175590515,1986434.875,0.48989418148994446,1771654,433,1.0673046825115604,1.886253327014856,0.4638235867023468,5.510152277565794e-06,0.4638291299343109,1006613.75,0.9516372084617615,1703271,416,1.356937343582622,1.7770242969854735,0.37231072783470154,8.550518032279797e-06,0.3723193109035492,4113372.25,0.4147755801677704,5768992,1409,2.050668596624959,6.496128636004869,14.399881700985134,0.0013518400373868644,14.40123354102252,4.022475281963125,18.423708822985645,0.013575648015830666
4,1e-05,0.3234049768448391,3.934477865629134e-06,0.32340897533314644,13255009.375,0.5896217160823297,0.7400816642520922,0.688857665863063,0.5806793499829538,0.688857665863063,0.5189258025181739,0.8284320672300101,0.7104814599067655,0.0,0.0,0.9894491248062653,0.7856824835142375,0.8758706588795255,2495335,1981447,0.5687361419068736,0.9951503394762367,0.7238095238095238,6186,10824,0.6545986139185677,0.9998897281799636,0.7912131061713313,18137,27704,0.8522897620505457,0.19356957897765417,0.3154867273928012,208540,47363,0.9969976237878106,0.8553305785123967,0.9207467156964503,72600,62284,0.0,0.0,0.0,19740,497341,0.002684183410613086,0.9923809523809524,0.005353885677585099,525,194100,0.35412824153900146,2.4177224986488e-06,0.3541307747364044,3221477.75,0.5211619734764099,2309783,564,0.9998919521294396,2.4548366380040534,0.2451634705066681,1.1684870742101339e-06,0.2451646476984024,2927114.0,0.38338667154312134,1701311,416,0.6459469499009802,1.7939519730280153,0.23803739249706268,2.6780871849041432e-06,0.23803992569446564,1986434.625,0.49071940779685974,1771654,433,0.9294007634511803,1.8457647589966655,0.4522315263748169,3.974576429754961e-06,0.45223528146743774,1006613.75,0.9501066207885742,1703271,416,1.168729136291595,1.970420445955824,0.36472052335739136,7.687590368732344e-06,0.3647284507751465,4113369.25,0.40994927287101746,5768992,1409,1.7921797165726594,6.617344580008648,14.682318395993207,0.001734378980472684,14.68405277497368,4.024483465007506,18.708536239981186,0.0123880670289509
5,1e-05,0.3166291463429648,3.199394035806417e-06,0.316632484703155,13255010.6875,0.6016652374270238,0.7430181459967395,0.6893392612202447,0.5807344175542167,0.6893392612202447,0.5177592478857043,0.829906491746182,0.7098459672970413,0.0,0.0,0.989519077839554,0.7896202313517022,0.8783396321289394,2495335,1991237,0.5695253955037469,0.9951503394762367,0.7244483671668138,6186,10809,0.6527137921105672,0.9998897281799636,0.7898347161429411,18137,27784,0.853541890617116,0.18656852402416801,0.30620604982626526,208540,45583,0.9971537917283078,0.8541460055096419,0.9201264207496216,72600,62188,0.0,0.0,0.0,19740,488075,0.0026869750802253987,1.0,0.005359549185348524,525,195387,0.3512491285800934,2.481663614162244e-06,0.3512515127658844,3221474.25,0.5210866332054138,2309783,564,0.9751620753713585,2.444729497015942,0.23709657788276672,8.805813536127971e-07,0.2370973527431488,2927116.25,0.38737714290618896,1701311,416,0.5691367303038206,1.7834456419805065,0.232467383146286,2.418777739876532e-06,0.23246970772743225,1986434.875,0.49197810888290405,1771654,433,0.7567871324123352,1.8485185130266473,0.4390052855014801,4.333485776442103e-06,0.4390093684196472,1006613.8125,0.95327228307724,1703271,416,1.1771570013360408,1.7652579179848544,0.3568078875541687,5.511034487426514e-06,0.35681408643722534,4113371.5,0.4080028235912323,5768992,1409,1.6210919018240815,6.677457922021858,14.519409492029808,0.013676457980182022,14.53308595000999,4.055415384995285,18.588501335005276,0.011759595945477486
6,1e-05,0.3125190685590438,2.9216360509551857e-06,0.3125220603527447,13255008.1875,0.6033694203482435,0.594610967567899,0.6652191897239713,0.4718677675891783,0.6652191897239713,0.47539255373418754,0.7139384246554255,0.70793575791387,0.0,0.0,0.98674998965887,0.6213891120831472,0.7625655010290824,2495335,1571395,0.5729981378026071,0.9948270287746525,0.7271653078104691,6186,10740,0.6530193367181593,0.9998897281799636,0.7900583776248149,18137,27771,0.09000319200111495,0.1919967392346792,0.1225554865151928,208540,444862,0.9977955847332175,0.8541460055096419,0.9203995606613827,72600,62148,0.0,0.0,0.0,19740,496024,0.0025081322102794984,0.9942857142857143,0.005003642498370461,525,208123,0.34546419978141785,2.0333177417342085e-06,0.34546637535095215,3221474.25,0.5239449143409729,2309783,564,0.9370884019107572,2.4353017630055547,0.2342291623353958,7.491014457627898e-07,0.2342301458120346,2927115.25,0.3865571618080139,1701311,416,0.5109341989401096,1.7648749090149067,0.2313241958618164,2.6600228011375293e-06,0.23132671415805817,1986435.375,0.49239298701286316,1771654,433,0.9396524745705371,1.8348631749977358,0.43003594875335693,2.68330268227146e-06,0.4300382137298584,1006613.8125,0.9541077613830566,1703271,416,1.1073628543166187,1.7571043469943106,0.3528815805912018,5.348002559912857e-06,0.3528870642185211,4113369.5,0.40656548738479614,5768992,1409,1.7300902438670587,6.3666199399740435,14.158764133986551,0.0010715430253185332,14.15983567701187,4.154614758968819,18.31445043598069,0.014605823962483555
7,1e-05,0.3091639933112294,2.4972182062976056e-06,0.3091665701662365,13255014.3125,0.5968701006932182,0.7372118240535571,0.6883330300485172,0.5859851205879661,0.6883330300485172,0.5160955345741401,0.826583160171049,0.6254010965337493,0.0,0.0,0.9898852810727702,0.7830567839588672,0.8744068968449127,2495335,1973955,0.5738668158925574,0.9946653734238603,0.7278211497515968,6186,10722,0.6335149863760218,0.9998897281799636,0.775613198468875,18137,28626,0.9040803048610465,0.18657331926728685,0.3093140840143734,208540,43036,0.9980364701527369,0.8541460055096419,0.9205020299406975,72600,62133,0.0,0.0,0.0,19740,493593,0.0025119857606292883,1.0,0.005011382998525222,525,208998,0.3426791727542877,2.083554136333987e-06,0.34268125891685486,3221477.25,0.5236232280731201,2309783,564,0.9981788197640462,2.451882547000423,0.23233044147491455,6.736054274369963e-07,0.23233112692832947,2927115.0,0.38745060563087463,1701311,416,0.48116587979257314,1.7703395360149443,0.22932733595371246,1.9182930373062845e-06,0.22932925820350647,1986435.375,0.49155309796333313,1771654,433,0.7910630223708844,1.8305869400501251,0.42763838171958923,3.25625114783179e-06,0.4276418387889862,1006613.6875,0.9515432715415955,1703271,416,1.2019067086632036,1.7540391579968855,0.3471534252166748,4.212714884488378e-06,0.3471578359603882,4113373.0,0.4029289782047272,5768992,1409,1.3397503360125285,6.416073151980527,14.222921333042905,0.001541025994811207,14.224462359037716,4.032080248987768,18.256542608025484,0.012419516977388412
8,1e-05,0.3062914100186331,2.9803266162751596e-06,0.30629452912214533,13255010.5625,0.5990552698934156,0.589378897245471,0.6645790645860917,0.4691485568425839,0.6645790645860917,0.47257305763455326,0.7100617197535246,0.6225302233961018,0.0,0.0,0.9871972918459898,0.6158888485914716,0.7585416504714205,2495335,1556780,0.5752336448598131,0.9949886841254445,0.7290062773895535,6186,10700,0.6334928563943131,0.9998897281799636,0.7755966127790608,18137,28627,0.08771089108019879,0.18694734823055528,0.11940161372570338,208540,444483,0.9979566224739349,0.8543388429752066,0.9205800284967941,72600,62152,0.0,0.0,0.0,19740,503912,0.002448591243837712,1.0,0.0048852205793406345,525,214409,0.33818867802619934,1.8541842337072012e-06,0.33819061517715454,3221478.25,0.525462806224823,2309783,564,0.8212071527034494,2.4194516200223006,0.22776192426681519,6.595695936084667e-07,0.22776271402835846,2927113.75,0.38910403847694397,1701311,416,0.5197249008829147,1.7848383890232071,0.2250748872756958,2.206106955782161e-06,0.22507698833942413,1986433.875,0.49188554286956787,1771654,433,0.7482878070407798,1.8523556439904496,0.42545822262763977,5.350100764189847e-06,0.42546379566192627,1006613.9375,0.9531437158584595,1703271,416,1.27513642026847,1.76023872703081,0.34725165367126465,5.307724677550141e-06,0.34725722670555115,4113370.75,0.3994614779949188,5768992,1409,1.4020051125591235,6.654863236006349,14.471747616073117,0.001701106026303023,14.47344872209942,4.11700887902407,18.59045760112349,0.012240780924912542
9,1e-05,0.30426392866021407,2.358200137260204e-06,0.304266161306766,13255008.9375,0.5808301527856429,0.5937308028923849,0.6654365571963096,0.4698625786629845,0.6654365571963096,0.47382062856915047,0.713396609097385,0.6230577256534696,0.0,0.0,0.9872835066724623,0.6207719604782524,0.7622596738791055,2495335,1568986,0.5772983114446529,0.9948270287746525,0.7306185444615932,6186,10660,0.6367849994732961,0.9998897281799636,0.7780590355242835,18137,28479,0.0879602367205673,0.18694734823055528,0.1196324430813041,208540,443223,0.9970946564150307,0.8556198347107438,0.9209556779516527,72600,62299,0.0,0.0,0.0,19740,506754,0.0026163399148817416,1.0,0.005219025086113914,525,200662,0.3347087502479553,1.598899757482286e-06,0.33471018075942993,3221474.25,0.5245614051818848,2309783,564,0.7322785981228795,2.4174500390072353,0.22784221172332764,6.298611197053106e-07,0.22784283757209778,2927115.0,0.38963478803634644,1701311,416,0.5550873974590057,1.7741489440086298,0.22462739050388336,2.153695277229417e-06,0.2246297001838684,1986435.5,0.4935370981693268,1771654,433,0.7243576113689003,1.8611182890017517,0.42831650376319885,6.525852768390905e-06,0.4283231496810913,1006613.4375,0.9500044584274292,1703271,416,1.7246066038880599,1.7647873440291733,0.3429032266139984,3.2616280805086717e-06,0.34290611743927,4113370.75,0.39813369512557983,5768992,1409,1.1713980204715595,6.474731762020383,14.292236378067173,0.001311645028181374,14.293548023095354,4.098136066982988,18.391684090078343,0.015644985949620605
10,1e-05,0.30162177496241466,2.142945020729091e-06,0.3016239604567639,13255010.25,0.5747611811590553,0.5948020302985081,0.6653167092866107,0.4725009842672769,0.6653167092866107,0.4757403169951604,0.7141702297748431,0.6244396060493986,0.0,0.0,0.9867582802865638,0.6220222935998573,0.7630445800942798,2495335,1572983,0.5782939904072228,0.9940187520206919,0.7311968606932636,6186,10633,0.6536548442906575,0.9998897281799636,0.7905233103027397,18137,27744,0.08802319228007749,0.18694734823055528,0.11969065739907836,208540,442906,0.9982617932499638,0.8543388429752066,0.9207098483667698,72600,62133,0.0,0.0,0.0,19740,495899,0.0025147893564534283,1.0,0.0050169621099909216,525,208765,0.33376458287239075,1.7178793996208697e-06,0.33376652002334595,3221476.75,0.5245981812477112,2309783,564,0.7574929369779722,2.4266902210074477,0.22586798667907715,5.680728918378009e-07,0.22586841881275177,2927115.25,0.3904177248477936,1701311,416,0.4474251251384079,1.7610741370008327,0.22199347615242004,2.277043222420616e-06,0.22199581563472748,1986436.125,0.49278131127357483,1771654,433,0.9294466545180841,1.8113389229984023,0.4206761419773102,1.99237933884433e-06,0.42067834734916687,1006613.375,0.9561461806297302,1703271,416,0.8333757505822238,1.4453904410474934,0.3396751582622528,3.5686268802237464e-06,0.33967870473861694,4113368.75,0.40088891983032227,5768992,1409,1.108019311486497,5.36160063103307,12.806094353087246,0.007538704958278686,12.813633058045525,4.102014144009445,16.91564720205497,0.01174579095095396
