round,mu,round_task_loss,round_proximal_penalty,round_total_loss,round_weight_mass,val_loss,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,macro_pr_auc,worst_class_f1,worst_class_recall,precision_c0,recall_c0,f1_c0,support_c0,predicted_count_c0,precision_c1,recall_c1,f1_c1,support_c1,predicted_count_c1,precision_c2,recall_c2,f1_c2,support_c2,predicted_count_c2,precision_c3,recall_c3,f1_c3,support_c3,predicted_count_c3,precision_c4,recall_c4,f1_c4,support_c4,predicted_count_c4,precision_c5,recall_c5,f1_c5,support_c5,predicted_count_c5,precision_c6,recall_c6,f1_c6,support_c6,predicted_count_c6,train_loss_client_0,train_proximal_penalty_client_0,train_total_loss_client_0,train_weight_mass_client_0,train_accuracy_client_0,train_samples_client_0,train_batches_client_0,update_l2_client_0,train_seconds_client_0,train_loss_client_1,train_proximal_penalty_client_1,train_total_loss_client_1,train_weight_mass_client_1,train_accuracy_client_1,train_samples_client_1,train_batches_client_1,update_l2_client_1,train_seconds_client_1,train_loss_client_2,train_proximal_penalty_client_2,train_total_loss_client_2,train_weight_mass_client_2,train_accuracy_client_2,train_samples_client_2,train_batches_client_2,update_l2_client_2,train_seconds_client_2,train_loss_client_3,train_proximal_penalty_client_3,train_total_loss_client_3,train_weight_mass_client_3,train_accuracy_client_3,train_samples_client_3,train_batches_client_3,update_l2_client_3,train_seconds_client_3,train_loss_client_4,train_proximal_penalty_client_4,train_total_loss_client_4,train_weight_mass_client_4,train_accuracy_client_4,train_samples_client_4,train_batches_client_4,update_l2_client_4,train_seconds_client_4,round_train_seconds,aggregation_seconds,fl_round_seconds,validation_seconds,round_total_seconds,round_orchestration_seconds
1,1e-05,0.5728779493850211,9.281346981247216e-05,0.5729707633544421,13255009.0,0.6193778266555083,0.8111102091658358,0.6542273595143994,0.5062020611132906,0.6542273595143994,0.5188247514918868,0.8767390661224639,0.7067613123482441,0.0,0.0,0.9857903131579129,0.8019953232732279,0.8844452095038946,2495335,2030094,0.12528459912180842,0.9962819269317814,0.2225793636462133,6186,49192,0.6267712725513237,0.9998897281799636,0.7705381232606063,18137,28934,0.8352005319212853,0.999889709408267,0.9101551502506542,208540,249661,0.9697664832703095,0.7453443526170799,0.8428726080421187,72600,55799,0.0,0.0,0.0,19740,375781,0.0006012277703942788,0.03619047619047619,0.0011828057397204844,525,31602,0.5734786987304688,9.210949792759493e-05,0.5735708475112915,2651473.5,0.397490531206131,2651004,648,5.398193222735306,2.9433104259660468,0.5720868110656738,9.342801058664918e-05,0.5721797943115234,2651475.25,0.39596545696258545,2651004,648,5.406031154877798,3.0936985239968635,0.5702108144760132,9.256968041881919e-05,0.5703035593032837,2650703.5,0.3961060643196106,2651002,648,5.326361590910513,3.0925367909949273,0.5764750838279724,9.321934339823201e-05,0.5765684247016907,2650681.25,0.4007757902145386,2651001,648,5.319749166546576,3.1031382409855723,0.5721383690834045,9.274084732169285e-05,0.5722312927246094,2650675.5,0.4061833322048187,2651000,648,5.318006475075785,2.934357213031035,15.167041194974445,0.0010223110439255834,15.16806350601837,4.0751139190397225,19.243177425058093,0.011567855020985007
2,1e-05,0.4071380072255684,6.956457817995415e-06,0.4071450800216145,13255012.5,0.6216617176411815,0.669548322742172,0.6317296341624915,0.4416460146217844,0.6317296341624915,0.45278962599336214,0.7507668594125577,0.7072181584180616,0.0,0.0,0.9823835556956606,0.6419170171540094,0.77646801622063,2495335,1630522,0.15523629489603025,0.995635305528613,0.2685942303918362,6186,39675,0.6386912728041135,0.9998897281799636,0.7794803464357095,18137,28394,0.3274877221748438,0.999889709408267,0.49338130296466043,208540,636717,0.9869999817926915,0.7466804407713499,0.850183888396603,72600,54923,0.0,0.0,0.0,19740,403180,0.0007232749891508751,0.0380952380952381,0.0014195975440962486,525,27652,0.4072805643081665,7.213645858428208e-06,0.40728822350502014,2651476.5,0.4414840638637543,2651004,648,1.7310159468746287,2.3874906770070083,0.4082912802696228,7.0862474785826635e-06,0.40829843282699585,2651476.0,0.4444912075996399,2651004,648,1.7837692421806393,2.377779018948786,0.4063105285167694,6.669964022876229e-06,0.4063173234462738,2650704.5,0.4445522725582123,2651002,648,1.7434614189689739,2.553286336013116,0.4088340997695923,6.825294804002624e-06,0.408841073513031,2650679.75,0.44267013669013977,2651001,648,1.814048972046524,2.3784124499652535,0.40497320890426636,6.987023880355991e-06,0.40497997403144836,2650675.75,0.44207581877708435,2651000,648,1.7517328426849699,2.543368240003474,12.240336721937638,0.0076849000179208815,12.248021621955559,4.116535677050706,16.364557299006265,0.014453707088250667
3,1e-05,0.3846889696449459,4.460939160574212e-06,0.38469328405183595,13255008.5,0.6273949818923978,0.6919597329091907,0.6512567069343352,0.44637979425442414,0.6512567069343352,0.4678175013764698,0.7689558317243719,0.6243529945611358,0.0,0.0,0.9875415564503298,0.6641320704434475,0.7941738704973362,2495335,1678139,0.156192119351483,0.9951503394762367,0.27000592118248207,6186,39413,0.6496972736717659,0.9998897281799636,0.7876221498371335,18137,27913,0.3358741368006817,0.999860937949554,0.5028353837565006,208540,620801,0.9948495788206979,0.8540495867768595,0.9190883824346859,72600,62325,0.0,0.0,0.0,19740,344843,0.0005038946860106238,0.045714285714285714,0.0009968019271503926,525,47629,0.3872220516204834,5.501818122866098e-06,0.3872273564338684,2651476.0,0.43941953778266907,2651004,648,1.381944785026624,3.127253031008877,0.3805190324783325,3.2349032608181005e-06,0.3805219829082489,2651473.75,0.4384799003601074,2651004,648,1.160099136507273,3.069136002974119,0.3862850069999695,5.077835794509156e-06,0.38629013299942017,2650704.5,0.4445522725582123,2651002,648,1.5061601467990282,2.649197096005082,0.386745423078537,4.267515578249004e-06,0.3867493271827698,2650678.5,0.4381442964076996,2651001,648,1.3630574624743672,2.8194675620179623,0.38267379999160767,4.222671577736037e-06,0.3826780915260315,2650675.75,0.4407276511192322,2651000,648,1.3031804602128092,2.9123408739687875,14.577394565974828,0.01355031004641205,14.59094487602124,4.157546454982366,18.748491331003606,0.012549109000246972
4,1e-05,0.37210547149026724,2.7852692041203015e-06,0.37210829589434063,13255008.5,0.6186793350678454,0.6801127801825056,0.649368038697826,0.44700161735442256,0.649368038697826,0.4669403324357115,0.7603831644894165,0.6224799279477505,0.0,0.0,0.9872924071828908,0.650728659678961,0.7844337021478877,2495335,1644686,0.15644218551461245,0.9951503394762367,0.2703794799718904,6186,39350,0.651822298900151,0.9998897281799636,0.7891816619160557,18137,27822,0.33600326127589364,0.9999472523256929,0.5029909932509684,208540,620616,0.9965768835176138,0.8541460055096419,0.9198807334005815,72600,62224,0.0,0.0,0.0,19740,398914,0.0008742850897963644,0.045714285714285714,0.0017157563625965113,525,27451,0.37361568212509155,2.4092034891509684e-06,0.37361791729927063,2651475.5,0.44196122884750366,2651004,648,0.9957258503431783,2.8876215899945237,0.3727853000164032,2.920473889389541e-06,0.372788667678833,2651476.5,0.4402433931827545,2651004,648,1.0821675873583494,2.883167179010343,0.36879268288612366,2.6796810743690003e-06,0.3687953054904938,2650704.25,0.4449453353881836,2651002,648,1.0015478092814514,2.8794832779676653,0.3751299977302551,3.0459987101494335e-06,0.3751331567764282,2650679.0,0.4418146014213562,2651001,648,1.1291757158068434,2.8859098429675214,0.3702031075954437,2.871062179110595e-06,0.370205819606781,2650673.25,0.4448823034763336,2651000,648,1.147658844377482,2.888658907962963,14.424840797903016,0.0010596010251902044,14.425900398928206,4.301201622001827,18.727102020930033,0.012531014101114124
5,1e-05,0.3653180930087137,2.324153687301443e-06,0.365320427031717,13255010.75,0.6197890547058159,0.5791107819995512,0.6629437493309552,0.4114340879930638,0.6629437493309552,0.40748213246672377,0.7009858426234162,0.621258497696319,0.0,0.0,0.9863580108010801,0.6042799864547245,0.7494306139230644,2495335,1528736,0.15639449214978915,0.9951503394762367,0.2703082462457188,6186,39362,0.6521035598705501,0.9998897281799636,0.7893877728687401,18137,27810,0.08656764804497805,0.18694734823055528,0.11833787883616916,208540,450353,0.9960335303186023,0.8543388429752066,0.9197609585384661,72600,62272,0.0,0.0,0.0,19740,509150,0.002581374766447045,1.0,0.005149456854907922,525,203380,0.36394619941711426,1.812492655517417e-06,0.36394789814949036,2651476.25,0.4405900537967682,2651004,648,0.9015960005142434,3.105246211984195,0.36931124329566956,2.7739827146433527e-06,0.3693141043186188,2651475.5,0.44013023376464844,2651004,648,1.0238259500580864,2.6871989679639228,0.3632524609565735,2.1411790385172935e-06,0.3632543981075287,2650702.0,0.4424900412559509,2651002,648,0.9154434575114874,2.889058079046663,0.36818554997444153,2.363684188821935e-06,0.3681880831718445,2650680.75,0.4362865090370178,2651001,648,1.1004093205309704,2.867432766011916,0.36189424991607666,2.5294500574091217e-06,0.3618968725204468,2650676.25,0.4449453055858612,2651000,648,1.001574277245993,2.406775853014551,13.955711878021248,0.001089826982934028,13.956801705004182,4.12537359399721,18.082175299001392,0.013913451984990388
6,1e-05,0.3589430973355588,1.9179816061633783e-06,0.35894502585135346,13255012.0,0.6491772000799719,0.6884415555412977,0.6507399240116578,0.44729286427792586,0.6507399240116578,0.4681105169463082,0.766507048320671,0.6209355535632384,0.0,0.0,0.9874795732288506,0.6601390194102195,0.7912921110155449,2495335,1668154,0.15645808976770192,0.9951503394762367,0.2704032328911535,6186,39346,0.653160453808752,0.9998897281799636,0.7901616487299028,18137,27765,0.3365602036188506,0.9999472523256929,0.503614774992785,208540,619589,0.9967698389740622,0.8543388429752066,0.9200747630279026,72600,62226,0.0,0.0,0.0,19740,365391,0.0006218905472636816,0.045714285714285714,0.0012270879668686248,525,38592,0.3577337861061096,1.6567983038839884e-06,0.35773539543151855,2651477.0,0.44048330187797546,2651004,648,0.8166417332405597,2.867527524009347,0.35982149839401245,2.0479942577367183e-06,0.3598235845565796,2651474.75,0.4450317621231079,2651004,648,0.8170370885610657,2.8573590780142695,0.3599222004413605,1.8503187675378285e-06,0.35992419719696045,2650703.0,0.44411545991897583,2651002,648,0.9433992868079806,2.872644478979055,0.36003175377845764,2.535287649152451e-06,0.36003440618515015,2650681.75,0.4387836754322052,2651001,648,0.9250560773050476,2.8511985830264166,0.3572063148021698,1.4995480341895018e-06,0.35720759630203247,2650675.5,0.4453338384628296,2651000,648,1.0956628927198546,3.045139024965465,14.493868688994553,0.001075631007552147,14.494944320002105,4.083814707992133,18.578759027994238,0.011846498004160821
7,1e-05,0.3567288425282214,2.0517812939340438e-06,0.3567308653482721,13255010.0,0.647479986927376,0.6742150033515735,0.6486243342456294,0.5036415546187457,0.6486243342456294,0.5291054621190744,0.7566288253997885,0.6194364766150295,0.0,0.0,0.9871701312103789,0.6440153326106515,0.7794977511698888,2495335,1627920,0.5533980582524272,0.9951503394762367,0.711265164644714,6186,11124,0.6553319119719583,0.9998897281799636,0.7917485265225933,18137,27673,0.3312093008481306,0.9999808190275247,0.4976042760332156,208540,629620,0.9969826340962347,0.8556198347107438,0.920907891420693,72600,62306,0.0,0.0,0.0,19740,445263,0.001398845952089526,0.045714285714285714,0.0027146250424160165,525,17157,0.3589380979537964,2.590539679658832e-06,0.3589407503604889,2651474.0,0.43908947706222534,2651004,648,1.0246827309167517,3.0637065719929524,0.35750913619995117,1.704130681901006e-06,0.35751092433929443,2651477.5,0.4409140646457672,2651004,648,0.8094064820835669,2.8662985539995134,0.3546960651874542,1.7481868326285621e-06,0.3546977639198303,2650702.75,0.4410192668437958,2651002,648,0.7961467025144654,2.863622196018696,0.35796529054641724,1.7489459196440293e-06,0.3579670786857605,2650680.75,0.4399379789829254,2651001,648,0.960374201844646,2.8354884249856696,0.35453474521636963,2.467050080667832e-06,0.35453692078590393,2650675.0,0.436160683631897,2651000,648,0.9298747919862886,2.9556742060231045,14.584789953019936,0.001277369970921427,14.586067322990857,4.12590064300457,18.711967965995427,0.012143597996328026
8,1e-05,0.35303734710850343,1.8601567325561516e-06,0.3530392143271878,13255008.75,0.6170408012178374,0.6403759859315442,0.6431348728689436,0.50466489175424,0.6431348728689436,0.5263272419177373,0.7318333627643495,0.6145338531075327,0.0,0.0,0.9869873013717235,0.6057603488108811,0.7507501541531708,2495335,1531504,0.5722387504648568,0.9949886841254445,0.7265966237752332,6186,10756,0.6354462314727215,0.9998897281799636,0.7770588739394978,18137,28539,0.33950474577926837,0.9999712285412871,0.5069071550980225,208540,614230,0.9975429975429976,0.8556198347107438,0.9211468736792936,72600,62271,0.0,0.0,0.0,19740,548073,0.0009342156481121058,0.045714285714285714,0.001831012778943353,525,25690,0.3522416055202484,1.1703003792717936e-06,0.35224273800849915,2651476.5,0.4387330114841461,2651004,648,0.6958710987966584,2.996078773983754,0.35657089948654175,3.1038282486406388e-06,0.35657402873039246,2651476.0,0.43386808037757874,2651004,648,1.0283302444085247,2.875440992997028,0.35104304552078247,2.0610741557902656e-06,0.35104504227638245,2650702.75,0.4421905279159546,2651002,648,0.858441830483284,2.7168546090251766,0.3540899157524109,1.5446521501871757e-06,0.35409149527549744,2650677.25,0.4383525252342224,2651001,648,0.7816464730903769,2.525001981004607,0.35124048590660095,1.4207599861038034e-06,0.35124194622039795,2650676.25,0.43919238448143005,2651000,648,0.8433751235430603,2.3362942920066416,13.449670649017207,0.013111827021930367,13.462782476039138,4.140447916986886,17.603230393026024,0.01171051396522671
9,1e-05,0.3502590793678301,1.5004236376689732e-06,0.35026046563595964,13255011.5,0.6332214549717566,0.5940388428049994,0.6655402966865963,0.4691050139480057,0.6655402966865963,0.47322054633546007,0.7136112971663061,0.6140352157714425,0.0,0.0,0.9873043154752424,0.6210857460020398,0.7625023954012232,2495335,1569746,0.5724651162790698,0.9948270287746525,0.7267359470949457,6186,10750,0.6355353075170843,0.9998897281799636,0.7771254713747,18137,28535,0.08795542799257133,0.18735973913877432,0.11971230075141896,208540,444225,0.9978795180722891,0.8556198347107438,0.9212903225806451,72600,62250,0.0,0.0,0.0,19740,503277,0.0025954122997824797,1.0,0.005177387145287345,525,202280,0.3488296866416931,1.0095690186062711e-06,0.3488306403160095,2651477.0,0.43340107798576355,2651004,648,0.6477954005657734,2.8759844040032476,0.35501688718795776,2.0314241737651173e-06,0.3550189137458801,2651475.25,0.4338005483150482,2651004,648,0.9069515957220984,3.0466464170021936,0.3479725122451782,1.494434172855108e-06,0.34797367453575134,2650704.5,0.4404217600822449,2651002,648,0.8454572963725288,2.8397535390104167,0.3526250720024109,1.4399039400814218e-06,0.35262641310691833,2650680.75,0.43639740347862244,2651001,648,0.7364545186866079,2.8795747899566777,0.3468502461910248,1.526775122329127e-06,0.3468516767024994,2650674.0,0.4420260190963745,2651000,648,0.7456138375542711,2.8850968060432933,14.527055956015829,0.013326079002581537,14.54038203501841,4.23665528499987,18.77703732001828,0.013028189016040415
10,1e-05,0.3470857990040599,1.4413224461874028e-06,0.34708727957586466,13255014.0,0.6278146835018904,0.6546550006150164,0.6453968152937613,0.5048779294383918,0.6453968152937613,0.5281744846600217,0.7427836165058712,0.6157913449431228,0.0,0.0,0.9873207849674097,0.6219028707568323,0.7631227994256378,2495335,1571785,0.5730117340286832,0.9946653734238603,0.7271330654691562,6186,10738,0.6356466876971609,0.9998897281799636,0.7772087342233269,18137,28530,0.33951018268430827,0.9999856142706435,0.5069150636448383,208540,614229,0.9978634881367368,0.8556198347107438,0.9212834906674774,72600,62251,0.0,0.0,0.0,19740,503251,0.0007926285544436738,0.045714285714285714,0.0015582391897156214,525,30279,0.34939926862716675,1.4238407857192215e-06,0.3494005799293518,2651476.5,0.43423134088516235,2651004,648,0.7812566408977785,2.840342735988088,0.34758082032203674,1.0972388508889708e-06,0.34758204221725464,2651476.75,0.4356979429721832,2651004,648,0.6281760626581555,2.8392224099952728,0.3450222909450531,1.997484105231706e-06,0.3450242280960083,2650704.0,0.43674466013908386,2651002,648,0.9345818124510022,2.8347901119850576,0.3491140305995941,1.368710286442365e-06,0.3491155803203583,2650681.25,0.43725067377090454,2651001,648,0.7543636090382364,2.8072944799787365,0.34431177377700806,1.3194415942052728e-06,0.3443131446838379,2650675.5,0.4373987019062042,2651000,648,0.6855354102648679,2.8942804310354404,14.215930168982595,0.0010477679898031056,14.216977936972398,4.171567258017603,18.38854519499,0.01206075306981802
