method,dataset,input_dim,K,partition_seed,condition,training_seed,batch_size,lr,max_rounds,best_round,best_val_macro_f1,total_fl_seconds,total_validation_seconds,total_run_seconds
SCAFFOLD,nf_cse_cic_ids2018_v2,36,5,42,iid,42,4096,0.1,40,30,0.6405439456041597,426.0742400561576,168.44169060396962,594.5159306601272
SCAFFOLD,nf_cse_cic_ids2018_v2,36,5,42,alpha_0p1,42,4096,0.1,40,40,0.5746859133171826,440.9220809858525,159.42124269291526,600.3433236787678
SCAFFOLD,nf_cse_cic_ids2018_v2,36,5,42,alpha_0p5,42,4096,0.1,40,39,0.7704230916789376,431.49135843937984,159.80091783584794,591.2922762752278
SCAFFOLD,nf_cse_cic_ids2018_v2,36,5,42,alpha_1p0,42,4096,0.1,40,40,0.6417533418853311,414.2181410531048,165.06924230314326,579.287383356248
SCAFFOLD,nf_cse_cic_ids2018_v2,36,5,43,iid,42,4096,0.1,40,38,0.6419737309648056,408.4123878274113,165.82954517519102,574.2419330026023
SCAFFOLD,nf_cse_cic_ids2018_v2,36,5,43,alpha_0p1,42,4096,0.1,40,35,0.6653914812520393,440.39936264959397,163.46260143612744,603.8619640857214
SCAFFOLD,nf_cse_cic_ids2018_v2,36,5,43,alpha_0p5,42,4096,0.1,40,28,0.648048578973871,424.91589848237345,165.25086827133782,590.1667667537113
SCAFFOLD,nf_cse_cic_ids2018_v2,36,5,43,alpha_1p0,42,4096,0.1,40,3,0.6084873811923623,425.11925927357515,166.54713621194242,591.6663954855176
SCAFFOLD,nf_cse_cic_ids2018_v2,36,5,44,iid,42,4096,0.1,40,37,0.6409106295408628,411.5016221443075,165.12627248006174,576.6278946243692
SCAFFOLD,nf_cse_cic_ids2018_v2,36,5,44,alpha_0p1,42,4096,0.1,40,38,0.7964112442365382,430.743611235288,163.99737349303905,594.740984728327
SCAFFOLD,nf_cse_cic_ids2018_v2,36,5,44,alpha_0p5,42,4096,0.1,40,29,0.6766958692679232,434.9687229397823,158.91162901022471,593.880351950007
SCAFFOLD,nf_cse_cic_ids2018_v2,36,5,44,alpha_1p0,42,4096,0.1,40,32,0.781670311121765,425.57332569523714,160.57134066912113,586.1446663643583
