round,server_control_norm,control_invariant_max_abs_error,val_loss,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,macro_pr_auc,worst_class_f1,worst_class_recall,precision_c0,recall_c0,f1_c0,support_c0,predicted_count_c0,precision_c1,recall_c1,f1_c1,support_c1,predicted_count_c1,precision_c2,recall_c2,f1_c2,support_c2,predicted_count_c2,precision_c3,recall_c3,f1_c3,support_c3,predicted_count_c3,precision_c4,recall_c4,f1_c4,support_c4,predicted_count_c4,precision_c5,recall_c5,f1_c5,support_c5,predicted_count_c5,precision_c6,recall_c6,f1_c6,support_c6,predicted_count_c6,train_loss_client_0,train_accuracy_client_0,train_samples_client_0,train_batches_client_0,update_l2_client_0,local_steps_client_0,correction_norm_client_0,control_norm_client_0,train_seconds_client_0,train_loss_client_1,train_accuracy_client_1,train_samples_client_1,train_batches_client_1,update_l2_client_1,local_steps_client_1,correction_norm_client_1,control_norm_client_1,train_seconds_client_1,train_loss_client_2,train_accuracy_client_2,train_samples_client_2,train_batches_client_2,update_l2_client_2,local_steps_client_2,correction_norm_client_2,control_norm_client_2,train_seconds_client_2,train_loss_client_3,train_accuracy_client_3,train_samples_client_3,train_batches_client_3,update_l2_client_3,local_steps_client_3,correction_norm_client_3,control_norm_client_3,train_seconds_client_3,train_loss_client_4,train_accuracy_client_4,train_samples_client_4,train_batches_client_4,update_l2_client_4,local_steps_client_4,correction_norm_client_4,control_norm_client_4,train_seconds_client_4,round_train_seconds,client_control_seconds,control_seconds,aggregation_seconds,fl_round_seconds,validation_seconds,round_total_seconds,round_orchestration_seconds
1,0.07971193834248942,0.0,0.6191045418017611,0.8104179169341486,0.6541155508794867,0.5062876052963512,0.6541155508794867,0.5187820020123429,0.8763129240480223,0.7072287699726137,0.0,0.0,0.9857766299285898,0.8012126628288386,0.8839635713774098,2495335,2028141,0.12527695904055292,0.9962819269317814,0.22256730647695058,6186,49195,0.6267496111975117,0.9998897281799636,0.7705217539089055,18137,28935,0.8350199227118915,0.999889709408267,0.9100478990954818,208540,249715,0.9705840149232314,0.7453443526170799,0.8431812515582149,72600,55752,0.0,0.0,0.0,19740,377977,0.0006060992726808728,0.03619047619047619,0.0011922316694380824,525,31348,0.5732110142707825,0.3975169360637665,2651004,648,5.402306975145047,648,0.0,0.08336893175378123,2.2305922840023413,0.5723044276237488,0.39596015214920044,2651004,648,5.411499249233566,648,0.0,0.08351078611332013,2.264882395043969,0.5704459547996521,0.3961034417152405,2651002,648,5.324319511070248,648,0.0,0.08216542044849269,2.1609904630458914,0.5765554904937744,0.40086063742637634,2651001,648,5.319084756830517,648,0.0,0.08208463634962655,1.9992321020108648,0.5722452402114868,0.40645793080329895,2651000,648,5.315497799348829,648,0.0,0.0820292830674897,2.07294061902212,10.728637863125186,0.002178655005991459,0.0028603560058400035,0.013295943033881485,10.744794162164908,4.119495629041921,14.86428979120683,0.02395474986406043
2,0.022505728676820488,6.402842700481415e-10,0.6226677510241568,0.6719481273548304,0.6321222910595183,0.44049703617765956,0.6321222910595183,0.4521223927686245,0.752108283363284,0.707047803039581,0.0,0.0,0.9824575547583012,0.6446284767375924,0.778471580142481,2495335,1637286,0.15509947116595316,0.995635305528613,0.268389402126547,6186,39710,0.6367179271118601,0.9998897281799636,0.7780089663012935,18137,28482,0.32268342920104054,0.9998992998945047,0.4879104011381199,208540,646203,0.9852067242162653,0.7467079889807162,0.8495357492654261,72600,55025,0.0,0.0,0.0,19740,399138,0.0013141467901964649,0.0380952380952381,0.002540650406504065,525,15219,0.40930691361427307,0.4470970332622528,2651004,648,2.187196263871292,648,0.023084865704755993,0.028019260108758614,2.141704996000044,0.4067351520061493,0.44383561611175537,2651004,648,2.2164726078976527,648,0.024092302364628535,0.027283384137696817,2.1275718199904077,0.4052684009075165,0.44428861141204834,2651002,648,2.0250985586555554,648,0.01987032662200391,0.025989601200113108,2.101099068997428,0.40849408507347107,0.442538857460022,2651001,648,2.212513342678388,648,0.020969284958673447,0.028665495224957392,2.1017202850198373,0.4040195643901825,0.44138777256011963,2651000,648,2.1336238799330087,648,0.02060146601161612,0.027101947892207916,2.1110013040015474,10.583097474009264,0.0023261908791027963,0.003006117884069681,0.0010899780318140984,10.587193569925148,4.130434173042886,14.717627742968034,0.019363113096915185
3,0.016434037471942272,6.402842700481415e-10,0.6263074800580504,0.6948855803645647,0.6517018170871252,0.4463687465491141,0.6517018170871252,0.46810013292655345,0.7710588266010108,0.62381983246805,0.0,0.0,0.9875932448618968,0.6674442509723143,0.7965540783714015,2495335,1686420,0.15608519269776877,0.9951503394762367,0.26984614035856747,6186,39440,0.6491158994917317,0.9998897281799636,0.787194791101465,18137,27938,0.3358497312602982,0.9998849141651481,0.5028110648528276,208540,620861,0.9953754255250818,0.8538292011019284,0.919185029212017,72600,62276,0.0,0.0,0.0,19740,341403,0.0005617320070216501,0.045714285714285714,0.0011098265895953757,525,42725,0.39012354612350464,0.44122564792633057,2651004,648,1.7205344798376838,648,0.016668361290301328,0.025247058969786348,2.127121714001987,0.3830927312374115,0.4355945885181427,2651004,648,1.5804249707867724,648,0.015116923997410586,0.022549988535460124,2.1080009560100734,0.384672075510025,0.4424670338630676,2651002,648,1.5084617245771166,648,0.013696759179426978,0.021319733674287585,2.0998801380046643,0.390639990568161,0.43850114941596985,2651001,648,1.6808676970344785,648,0.017249924714695702,0.024423433336411653,2.1128825490013696,0.38439399003982544,0.43890947103500366,2651000,648,1.527718077854078,648,0.015397782686271667,0.022109775063195548,2.1039897900191136,10.551875147037208,0.002052705967798829,0.002744865952990949,0.0014352269936352968,10.556055239983834,4.360261526016984,14.916316766000818,0.02092515997355804
4,0.012897880360266468,6.257323548197746e-10,0.6193441572360439,0.6793120182002316,0.6492387116592864,0.44585458441962106,0.6492387116592864,0.465730214489713,0.7591221978132702,0.6210119616860451,0.0,0.0,0.9872749291140489,0.6498233704091836,0.7837700670072373,2495335,1642427,0.15641833519666634,0.9951503394762367,0.27034385841640685,6186,39356,0.651213731686297,0.9998897281799636,0.788735457214309,18137,27848,0.3279928527949441,0.9999472523256929,0.49396136267000507,208540,635773,0.9962246570060727,0.8541460055096419,0.9197306557109591,72600,62246,0.0,0.0,0.0,19740,400493,0.0018575851393188853,0.045714285714285714,0.0035701004090740052,525,12920,0.3784489929676056,0.44245725870132446,2651004,648,1.735365592175854,648,0.017666596864640026,0.02802093241225522,2.3070795229868963,0.3729204535484314,0.43826791644096375,2651004,648,1.2757568797384438,648,0.016242052157555642,0.017560027624284866,2.1054189950227737,0.3700304925441742,0.4445820748806,2651002,648,1.3399648139020572,648,0.01399480641670963,0.018409401616987724,2.0966180380200967,0.37750378251075745,0.4408598840236664,2651001,648,1.4467048366143125,648,0.0178653968641471,0.019706806181498573,2.1017606210079975,0.37037691473960876,0.4414367973804474,2651000,648,1.3502036085857523,648,0.015635391108810306,0.018844738391012483,2.081298623990733,10.692175801028498,0.00205690402071923,0.0027618790045380592,0.00153761898400262,10.696475299017038,4.127792157989461,14.8242674570065,0.01807400194229558
5,0.011474383556776687,6.257323548197746e-10,0.6117579491951887,0.5770558828356545,0.6626118729066904,0.46768291857877375,0.6626118729066904,0.469780785012064,0.7003504341856357,0.6210066502777104,0.0,0.0,0.9863060831720771,0.6019568514848708,0.7476264684787548,2495335,1522939,0.5507739107094927,0.9951503394762367,0.7090940505672982,6186,11177,0.6518925913943707,0.9998897281799636,0.7892331795630603,18137,27819,0.08655880674690664,0.18694734823055528,0.11832961776431505,208540,450399,0.9960335303186023,0.8543388429752066,0.9197609585384661,72600,62272,0.0,0.0,0.0,19740,509491,0.002215507709966831,1.0,0.004421220172553907,525,236966,0.3667239844799042,0.4405851364135742,2651004,648,1.52546804130299,648,0.02283545499774323,0.021299097170615414,2.0967339759808965,0.36832723021507263,0.43902650475502014,2651004,648,1.107896709318504,648,0.013558683986141788,0.016748377801866447,2.086335737956688,0.36620184779167175,0.4447152316570282,2651002,648,1.2651185988082267,648,0.013935048419636222,0.02085643162236275,2.0807851489516906,0.37184709310531616,0.43251433968544006,2651001,648,1.3082147362536325,648,0.015582193818081482,0.021295964019782943,2.0874203559942544,0.36286062002182007,0.4447944164276123,2651000,648,1.1469163801679056,648,0.014207494672373389,0.01819932018162774,2.086897272965871,10.4381724918494,0.002075668948236853,0.0027775769704021513,0.0015408360050059855,10.442490904824808,4.154806819045916,14.597297723870724,0.024181689193937927
6,0.010321296237781653,6.257323548197746e-10,0.6496460364268798,0.6529212569871712,0.6450051026758431,0.5035791122723297,0.6450051026758431,0.5266018097511451,0.7411044620368269,0.619199688156886,0.0,0.0,0.9866793881932159,0.6199808843301601,0.7614831462554522,2495335,1567946,0.5515140655796452,0.9951503394762367,0.70970717085543,6186,11162,0.6527607803613851,0.9998897281799636,0.7898691173588275,18137,27782,0.3365938379690607,0.9999616380550493,0.5036542539573662,208540,619536,0.9967858577742065,0.8543388429752066,0.920081587242722,72600,62225,0.0,0.0,0.0,19740,499072,0.0007198560287942411,0.045714285714285714,0.0014173925882179242,525,33340,0.359489768743515,0.442971795797348,2651004,648,1.1648781000540704,648,0.01813603692132804,0.017510625473493406,2.0853743420448154,0.3598669767379761,0.44383862614631653,2651004,648,0.9535556749932818,648,0.013003671739035492,0.014538305390433508,2.279764448001515,0.3610553741455078,0.447683185338974,2651002,648,1.320042024860891,648,0.017249481422313223,0.01898451324188649,2.0743109229952097,0.36182519793510437,0.4367637038230896,2651001,648,1.1586356682117007,648,0.016520602939122143,0.017259080687601232,2.080040648987051,0.35982438921928406,0.44499585032463074,2651000,648,1.3830633332476925,648,0.015069510768253093,0.023730726568007544,2.074379312049132,10.593869674077723,0.0020493591437116265,0.0027216721791774035,0.0013682510470971465,10.597959597303998,4.145292561966926,14.743252159270924,0.01804160379106179
7,0.009244165870445605,6.257323548197746e-10,0.6469267341965159,0.6833115743958926,0.6492685318913113,0.5001168441337821,0.6492685318913113,0.5273225906648646,0.7631056435868026,0.6191107423698464,0.0,0.0,0.9878933057102163,0.6543061352483734,0.7872182084286692,2495335,1652722,0.5520581113801453,0.9951503394762367,0.7101574666897387,6186,11151,0.6346456692913386,0.9998897281799636,0.7764600102757322,18137,28575,0.3282389516351186,0.9999136856238612,0.49423629587054035,208540,635275,0.9967586649550706,0.8556198347107438,0.9208123332345093,72600,62320,0.0,0.0,0.0,19740,413852,0.001223205964585275,0.04,0.0023738201548635053,525,17168,0.35762450098991394,0.4386613368988037,2651004,648,1.0645372848531804,648,0.01552780825307247,0.016047997266338255,2.0909602270112373,0.3580111563205719,0.44161683320999146,2651004,648,0.9421634898162994,648,0.011984987745786314,0.015361507917705443,2.0716528390184976,0.35676297545433044,0.4432067573070526,2651002,648,1.1284131545620693,648,0.016084959674243064,0.017217279024870084,2.0748659659875557,0.3607346713542938,0.4372246563434601,2651001,648,1.231684238434141,648,0.014236111792787479,0.019060036098093844,2.2713690930395387,0.35386574268341064,0.4355122447013855,2651000,648,1.3315750944572735,648,0.018990203652570235,0.018784256180965898,2.0737988309701905,10.58264695602702,0.002031666983384639,0.002698038995731622,0.008398370002396405,10.593743365025148,4.2903433500323445,14.884086715057492,0.018190412025433034
8,0.008525477118323658,6.257323548197746e-10,0.6167049332970209,0.6398729840489206,0.643076671937707,0.5045799415912179,0.643076671937707,0.5261906605957266,0.7314426302555418,0.6152713809629711,0.0,0.0,0.9869752248896139,0.6051912869414328,0.7503094708898627,2495335,1530084,0.5717470047366955,0.9951503394762367,0.7262431428065829,6186,10767,0.6353571803944925,0.9998897281799636,0.7769922879177378,18137,28543,0.339499771261675,0.9999712285412871,0.5069016102744479,208540,614239,0.9976070791912249,0.8556198347107438,0.9211741938354082,72600,62267,0.0,0.0,0.0,19740,547682,0.0008733306648229686,0.045714285714285714,0.0017139184460472755,525,27481,0.35361728072166443,0.440240740776062,2651004,648,0.90932469973414,648,0.014200598856816167,0.016647503841072876,2.0663902210071683,0.355629026889801,0.43504536151885986,2651004,648,0.9589759805412917,648,0.012607666450736967,0.015267327717277962,2.063516360009089,0.3515690863132477,0.44599249958992004,2651002,648,1.0721429907675564,648,0.015115155432937327,0.017804044520881614,2.0573103399947286,0.354543000459671,0.4366622269153595,2651001,648,1.1272510931305186,648,0.015752178300050858,0.013726110840632374,2.0702857699943706,0.3518507480621338,0.4408796727657318,2651000,648,1.0367780298002562,648,0.015543479357990225,0.016177637859128378,2.0646273579914123,10.322130048996769,0.0020219700527377427,0.0027020780253224075,0.001389510987792164,10.326221638009883,4.1281292019994,14.454350840009283,0.01828527793986723
9,0.008227027874748558,6.257323548197746e-10,0.6356660547746243,0.5950512271438106,0.6656854043459209,0.4688697412275579,0.6656854043459209,0.4731630644236408,0.7143799939154059,0.6127576639333997,0.0,0.0,0.9873278958609801,0.6222563303123628,0.763390971784183,2495335,1572667,0.5709117892588814,0.9949886841254445,0.7255260210997819,6186,10781,0.6355575804303638,0.9998897281799636,0.7771421225171948,18137,28534,0.08781990233227291,0.18704325309293182,0.11952216871789294,208540,444159,0.997815401419989,0.8556198347107438,0.921262995535913,72600,62254,0.0,0.0,0.0,19740,504974,0.0026556192904185257,1.0,0.005297171310520182,525,197694,0.3494763970375061,0.4365662932395935,2651004,648,0.8158773412696992,648,0.013416106447288224,0.013507814898497996,2.0608057780191302,0.354488343000412,0.4339869022369385,2651004,648,0.8927988490537982,648,0.012948100175282931,0.01319823492962159,2.053363323037047,0.34906113147735596,0.44070541858673096,2651002,648,1.2984541055111547,648,0.014921587560460461,0.018101909131554548,2.05557724297978,0.35438060760498047,0.4354008138179779,2651001,648,1.0146599939659309,648,0.011948146937803392,0.017334750725042054,2.0509422750328667,0.34946209192276,0.4472923278808594,2651000,648,1.2112072872913673,648,0.014172536809728697,0.0211407779131834,2.0516229039640166,10.27231152303284,0.0020654910476878285,0.0027274650637991726,0.0013297679834067822,10.276368756080046,4.128173013974447,14.404541770054493,0.015919270925223827
10,0.007532479143769603,6.984919309616089e-10,0.6279942398953031,0.6549361003281388,0.6454633673107281,0.5048760306434572,0.6454633673107281,0.52823037042647,0.7429984383247775,0.6154039562940083,0.0,0.0,0.9873271948009005,0.6222214652541642,0.7633645245783159,2495335,1572580,0.5727315030246626,0.9948270287746525,0.726950564054102,6186,10745,0.6356244085380813,0.9998897281799636,0.7771920802262793,18137,28531,0.33951248420751007,0.9999712285412871,0.5069157806202568,208540,614216,0.997991742043282,0.8556198347107438,0.9213381488100977,72600,62243,0.0,0.0,0.0,19740,507348,0.0009448818897637795,0.045714285714285714,0.0018514946962391514,525,25400,0.3492432236671448,0.44016793370246887,2651004,648,0.830544110519752,648,0.011821822367941789,0.014547857872767543,2.068523589987308,0.3485742509365082,0.43815889954566956,2651004,648,0.7675879368021465,648,0.01171078498446347,0.013002925996137928,2.043631987995468,0.3459619879722595,0.4391441345214844,2651002,648,1.1245770555514876,648,0.015376932816960917,0.016161501975543027,2.0429738509701565,0.35219883918762207,0.43463054299354553,2651001,648,1.0136211320316986,648,0.015501714135553847,0.018035883578753197,2.0462451379862614,0.3444094657897949,0.43749111890792847,2651000,648,1.0790828752841501,648,0.01843063973249457,0.013346574820620504,2.046244587050751,10.247619153989945,0.0022407310898415744,0.002909888105932623,0.008063229965046048,10.258592272060923,4.203548544028308,14.462140816089232,0.015874367963988334
