round,server_control_norm,control_invariant_max_abs_error,val_loss,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,macro_pr_auc,worst_class_f1,worst_class_recall,precision_c0,recall_c0,f1_c0,support_c0,predicted_count_c0,precision_c1,recall_c1,f1_c1,support_c1,predicted_count_c1,precision_c2,recall_c2,f1_c2,support_c2,predicted_count_c2,precision_c3,recall_c3,f1_c3,support_c3,predicted_count_c3,precision_c4,recall_c4,f1_c4,support_c4,predicted_count_c4,precision_c5,recall_c5,f1_c5,support_c5,predicted_count_c5,precision_c6,recall_c6,f1_c6,support_c6,predicted_count_c6,train_loss_client_0,train_accuracy_client_0,train_samples_client_0,train_batches_client_0,update_l2_client_0,local_steps_client_0,correction_norm_client_0,control_norm_client_0,train_seconds_client_0,train_loss_client_1,train_accuracy_client_1,train_samples_client_1,train_batches_client_1,update_l2_client_1,local_steps_client_1,correction_norm_client_1,control_norm_client_1,train_seconds_client_1,train_loss_client_2,train_accuracy_client_2,train_samples_client_2,train_batches_client_2,update_l2_client_2,local_steps_client_2,correction_norm_client_2,control_norm_client_2,train_seconds_client_2,train_loss_client_3,train_accuracy_client_3,train_samples_client_3,train_batches_client_3,update_l2_client_3,local_steps_client_3,correction_norm_client_3,control_norm_client_3,train_seconds_client_3,train_loss_client_4,train_accuracy_client_4,train_samples_client_4,train_batches_client_4,update_l2_client_4,local_steps_client_4,correction_norm_client_4,control_norm_client_4,train_seconds_client_4,round_train_seconds,client_control_seconds,control_seconds,aggregation_seconds,fl_round_seconds,validation_seconds,round_total_seconds,round_orchestration_seconds
1,0.05339224554073337,0.0,1.0793916477098378,0.9625159026934174,0.6770914374756491,0.5254302132252792,0.6770914374756491,0.5484691378916859,0.9635668752305306,0.7199514166975938,0.0,0.0,0.9881425707059692,0.9732725265345133,0.9806511816090023,2495335,2457784,0.15447317599257607,0.995635305528613,0.26745120177171766,6186,39871,0.6435060326472676,0.9998345922699454,0.7830386251268433,18137,28180,0.8663676831828024,0.999530066174355,0.928197215524132,208540,240593,0.9964522626064783,0.7427961432506887,0.8511272974060717,72600,54119,0.0,0.0,0.0,19740,0,0.029069767441860465,0.02857142857142857,0.02881844380403458,525,516,0.5153507590293884,0.8552512526512146,697961,171,3.417554313602006,171,0.0,0.19985697580413544,0.5272321800002828,0.22518256306648254,0.7316265106201172,1837443,449,3.988002330206857,449,0.0,0.08881964404896453,1.413241824018769,0.28576749563217163,0.9911218881607056,9349064,2283,8.13917786920501,2283,0.0,0.03565123804248864,7.95276138803456,0.5721657872200012,0.24656793475151062,839874,206,3.690877848353004,206,0.0,0.179168822269467,0.5794523860095069,0.39515966176986694,0.9208583831787109,530669,130,2.590500386597883,130,0.0,0.19926926441228088,0.35281380702508613,10.825501585088205,0.002088312990963459,0.002790072001516819,0.018649759993422776,10.846941417083144,3.919932665012311,14.766874082095455,0.019432271947152913
2,0.026976081054466746,5.820766091346741e-10,0.9946619933707451,0.9736595744228328,0.6833472914529468,0.5827857056103507,0.6833472914529468,0.615997045957387,0.9709423152589669,0.7019210154502485,0.0,0.0,0.9892244823046374,0.9849374933626146,0.9870763331309178,2495335,2484521,0.5656806907955172,0.9954736501778209,0.721415182755389,6186,10886,0.6494413407821229,0.9998897281799636,0.7874340548403205,18137,27924,0.8697312251974813,0.999448547041335,0.9300888253235844,208540,239643,0.9959823008849558,0.7751101928374655,0.8717738187451588,72600,56500,0.0,0.0,0.0,19740,0,0.009439899307740718,0.02857142857142857,0.014191106906338695,525,1589,0.20610249042510986,0.895764946937561,697961,171,2.3237186575066584,171,0.16074207036560467,0.1213619502869494,0.5231306439964101,0.11242228001356125,0.9428434371948242,1837443,449,2.5603467097779498,449,0.06130852295610409,0.049588216644827654,1.4093517839792185,0.2402757853269577,0.991952657699585,9349064,2283,9.162937256201273,2283,0.03152002713599217,0.03592215814310246,7.953546604025178,0.2677639126777649,0.3106811046600342,839874,206,2.405767620026009,206,0.13638722860852703,0.09653023589716841,0.6349810180254281,0.1228344663977623,0.9641866683959961,530669,130,1.7987285818418033,130,0.16616210878123056,0.12623431311763697,0.3997544340090826,10.920764484035317,0.0020878110080957413,0.0027933060191571712,0.0012164849904365838,10.92477427504491,3.9175294489832595,14.84230372402817,0.024533085990697145
3,0.022962950020226417,6.111804395914078e-10,1.090948912776369,0.9777367609301884,0.6939097306497793,0.5903680368456262,0.6939097306497793,0.6274966338917638,0.97492062886115,0.6851139984782763,0.0,0.0,0.9911731547424887,0.9875760168474373,0.9893713162039451,2495335,2486279,0.5764838045309867,0.9954736501778209,0.7301399098885464,6186,10682,0.6537726666426331,0.9998897281799636,0.7906094690034005,18137,27739,0.8894587721244602,0.9995684281193057,0.9413045048950544,208540,234356,0.9979116361025909,0.8424793388429752,0.9136318824126908,72600,61292,0.0,0.0,0.0,19740,0,0.023776223776223775,0.03238095238095238,0.027419354838709678,525,715,0.16701960563659668,0.9080464839935303,697961,171,1.4437469847888136,171,0.11353375874462239,0.10855053906791608,0.5321208559907973,0.10300790518522263,0.9518728256225586,1837443,449,1.9965264808724288,449,0.05286629082819798,0.052714771310458854,1.2805464929551817,0.22474722564220428,0.994386613368988,9349064,2283,7.016145559955186,2283,0.0225666782805898,0.029893468379306513,7.048427355999593,0.24122323095798492,0.3389805853366852,839874,206,1.5883729443817876,206,0.09009721100091125,0.09097088984635451,0.5837920599733479,0.10311003774404526,0.9648217558860779,530669,130,1.3456223111324004,130,0.12114457674762961,0.12624992792262013,0.35857667605159804,9.803463440970518,0.0021028100163675845,0.002810148987919092,0.009947190003003925,9.81622077996144,3.997553716006223,13.813774495967664,0.019247272983193398
4,0.012050319483812882,5.820766091346741e-10,1.0856314352632572,0.9823541693326239,0.6961694322053444,0.6157170310779494,0.6961694322053444,0.6458196408665036,0.9792334678775333,0.6878104067848609,0.0,0.0,0.9915491953978809,0.9924619339687858,0.9920053547319659,2495335,2497632,0.6927059882935614,0.9948270287746525,0.8167219641672196,6186,8884,0.6544568747744497,0.9998897281799636,0.7911095600584553,18137,27710,0.9291190471945371,0.9995492471468304,0.9630481787436935,208540,224348,0.9984863123993559,0.854077134986226,0.9206533036377135,72600,62100,0.0,0.0,0.0,19740,0,0.043701799485861184,0.03238095238095238,0.037199124726477024,525,389,0.15544123947620392,0.9055262804031372,697961,171,1.040061900398527,171,0.10399967003643752,0.1164981583793553,0.5178363060113043,0.09741634875535965,0.9652936458587646,1837443,449,2.0903116527389165,449,0.05412904940254888,0.06176048944789094,1.262031376012601,0.19608737528324127,0.9959019422531128,9349064,2283,2.898299879086925,2283,0.018138613545899195,0.01869285023907965,7.247414259996731,0.22424320876598358,0.32951608300209045,839874,206,1.2245905982640697,206,0.08654852499148365,0.0942918246342531,0.5674158710171469,0.08972876518964767,0.9653135538101196,530669,130,0.979101029950843,130,0.12127150317151444,0.12431984415436108,0.4052920690155588,9.999989882053342,0.0021564799826592207,0.0028631180175580084,0.012929432967212051,10.015782433038112,3.9445929380017333,13.960375371039845,0.01860993797890842
5,0.014729896742011627,6.984919309616089e-10,1.0453850042396067,0.9750866960433,0.6958202906327182,0.6093105868893111,0.6958202906327182,0.6399573195857287,0.9755643349767068,0.6863517725127626,0.0,0.0,0.9914888927284794,0.984249810145732,0.987856089481827,2495335,2477116,0.6902119071644803,0.9951503394762367,0.8150943396226416,6186,8919,0.6544804937024071,0.9998897281799636,0.7911268158617982,18137,27709,0.929456825133542,0.9995828138486621,0.9632451815329449,208540,224274,0.998582291532414,0.8537741046831956,0.9205179992871569,72600,62072,0.0,0.0,0.0,19740,2,0.0009536979638548472,0.0380952380952381,0.0018608113137327876,525,20971,0.1478760838508606,0.9111999273300171,697961,171,0.8063780052797408,171,0.11327209543570955,0.1306653952957141,0.5129643530235626,0.09190094470977783,0.9691990613937378,1837443,449,1.9318065385227352,449,0.06037520487083834,0.06826972126131405,1.3090677720028907,0.19599556922912598,0.9957520961761475,9349064,2283,3.983559157955802,2283,0.018041343840240254,0.02347234686717208,7.9811916559701785,0.20806586742401123,0.3403546214103699,839874,206,0.8542887025653737,206,0.09039655528331982,0.10429677875352288,0.6345874589751475,0.09102565795183182,0.968490719795227,530669,130,0.7102366234234254,130,0.12226757603441094,0.1451028421389955,0.46018165996065363,10.897992899932433,0.0020696790306828916,0.002757422043941915,0.013343741011340171,10.914094062987715,3.988853179034777,14.902947242022492,0.015207352058496326
6,0.011828297016983532,6.402842700481415e-10,0.9756482033343565,0.9819440402429864,0.697939147233836,0.6185378644032279,0.697939147233836,0.6454807351557373,0.9813700667092758,0.7069914005294499,0.0,0.0,0.9915497121350315,0.9920058829776363,0.991777745102085,2495335,2496483,0.6930960693771822,0.9948270287746525,0.8169930302024561,6186,8879,0.6547043107805618,0.9998345922699454,0.7912730446165595,18137,27698,0.9900170024411326,0.9995971995780186,0.9947840361920124,208540,210558,0.9988395145302451,0.853595041322314,0.9205231612486353,72600,62043,0.0,0.0,0.0,19740,2,0.0015584415584415584,0.045714285714285714,0.0030141287284144425,525,15400,0.14667049050331116,0.9151772260665894,697961,171,0.9530721416727257,171,0.12786564590133548,0.14497479086191484,0.5239581479690969,0.09262928366661072,0.9701797962188721,1837443,449,2.099781304018028,449,0.06676919747620715,0.07390031481048055,1.4185238280333579,0.18708616495132446,0.9964637160301208,9349064,2283,2.7543835246666375,2283,0.020255909974756774,0.02102067622739709,8.01192927901866,0.21271651983261108,0.35730597376823425,839874,206,1.0443917661680417,206,0.10227191242778551,0.11803532709671305,0.6291361270123161,0.08992768824100494,0.9697099328041077,530669,130,0.928973170331729,130,0.1429295828993487,0.15089373526298366,0.44485678599448875,11.028404168027919,0.002078196033835411,0.0027702170773409307,0.00104918098077178,11.032223566086031,3.925994264020119,14.95821783010615,0.022119046887382865
7,0.012836888119688179,6.402842700481415e-10,1.0788193718853016,0.978664425431123,0.6963708557479615,0.6242947792108533,0.6963708557479615,0.6458077523214071,0.9756577912276886,0.7076630675912152,0.0,0.0,0.9915153825154078,0.9882857411930662,0.9898979276040222,2495335,2487207,0.6925154755205403,0.9946653734238603,0.8165350673478867,6186,8885,0.6580064588700606,0.9998345922699454,0.7936799719887955,18137,27559,0.8863287511639674,0.9995828138486621,0.9395551769443825,208540,235187,0.9988402435488547,0.8541322314049586,0.9208357464249121,72600,62082,0.0,0.0,0.0,19740,3,0.14285714285714285,0.0380952380952381,0.06015037593984962,525,140,0.14621204137802124,0.9139450788497925,697961,171,0.9574199166765713,171,0.14176667641093746,0.15859163880337684,0.5260175380390137,0.08677493035793304,0.9784722924232483,1837443,449,1.9872630916338165,449,0.07240644344547949,0.06969900197716213,1.408217243035324,0.19301164150238037,0.9962741732597351,9349064,2283,3.3882873797982436,2283,0.022008483637848318,0.0245969937114394,7.934230151004158,0.20812653005123138,0.35223257541656494,839874,206,0.9338812627880303,206,0.11400271248550857,0.12972140122346343,0.6042519220500253,0.08964448422193527,0.9710403084754944,530669,130,0.9114513279689638,130,0.14823318691362217,0.15878286307619957,0.45490100799361244,10.927617862122133,0.002038499980699271,0.002713648951612413,0.015382061013951898,10.945713572087698,3.9042320550070144,14.849945627094712,0.019021568878088146
8,0.009401163032433645,5.820766091346741e-10,0.9373891351899469,0.9803286917023831,0.6969856358225809,0.6116580902080727,0.6969856358225809,0.6426517521695944,0.9780391457035797,0.7203434071632568,0.0,0.0,0.9915816375673437,0.990135593016569,0.9908580877078967,2495335,2491696,0.7059768268899851,0.9948270287746525,0.8258739851036704,6186,8717,0.6576246600181324,0.9998345922699454,0.7934021701085054,18137,27575,0.9233725806237353,0.9999424570825741,0.9601333416211413,208540,225833,0.9989850986709625,0.8541597796143251,0.9209133098199369,72600,62075,0.0,0.0,0.0,19740,2,0.004065827686350436,0.04,0.007381370826010545,525,5165,0.14687281847000122,0.9206517338752747,697961,171,1.1552091277776415,171,0.15495904157546175,0.1608289401437685,0.5296196260023862,0.08358243852853775,0.9810214638710022,1837443,449,1.7104077512125924,449,0.07087490357684617,0.07189978519912228,1.4589246670366265,0.17922469973564148,0.9976520538330078,9349064,2283,2.3389890850053736,2283,0.023346318476895292,0.023021917393452006,8.231778690998908,0.20850619673728943,0.3835682272911072,839874,206,1.1039164772997527,206,0.12701799727976795,0.14221952544869582,0.651607217034325,0.08936991542577744,0.974215567111969,530669,130,0.9656747308638518,130,0.15548815338454508,0.15924772272409177,0.4136997450259514,11.285629946098197,0.0021415649680420756,0.002942819963209331,0.0010556330089457333,11.289628399070352,4.134170845034532,15.423799244104885,0.016856118920259178
9,0.008630218344430786,5.820766091346741e-10,0.911374528830076,0.9822042258538713,0.6971915819049436,0.6348085504601254,0.6971915819049436,0.6513860141871056,0.9790319344597556,0.7324016998946857,0.0,0.0,0.9915991627998626,0.9922186800569863,0.9919088246953415,2495335,2496894,0.7065930272695893,0.992725509214355,0.8255696713046985,6186,8691,0.6612215132178669,0.9998345922699454,0.7960142223782977,18137,27425,0.9237529901656774,0.9999424570825741,0.9603389518283135,208540,225740,0.9989546982294196,0.8556198347107438,0.921748291698508,72600,62183,0.0,0.0,0.0,19740,0,0.16153846153846155,0.04,0.06412213740458016,525,130,0.14455662667751312,0.9237966537475586,697961,171,0.9524735923194595,171,0.15796001520034236,0.17049141604932147,0.5426669800071977,0.08467764407396317,0.9780570268630981,1837443,449,1.5256296775984532,449,0.07089281015281361,0.07476293916054724,1.4701405889936723,0.18099108338356018,0.9972540736198425,9349064,2283,2.0597642124022153,2283,0.025179499435458875,0.02582599788733343,8.251153412973508,0.2020544856786728,0.38925838470458984,839874,206,0.9190622019358902,206,0.1384494018584958,0.1540729558836242,0.6578056230209768,0.09002255648374557,0.974886417388916,530669,130,0.8156108263833167,130,0.1571481043685761,0.1715971296668866,0.4191899410216138,11.340956546016969,0.0020960390102118254,0.0027911850484088063,0.001069509016815573,11.344817240082193,3.9952566199935973,15.34007386007579,0.016158110927790403
10,0.01011412119852322,6.402842700481415e-10,0.8466180979439377,0.9821287224000315,0.6970043077563343,0.6262540859484578,0.6970043077563343,0.6501182555229164,0.9789751573622484,0.7621685307780286,0.0,0.0,0.9915749473634463,0.9921725940605169,0.9918736806850081,2495335,2496839,0.7066267832489646,0.9928871645651471,0.825648608683963,6186,8692,0.6586517506901061,0.9998345922699454,0.7941492040552672,18137,27532,0.9239313437068019,0.9999760237844059,0.9604508064590415,208540,225704,0.9990333805902822,0.8541597796143251,0.920933824402994,72600,62072,0.0,0.0,0.0,19740,22,0.10396039603960396,0.04,0.0577716643741403,525,202,0.14683519303798676,0.920295000076294,697961,171,1.1169949439909899,171,0.16792894304697784,0.17999210469548876,0.5367048979969695,0.0809030681848526,0.9801490902900696,1837443,449,1.3199298074126427,449,0.07493725338348739,0.07935784620661081,1.4106061509810388,0.18281175196170807,0.9970877170562744,9349064,2283,2.144034423454907,2283,0.027043380744676594,0.027778865019015178,8.342208776972257,0.19968177378177643,0.3995206356048584,839874,206,0.9276269552193607,206,0.15151970945935,0.16792481615094718,0.5968580299522728,0.09251230955123901,0.9761847853660583,530669,130,1.080047055120053,130,0.16951814172627008,0.17810139429557378,0.41016396303894,11.296541818941478,0.0020925510325469077,0.0027615780709311366,0.0009239359642378986,11.300227332976647,3.9141680340399034,15.21439536701655,0.02041809301590547
