alpha,seed,rejected_empty_client,empty_client_ids,hd_pairwise_rms,hd_pairwise_mean,zero_cells,size_min,size_max,size_max_min_ratio,mean_absent_classes_per_client,target_hd,hd_condition
0.7,4000,False,,0.5391828236564031,0.4853677050514376,0.0,441697,10697988.0,24.220196197846036,0.0,0.25,hd_0p25
0.7,4001,False,,0.1862988160739234,0.17505940448701102,0.0,1623976,4229029.0,2.6041203810893756,0.0,0.25,hd_0p25
0.7,4002,False,,0.3894024893596853,0.36663134444138057,0.0,566393,9547316.0,16.856345329126597,0.0,0.25,hd_0p25
0.7,4003,False,,0.3687763125070198,0.3398085977889222,0.0,656480,8217746.0,12.517892395807946,0.0,0.25,hd_0p25
0.7,4004,False,,0.36025915466288194,0.3495856263391027,0.0,255257,8349311.0,32.70943010377776,0.0,0.25,hd_0p25
0.7,4005,False,,0.3830954126063626,0.328335539956546,0.0,289055,6651945.0,23.01273114113231,0.0,0.25,hd_0p25
0.7,4006,False,,0.4038891673959041,0.3716522971323614,0.0,777173,5957401.0,7.665476026573234,0.0,0.25,hd_0p25
0.7,4007,False,,0.4876945355542191,0.4384991247381042,0.0,256517,5628688.0,21.942748433827,0.0,0.25,hd_0p25
0.7,4008,False,,0.5643462445648785,0.5125411918220062,1.0,325685,8167177.0,25.076920951225876,0.2,0.25,hd_0p25
0.7,4009,False,,0.3051198253820879,0.28412345792637345,0.0,1112740,5364902.0,4.821343710120963,0.0,0.25,hd_0p25
0.7,4010,False,,0.2377794284559415,0.22747428400879866,0.0,1249482,5162056.0,4.131356834272123,0.0,0.25,hd_0p25
0.7,4011,False,,0.39839796631472846,0.37878383761746914,0.0,255363,7035054.0,27.54922991976128,0.0,0.25,hd_0p25
0.7,4012,False,,0.24043399662447124,0.22331399984048547,0.0,1180179,4169484.0,3.5329250901769984,0.0,0.25,hd_0p25
0.7,4013,False,,0.23047403518505438,0.2176100270497569,0.0,707882,4118737.0,5.818394873721892,0.0,0.25,hd_0p25
0.7,4014,False,,0.47391684421323566,0.399673941948443,0.0,238604,4705573.0,19.721266198387287,0.0,0.25,hd_0p25
0.7,4015,False,,0.286918033507625,0.269066092685398,0.0,423676,5813303.0,13.72110527856192,0.0,0.25,hd_0p25
