directory_label,condition,target_hd,achieved_hd_rms,achieved_hd_pairwise_mean,abs_error_vs_target,generating_seed,alpha,partition_id,absent_cells,size_min,size_max,size_max_min_ratio,path
seed_1,hd_0p25,0.25,0.25145660861109453,0.22630263860588692,0.0014566086110945342,4002,1.0,k5_seed4002_hd_0p25,0,148615,4426495,29.784981327591428,data/nf_cse_cic_ids2018_v2/fl_clients/hd_selected_partitions/k_5/seed_1/hd_0p25
seed_2,hd_0p25,0.25,0.2516165372788606,0.24173711224496763,0.0016165372788605747,4018,1.0,k5_seed4018_hd_0p25,0,672070,5896168,8.773145654470516,data/nf_cse_cic_ids2018_v2/fl_clients/hd_selected_partitions/k_5/seed_2/hd_0p25
seed_3,hd_0p25,0.25,0.24934054646331932,0.23146246060294637,0.0006594535366806764,4023,0.9,k5_seed4023_hd_0p25,0,756130,7436431,9.834857762554059,data/nf_cse_cic_ids2018_v2/fl_clients/hd_selected_partitions/k_5/seed_3/hd_0p25
seed_1,hd_0p5,0.5,0.4969409119016804,0.42489331367842187,0.003059088098319618,4000,0.45,k5_seed4000_hd_0p5,0,546615,6719709,12.293312477703685,data/nf_cse_cic_ids2018_v2/fl_clients/hd_selected_partitions/k_5/seed_1/hd_0p5
seed_2,hd_0p5,0.5,0.5011986907719931,0.45029591532890667,0.0011986907719930828,4005,0.4,k5_seed4005_hd_0p5,1,319289,8037394,25.17278703619605,data/nf_cse_cic_ids2018_v2/fl_clients/hd_selected_partitions/k_5/seed_2/hd_0p5
seed_3,hd_0p5,0.5,0.5002498181083563,0.4201263847314264,0.00024981810835633667,4010,0.3,k5_seed4010_hd_0p5,0,731104,6093671,8.334889427495952,data/nf_cse_cic_ids2018_v2/fl_clients/hd_selected_partitions/k_5/seed_3/hd_0p5
seed_1,hd_0p75,0.75,0.7492635967781938,0.6725488604264411,0.0007364032218062366,4012,0.12,k5_seed4012_hd_0p75,5,155431,5366214,34.52473444808307,data/nf_cse_cic_ids2018_v2/fl_clients/hd_selected_partitions/k_5/seed_1/hd_0p75
seed_2,hd_0p75,0.75,0.7501874274911237,0.7015992811667172,0.00018742749112365953,4013,0.15,k5_seed4013_hd_0p75,5,7318,6644157,907.9197868270019,data/nf_cse_cic_ids2018_v2/fl_clients/hd_selected_partitions/k_5/seed_2/hd_0p75
seed_3,hd_0p75,0.75,0.7496058344025377,0.6966266038804944,0.00039416559746230373,4026,0.08,k5_seed4026_hd_0p75,8,11808,9412635,797.1404979674796,data/nf_cse_cic_ids2018_v2/fl_clients/hd_selected_partitions/k_5/seed_3/hd_0p75
seed_1,hd_0p9,0.9,0.8997784326624625,0.8328559925855894,0.00022156733753753155,4014,0.01,k5_seed4014_hd_0p9,23,28,12704255,453723.39285714284,data/nf_cse_cic_ids2018_v2/fl_clients/hd_selected_partitions/k_5/seed_1/hd_0p9
seed_2,hd_0p9,0.9,0.8997172359881027,0.8649061444282296,0.0002827640118973074,4015,0.05,k5_seed4015_hd_0p9,11,322555,11403396,35.35333819038613,data/nf_cse_cic_ids2018_v2/fl_clients/hd_selected_partitions/k_5/seed_2/hd_0p9
seed_3,hd_0p9,0.9,0.8984638032844863,0.8595505453713888,0.001536196715513749,4026,0.04,k5_seed4026_hd_0p9,15,13473,11545040,856.9019520522527,data/nf_cse_cic_ids2018_v2/fl_clients/hd_selected_partitions/k_5/seed_3/hd_0p9
seed_1,iid,0.0,7.715325572827813e-06,6.374971682146259e-06,7.715325572827813e-06,42,,k5_seed42_iid,0,2651000,2651004,1.0000015088645795,data/nf_cse_cic_ids2018_v2/fl_clients/hd_selected_partitions/k_5/seed_1/iid
seed_2,iid,0.0,7.715325572827813e-06,6.374971682146259e-06,7.715325572827813e-06,43,,k5_seed43_iid,0,2651000,2651004,1.0000015088645795,data/nf_cse_cic_ids2018_v2/fl_clients/hd_selected_partitions/k_5/seed_2/iid
seed_3,iid,0.0,7.715325572827813e-06,6.374971682146259e-06,7.715325572827813e-06,44,,k5_seed44_iid,0,2651000,2651004,1.0000015088645795,data/nf_cse_cic_ids2018_v2/fl_clients/hd_selected_partitions/k_5/seed_3/iid
