alpha,n,hd_mean,hd_min,hd_max,zero_cells_mean,rejected
0.01,6,0.9734910241766647,0.9272620336748735,0.9927676118772404,23.5,0
0.02,6,0.9282495675022174,0.8644768437067286,0.9611984574311903,21.5,0
0.03,6,0.9086310035596612,0.8482266160548925,0.9528528102551375,19.833333333333332,0
0.05,6,0.8650365995840582,0.8350654319057159,0.9062397716837568,16.0,0
0.075,6,0.837296192840055,0.770756118602712,0.8928678283038378,13.333333333333334,0
0.1,6,0.8069683248698571,0.6945581872620982,0.8743639709116132,11.666666666666666,0
0.15,6,0.7484221611562952,0.6160857497375266,0.8495119008255919,11.0,0
0.2,6,0.6863959203488971,0.4964290520040179,0.8300744022570856,11.666666666666666,0
0.3,6,0.613319646585272,0.37909417990434197,0.7475091978551964,11.666666666666666,0
0.4,6,0.5632652930902995,0.31830902906447817,0.713085359739796,10.666666666666666,0
0.5,6,0.5228134275476174,0.28471402035946175,0.6526991690809718,10.5,0
0.75,6,0.4636084542867173,0.25376686007254473,0.6668172687414683,11.166666666666666,0
1.0,6,0.39666890451893916,0.27637463175684074,0.6050621837851295,11.166666666666666,0
1.5,6,0.35917568573529396,0.25331767700859464,0.5060225493926129,11.5,0
2.5,6,0.31212951523177596,0.2379665609568272,0.400875769912731,12.166666666666666,0
4.0,6,0.28875340781947484,0.22596466210050442,0.34500880077299684,12.333333333333334,0
