directory_label,condition,target_hd,achieved_hd,achieved_hd_pairwise_mean,abs_error_vs_target,generating_seed,alpha,partition_id,absent_cells,size_min,size_max,size_max_min_ratio,path
seed_1,hd_0p25,0.25,0.2568220120325635,0.2307588526405052,0.006822012032563496,5001,1.5,k5_seed5001_hd_0p25,6,1124436,5876475,5.226153378226951,data/nf_cse_cic_ids2018_v2/fl_clients/hd_selected_fedartml/k_5/seed_1/hd_0p25
seed_2,hd_0p25,0.25,0.2507726733675929,0.2250132848835639,0.0007726733675929021,5006,1.5,k5_seed5006_hd_0p25,3,1066793,5767880,5.406747138385797,data/nf_cse_cic_ids2018_v2/fl_clients/hd_selected_fedartml/k_5/seed_2/hd_0p25
seed_3,hd_0p25,0.25,0.24674267590670948,0.22969314478065264,0.00325732409329052,5026,4.0,k5_seed5026_hd_0p25,9,1284831,4411522,3.4335426215587885,data/nf_cse_cic_ids2018_v2/fl_clients/hd_selected_fedartml/k_5/seed_3/hd_0p25
seed_1,hd_0p5,0.5,0.500616863277388,0.4879344125468356,0.000616863277387969,5001,0.75,k5_seed5001_hd_0p5,9,250860,8321505,33.17190863429801,data/nf_cse_cic_ids2018_v2/fl_clients/hd_selected_fedartml/k_5/seed_1/hd_0p5
seed_2,hd_0p5,0.5,0.5028241883760561,0.4878205187066028,0.002824188376056136,5005,0.4,k5_seed5005_hd_0p5,6,191353,9157194,47.85498006302488,data/nf_cse_cic_ids2018_v2/fl_clients/hd_selected_fedartml/k_5/seed_2/hd_0p5
seed_3,hd_0p5,0.5,0.4964947480369846,0.45160328636446695,0.0035052519630153767,5029,1.5,k5_seed5029_hd_0p5,9,516140,6947811,13.46109776417251,data/nf_cse_cic_ids2018_v2/fl_clients/hd_selected_fedartml/k_5/seed_3/hd_0p5
seed_1,hd_0p75,0.75,0.7502595405500341,0.69520835362438,0.0002595405500340764,5011,0.15,k5_seed5011_hd_0p75,14,183682,7915670,43.094424058971484,data/nf_cse_cic_ids2018_v2/fl_clients/hd_selected_fedartml/k_5/seed_1/hd_0p75
seed_2,hd_0p75,0.75,0.745370815537429,0.706657413102194,0.00462918446257099,5017,0.15,k5_seed5017_hd_0p75,6,58328,9554946,163.81405157042929,data/nf_cse_cic_ids2018_v2/fl_clients/hd_selected_fedartml/k_5/seed_2/hd_0p75
seed_3,hd_0p75,0.75,0.7532079833622578,0.7171420591203477,0.0032079833622578047,5021,0.1,k5_seed5021_hd_0p75,11,109068,9109386,83.52024425129277,data/nf_cse_cic_ids2018_v2/fl_clients/hd_selected_fedartml/k_5/seed_3/hd_0p75
seed_1,hd_0p9,0.9,0.9027065284012928,0.8682001755105194,0.002706528401292818,5004,0.05,k5_seed5004_hd_0p9,15,93381,11462663,122.7515554556066,data/nf_cse_cic_ids2018_v2/fl_clients/hd_selected_fedartml/k_5/seed_1/hd_0p9
seed_2,hd_0p9,0.9,0.9017421110708806,0.8799460165405316,0.0017421110708806253,5016,0.05,k5_seed5016_hd_0p9,16,84621,11644895,137.61235390742252,data/nf_cse_cic_ids2018_v2/fl_clients/hd_selected_fedartml/k_5/seed_2/hd_0p9
seed_3,hd_0p9,0.9,0.9020802405587889,0.8956178924911218,0.0020802405587888595,5023,0.03,k5_seed5023_hd_0p9,17,663,11522672,17379.595776772247,data/nf_cse_cic_ids2018_v2/fl_clients/hd_selected_fedartml/k_5/seed_3/hd_0p9
seed_1,iid,0.0,7.715325572827813e-06,6.374971682146259e-06,7.715325572827813e-06,42,,k5_seed42_iid,0,2651000,2651004,1.0000015088645795,data/nf_cse_cic_ids2018_v2/fl_clients/hd_selected_fedartml/k_5/seed_1/iid
seed_2,iid,0.0,7.715325572827813e-06,6.374971682146259e-06,7.715325572827813e-06,43,,k5_seed43_iid,0,2651000,2651004,1.0000015088645795,data/nf_cse_cic_ids2018_v2/fl_clients/hd_selected_fedartml/k_5/seed_2/iid
seed_3,iid,0.0,7.715325572827813e-06,6.374971682146259e-06,7.715325572827813e-06,44,,k5_seed44_iid,0,2651000,2651004,1.0000015088645795,data/nf_cse_cic_ids2018_v2/fl_clients/hd_selected_fedartml/k_5/seed_3/iid
