split,class_id,class_name,count,fraction_within_split,fraction_of_global_class
train,0,Benign,11644897,0.8785279016365961,0.7000000060112168
train,1,Bot,130725,0.009862307922641483,0.9135411643849976
train,2,BruteForce,84638,0.006385358714526906,0.6999966918089189
train,3,DDoS,973190,0.07342053507160425,0.7000007192847433
train,4,DoS,338799,0.02556006932019898,0.6999993801640086
train,5,Infiltration,80310,0.0060588406905131955,0.6901796993838142
train,6,Web Attacks,2452,0.00018498664391904313,0.7001713306681896
validation,0,Benign,2495335,0.8845371407870012,0.1499999969943916
validation,1,Bot,6186,0.002192790448139584,0.043229417807501204
validation,2,BruteForce,18137,0.006429136818284455,0.15000165409554056
validation,3,DDoS,208540,0.07392248950129791,0.14999964035762836
validation,4,DoS,72600,0.025734980041211417,0.1500003099179957
validation,5,Infiltration,19740,0.00699736234178393,0.16964446850748963
validation,6,Web Attacks,525,0.0001861000622814875,0.1499143346659052
test,0,Benign,2495335,0.8856136034701455,0.1499999969943916
test,1,Bot,6186,0.0021954590269708555,0.043229417807501204
test,2,BruteForce,18137,0.006436960939568447,0.15000165409554056
test,3,DDoS,208540,0.07401245158171714,0.14999964035762836
test,4,DoS,72600,0.02576629895862983,0.1500003099179957
test,5,Infiltration,16311,0.005788899480912,0.14017583210869622
test,6,Web Attacks,525,0.00018632654205620743,0.1499143346659052
