position,feature
0,PROTOCOL
1,L7_PROTO
2,IN_BYTES
3,IN_PKTS
4,OUT_BYTES
5,OUT_PKTS
6,TCP_FLAGS
7,CLIENT_TCP_FLAGS
8,SERVER_TCP_FLAGS
9,FLOW_DURATION_MILLISECONDS
10,DURATION_IN
11,DURATION_OUT
12,MIN_TTL
13,MAX_TTL
14,LONGEST_FLOW_PKT
15,SHORTEST_FLOW_PKT
16,MIN_IP_PKT_LEN
17,MAX_IP_PKT_LEN
18,RETRANSMITTED_IN_BYTES
19,RETRANSMITTED_IN_PKTS
20,RETRANSMITTED_OUT_BYTES
21,RETRANSMITTED_OUT_PKTS
22,SRC_TO_DST_AVG_THROUGHPUT
23,DST_TO_SRC_AVG_THROUGHPUT
24,NUM_PKTS_UP_TO_128_BYTES
25,NUM_PKTS_128_TO_256_BYTES
26,NUM_PKTS_256_TO_512_BYTES
27,NUM_PKTS_512_TO_1024_BYTES
28,NUM_PKTS_1024_TO_1514_BYTES
29,TCP_WIN_MAX_IN
30,TCP_WIN_MAX_OUT
31,ICMP_TYPE
32,ICMP_IPV4_TYPE
33,DNS_QUERY_ID
34,DNS_QUERY_TYPE
35,DNS_TTL_ANSWER
