split,feature_position,feature,clipped_values,clipped_below_lower,clipped_above_upper,split_rows,fraction_of_split_rows_clipped,fraction_of_split_values_clipped,rows_with_at_least_one_clipped_feature
train,0,PROTOCOL,0,0,0,13255011,0.0,0.0,128551
train,1,L7_PROTO,0,0,0,13255011,0.0,0.0,128551
train,2,IN_BYTES,2130,0,2130,13255011,0.0001606939443505554,4.463720676404317e-06,128551
train,3,IN_PKTS,2248,0,2248,13255011,0.00016959623798124348,4.711006610590096e-06,128551
train,4,OUT_BYTES,1904,0,1904,13255011,0.00014364378875279696,3.990105243133249e-06,128551
train,5,OUT_PKTS,1945,0,1945,13255011,0.00014673695857362926,4.076026627045257e-06,128551
train,6,TCP_FLAGS,0,0,0,13255011,0.0,0.0,128551
train,7,CLIENT_TCP_FLAGS,0,0,0,13255011,0.0,0.0,128551
train,8,SERVER_TCP_FLAGS,0,0,0,13255011,0.0,0.0,128551
train,9,FLOW_DURATION_MILLISECONDS,0,0,0,13255011,0.0,0.0,128551
train,10,DURATION_IN,2082,0,2082,13255011,0.0001570726723651908,4.363129787921967e-06,128551
train,11,DURATION_OUT,17744,0,17744,13255011,0.0013386635439231246,3.7185098442309016e-05,128551
train,12,MIN_TTL,0,0,0,13255011,0.0,0.0,128551
train,13,MAX_TTL,0,0,0,13255011,0.0,0.0,128551
train,14,LONGEST_FLOW_PKT,30,0,30,13255011,2.2632949908528934e-06,6.286930530146926e-08,128551
train,15,SHORTEST_FLOW_PKT,17041,0,17041,13255011,0.0012856269979708052,3.5711861054744586e-05,128551
train,16,MIN_IP_PKT_LEN,912,0,912,13255011,6.880416772192795e-05,1.9112268811646653e-06,128551
train,17,MAX_IP_PKT_LEN,30,0,30,13255011,2.2632949908528934e-06,6.286930530146926e-08,128551
train,18,RETRANSMITTED_IN_BYTES,15398,0,15398,13255011,0.0011616738756384283,3.226871876773412e-05,128551
train,19,RETRANSMITTED_IN_PKTS,15850,0,15850,13255011,0.0011957741868339454,3.321594963427626e-05,128551
train,20,RETRANSMITTED_OUT_BYTES,1116,0,1116,13255011,8.419457365972763e-05,2.3387381572146563e-06,128551
train,21,RETRANSMITTED_OUT_PKTS,13266,0,13266,13255011,0.0010008290449551494,2.7800806804309706e-05,128551
