alpha,seed,rejected_empty_client,empty_client_ids,hd_pairwise_rms,hd_pairwise_mean,zero_cells,size_min,size_max,size_max_min_ratio,mean_absent_classes_per_client,target_hd,hd_condition
0.3,4000,False,,0.676769163811946,0.5930647324414984,1,554124,6083670,10.978896420295818,0.2,0.5,hd_0p5
0.3,4001,False,,0.4319473238111458,0.40446605037026967,0,492390,8898420,18.071894230183393,0.0,0.5,hd_0p5
0.3,4002,False,,0.5401865219533366,0.5177517835856433,2,93435,9868118,105.61479103119817,0.4,0.5,hd_0p5
0.3,4003,False,,0.6633422224390624,0.6213453615880857,1,228690,9994771,43.70445144081508,0.2,0.5,hd_0p5
0.3,4004,False,,0.5840371896831124,0.554471653097193,1,395892,10894321,27.518416638881313,0.2,0.5,hd_0p5
0.35,4000,False,,0.4916929232205284,0.45667673878994164,1,169975,6276474,36.92586556846595,0.2,0.5,hd_0p5
0.35,4001,False,,0.4393843365242918,0.39730836760970734,0,248545,9729946,39.147623166830954,0.0,0.5,hd_0p5
0.35,4002,False,,0.3264997650436097,0.2878630011047515,0,441952,6155754,13.928557852436464,0.0,0.5,hd_0p5
0.35,4003,False,,0.6294215764431921,0.5416754610489731,3,94008,9029440,96.04969789805124,0.6,0.5,hd_0p5
0.35,4004,False,,0.5270041847106612,0.44760096355230905,2,93458,6038708,64.6141368315179,0.4,0.5,hd_0p5
